结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 20:00:10|algorithm2_1|2fold|College|0.02|{6, 7}|17|2|0.7053140096618358|8.144707202911377|[0.91025641 0.85897436 0.89677419 0.90967742 0.86451613]|[0.8525641  0.84615385 0.89032258 0.86451613 0.8516129 ]|[0.91025641 0.85897436 0.87741935 0.88387097 0.87096774]|0.8880397022332506|0.861033912324235|0.8802977667493795
2023-05-11 20:00:23|algorithm2_1|2fold|College|0.04|{15, 5, 6, 7}|17|4|0.6747181964573269|12.82133173942566|[0.97435897 0.93589744 0.92903226 0.93548387 0.91612903]|[0.96794872 0.91666667 0.94193548 0.93548387 0.90322581]|[0.94871795 0.88461538 0.91612903 0.90967742 0.89677419]|0.9381803143093466|0.9330521091811415|0.9111827956989247
2023-05-11 20:00:36|algorithm2_1|2fold|College|0.06|{0, 12, 6, 7}|17|4|0.7520128824476651|13.071258783340454|[0.91025641 0.91666667 0.90967742 0.89677419 0.94193548]|[0.92307692 0.92307692 0.93548387 0.93548387 0.93548387]|[0.91666667 0.90384615 0.90967742 0.93548387 0.90967742]|0.915062034739454|0.9305210918114144|0.915070306038048
2023-05-11 20:00:55|algorithm2_1|2fold|College|0.08|{0, 12, 5, 7}|17|4|0.8373590982286635|18.930723905563354|[0.93589744 0.90384615 0.92903226 0.94193548 0.91612903]|[0.96153846 0.91666667 0.94193548 0.94193548 0.93548387]|[0.92307692 0.88461538 0.91612903 0.92258065 0.92903226]|0.9253680727874277|0.939511993382961|0.9150868486352357
2023-05-11 20:01:15|algorithm2_1|2fold|College|0.1|{0, 12, 5, 7}|17|4|0.8373590982286635|19.075095653533936|[0.93589744 0.90384615 0.92903226 0.94193548 0.91612903]|[0.96153846 0.91666667 0.94193548 0.94193548 0.93548387]|[0.91666667 0.87179487 0.91612903 0.92258065 0.92258065]|0.9253680727874277|0.939511993382961|0.9099503722084368
2023-05-11 20:01:31|algorithm2_1|2fold|College|0.12000000000000001|{0, 12, 5, 7}|17|4|0.8341384863123994|16.233680486679077|[0.93589744 0.90384615 0.92903226 0.94193548 0.91612903]|[0.96153846 0.91666667 0.94193548 0.94193548 0.93548387]|[0.92948718 0.87179487 0.90967742 0.92258065 0.92903226]|0.9253680727874277|0.939511993382961|0.9125144747725393
2023-05-11 20:01:50|algorithm2_1|2fold|College|0.14|{16, 1, 0, 5, 7, 12}|17|6|0.8164251207729468|19.446197509765625|[0.92948718 0.91025641 0.92258065 0.93548387 0.95483871]|[0.94871795 0.92307692 0.94193548 0.93548387 0.94193548]|[0.94871795 0.90384615 0.91612903 0.91612903 0.92258065]|0.9305293631100083|0.9382299421009097|0.9214805624483043
2023-05-11 20:02:07|algorithm2_1|2fold|College|0.16|{1, 2, 3, 4, 7, 12}|17|6|0.8486312399355878|16.34544563293457|[0.93589744 0.92307692 0.91612903 0.90967742 0.92258065]|[0.92948718 0.91666667 0.94193548 0.92903226 0.92903226]|[0.92948718 0.8974359  0.87741935 0.89677419 0.90322581]|0.9214722911497105|0.9292307692307693|0.9008684863523573
2023-05-11 20:02:25|algorithm2_1|2fold|College|0.18|{0, 3, 5, 7, 8, 12}|17|6|0.8486312399355878|18.435482501983643|[0.93589744 0.91666667 0.93548387 0.9483871  0.94193548]|[0.94871795 0.92307692 0.94193548 0.95483871 0.92903226]|[0.91025641 0.87820513 0.92903226 0.94193548 0.92903226]|0.9356741108354012|0.939520264681555|0.9176923076923076
2023-05-11 20:02:42|algorithm2_1|2fold|College|0.19999999999999998|{2, 4, 5, 7, 12, 13}|17|6|0.8727858293075684|16.84497857093811|[0.94230769 0.92307692 0.93548387 0.92903226 0.92258065]|[0.96153846 0.92307692 0.93548387 0.92903226 0.92903226]|[0.94871795 0.91025641 0.89677419 0.90967742 0.90322581]|0.9304962779156328|0.9356327543424318|0.9137303556658395
