结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 16:17:00|algorithm2_1|2fold|Glass|0.02|{8, 2, 6, 7}|9|4|0.3508771929824561|1.220813512802124|[0.60465116 0.6744186  0.55813953 0.51162791 0.42857143]|[0.53488372 0.51162791 0.44186047 0.48837209 0.42857143]|[0.46511628 0.51162791 0.65116279 0.6744186  0.45238095]|0.5554817275747508|0.481063122923588|0.5509413067552603
2023-05-11 16:17:01|algorithm2_1|2fold|Glass|0.04|{0, 2, 5, 6, 7, 8}|9|6|0.391812865497076|1.380432367324829|[0.53488372 0.58139535 0.55813953 0.55813953 0.54761905]|[0.51162791 0.55813953 0.44186047 0.65116279 0.5       ]|[0.44186047 0.62790698 0.69767442 0.69767442 0.52380952]|0.5560354374307863|0.5325581395348837|0.5977851605758582
2023-05-11 16:17:03|algorithm2_1|2fold|Glass|0.06|{2, 3, 4, 5, 7, 8}|9|6|0.3508771929824561|1.3646886348724365|[0.58139535 0.62790698 0.62790698 0.65116279 0.45238095]|[0.58139535 0.55813953 0.53488372 0.53488372 0.5       ]|[0.65116279 0.53488372 0.60465116 0.69767442 0.5952381 ]|0.5881506090808417|0.541860465116279|0.6167220376522702
2023-05-11 16:17:04|algorithm2_1|2fold|Glass|0.08|{3, 4, 5, 6, 7, 8}|9|6|0.4502923976608187|1.3584327697753906|[0.53488372 0.62790698 0.62790698 0.65116279 0.57142857]|[0.53488372 0.48837209 0.53488372 0.44186047 0.5       ]|[0.6744186  0.51162791 0.6744186  0.74418605 0.45238095]|0.60265780730897|0.5|0.61140642303433
2023-05-11 16:17:05|algorithm2_1|2fold|Glass|0.1|{2, 3, 5, 6, 7, 8}|9|6|0.4619883040935672|1.3616678714752197|[0.60465116 0.62790698 0.58139535 0.60465116 0.5       ]|[0.60465116 0.65116279 0.51162791 0.62790698 0.5952381 ]|[0.62790698 0.53488372 0.6744186  0.72093023 0.61904762]|0.5837209302325581|0.5981173864894795|0.6354374307862679
2023-05-11 16:17:07|algorithm2_1|2fold|Glass|0.12000000000000001|{1, 2, 3, 4, 5, 6, 7, 8}|9|8|0.42105263157894735|1.3993737697601318|[0.65116279 0.58139535 0.65116279 0.62790698 0.54761905]|[0.60465116 0.55813953 0.51162791 0.46511628 0.52380952]|[0.6744186  0.53488372 0.6744186  0.6744186  0.64285714]|0.6118493909191584|0.5326688815060907|0.6401993355481727
2023-05-11 16:17:08|algorithm2_1|2fold|Glass|0.14|{0, 2, 3, 6, 7, 8}|9|6|0.4327485380116959|1.3775722980499268|[0.58139535 0.62790698 0.58139535 0.65116279 0.52380952]|[0.60465116 0.65116279 0.53488372 0.48837209 0.47619048]|[0.62790698 0.53488372 0.62790698 0.65116279 0.5       ]|0.5931339977851605|0.5510520487264674|0.5883720930232558
2023-05-11 16:17:10|algorithm2_1|2fold|Glass|0.16|{0, 2, 3, 6, 7, 8}|9|6|0.43859649122807015|1.3448059558868408|[0.58139535 0.62790698 0.58139535 0.65116279 0.52380952]|[0.60465116 0.65116279 0.53488372 0.48837209 0.47619048]|[0.62790698 0.53488372 0.60465116 0.72093023 0.5       ]|0.5931339977851605|0.5510520487264674|0.5976744186046512
2023-05-11 16:17:11|algorithm2_1|2fold|Glass|0.18|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.4678362573099415|1.406770944595337|[0.55813953 0.51162791 0.62790698 0.65116279 0.47619048]|[0.53488372 0.58139535 0.48837209 0.44186047 0.47619048]|[0.6744186  0.58139535 0.62790698 0.69767442 0.5       ]|0.5650055370985604|0.5045404208194906|0.6162790697674418
2023-05-11 16:17:13|algorithm2_1|2fold|Glass|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.4327485380116959|2.3535044193267822|[0.55813953 0.53488372 0.62790698 0.62790698 0.47619048]|[0.55813953 0.60465116 0.48837209 0.44186047 0.47619048]|[0.6744186  0.55813953 0.62790698 0.69767442 0.66666667]|0.5650055370985603|0.5138427464008859|0.6449612403100775
