结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 16:03:41|algorithm2_1|2fold|GlaucomaM|0.02|{34, 30}|62|2|0.6369426751592356|9.66204285621643|[0.525      0.48717949 0.61538462 0.61538462 0.66666667]|[0.675      0.46153846 0.58974359 0.66666667 0.58974359]|[0.6        0.48717949 0.64102564 0.69230769 0.71794872]|0.5819230769230769|0.5965384615384616|0.6276923076923078
2023-05-11 16:03:59|algorithm2_1|2fold|GlaucomaM|0.04|{32, 26, 34, 39}|62|4|0.535031847133758|17.832432508468628|[0.725      0.66666667 0.61538462 0.69230769 0.76923077]|[0.775      0.61538462 0.69230769 0.69230769 0.76923077]|[0.75       0.64102564 0.56410256 0.66666667 0.66666667]|0.6937179487179487|0.7088461538461539|0.6576923076923077
2023-05-11 16:04:21|algorithm2_1|2fold|GlaucomaM|0.06|{32, 42, 34, 5}|62|4|0.6815286624203821|22.607438802719116|[0.8        0.82051282 0.84615385 0.84615385 0.82051282]|[0.75       0.61538462 0.76923077 0.82051282 0.82051282]|[0.825      0.82051282 0.84615385 0.76923077 0.71794872]|0.8266666666666668|0.7551282051282051|0.7957692307692308
2023-05-11 16:04:40|algorithm2_1|2fold|GlaucomaM|0.08|{32, 34, 35, 52, 42, 46}|62|6|0.6687898089171974|18.518324613571167|[0.775      0.82051282 0.84615385 0.82051282 0.84615385]|[0.8        0.71794872 0.79487179 0.87179487 0.87179487]|[0.675      0.76923077 0.71794872 0.71794872 0.79487179]|0.8216666666666667|0.8112820512820512|0.7350000000000001
2023-05-11 16:04:52|algorithm2_1|2fold|GlaucomaM|0.1|{25, 34, 44, 61}|62|4|0.6560509554140127|12.048902750015259|[0.85       0.79487179 0.82051282 0.82051282 0.82051282]|[0.9        0.71794872 0.84615385 0.82051282 0.8974359 ]|[0.75       0.71794872 0.84615385 0.61538462 0.79487179]|0.8212820512820512|0.8364102564102565|0.7448717948717949
2023-05-11 16:05:04|algorithm2_1|2fold|GlaucomaM|0.12000000000000001|{42, 34, 50, 61}|62|4|0.6878980891719745|12.333909749984741|[0.825      0.74358974 0.82051282 0.84615385 0.76923077]|[0.725      0.74358974 0.76923077 0.79487179 0.84615385]|[0.8        0.84615385 0.76923077 0.76923077 0.74358974]|0.800897435897436|0.7757692307692308|0.7856410256410256
2023-05-11 16:05:21|algorithm2_1|2fold|GlaucomaM|0.14|{34, 19, 4, 25, 13, 46}|62|6|0.6369426751592356|16.252431869506836|[0.825      0.82051282 0.82051282 0.82051282 0.87179487]|[0.775      0.82051282 0.82051282 0.87179487 0.84615385]|[0.75       0.79487179 0.82051282 0.76923077 0.79487179]|0.8316666666666667|0.8267948717948718|0.7858974358974358
2023-05-11 16:05:45|algorithm2_1|2fold|GlaucomaM|0.16|{17, 21, 14, 47}|62|4|0.6624203821656051|24.356376886367798|[0.875      0.71794872 0.74358974 0.74358974 0.74358974]|[0.825      0.69230769 0.71794872 0.76923077 0.76923077]|[0.725      0.61538462 0.71794872 0.76923077 0.82051282]|0.7647435897435898|0.7547435897435897|0.7296153846153846
2023-05-11 16:06:07|algorithm2_1|2fold|GlaucomaM|0.18|{8, 17, 60, 21}|62|4|0.6815286624203821|22.165679216384888|[0.8        0.71794872 0.84615385 0.76923077 0.76923077]|[0.8        0.69230769 0.71794872 0.74358974 0.76923077]|[0.825      0.61538462 0.74358974 0.71794872 0.82051282]|0.7805128205128204|0.7446153846153847|0.7444871794871795
2023-05-11 16:06:21|algorithm2_1|2fold|GlaucomaM|0.19999999999999998|{16, 17, 53, 22, 46, 15}|62|6|0.6369426751592356|13.83269739151001|[0.8        0.82051282 0.87179487 0.84615385 0.84615385]|[0.875      0.79487179 0.84615385 0.82051282 0.84615385]|[0.8        0.84615385 0.76923077 0.84615385 0.84615385]|0.836923076923077|0.8365384615384615|0.8215384615384614
