结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 16:26:35|algorithm2_1|2fold|Ionosphere|0.02|{0, 1, 32, 30}|34|4|0.6548042704626335|16.41466760635376|[0.76056338 0.9        0.78571429 0.77142857 0.8       ]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.83098592 0.91428571 0.85714286 0.78571429 0.78571429]|0.8035412474849094|0.7495774647887323|0.8347686116700201
2023-05-11 16:26:52|algorithm2_1|2fold|Ionosphere|0.04|{0, 1, 4, 5}|34|4|0.8220640569395018|17.27885913848877|[0.84507042 0.94285714 0.95714286 0.92857143 0.88571429]|[0.77464789 0.94285714 0.94285714 0.91428571 0.81428571]|[0.81690141 0.94285714 0.94285714 0.91428571 0.9       ]|0.9118712273641851|0.8777867203219316|0.9033802816901408
2023-05-11 16:27:09|algorithm2_1|2fold|Ionosphere|0.06|{0, 1, 2, 20}|34|4|0.8434163701067615|17.424790382385254|[0.84507042 0.85714286 0.84285714 0.84285714 0.77142857]|[0.83098592 0.84285714 0.9        0.88571429 0.78571429]|[0.84507042 0.95714286 0.94285714 0.85714286 0.81428571]|0.8318712273641852|0.8490543259557344|0.8832997987927567
2023-05-11 16:27:27|algorithm2_1|2fold|Ionosphere|0.08|{0, 1, 5, 14}|34|4|0.800711743772242|17.670266151428223|[0.88732394 0.88571429 0.94285714 0.91428571 0.82857143]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.84507042 0.9        0.94285714 0.85714286 0.84285714]|0.8917505030181087|0.7495774647887323|0.8775855130784709
2023-05-11 16:27:47|algorithm2_1|2fold|Ionosphere|0.1|{0, 1, 2, 33, 4, 5}|34|6|0.7473309608540926|20.111517190933228|[0.8028169  0.88571429 0.95714286 0.92857143 0.82857143]|[0.8028169  0.91428571 0.9        0.91428571 0.82857143]|[0.90140845 0.97142857 0.94285714 0.91428571 0.92857143]|0.8805633802816901|0.8719919517102616|0.9317102615694164
2023-05-11 16:28:06|algorithm2_1|2fold|Ionosphere|0.12000000000000001|{32, 33, 2, 1}|34|4|0.8469750889679716|18.58169913291931|[0.83098592 0.91428571 0.91428571 0.84285714 0.84285714]|[0.77464789 0.82857143 0.85714286 0.82857143 0.68571429]|[0.88732394 0.94285714 0.94285714 0.9        0.87142857]|0.8690543259557344|0.7949295774647889|0.9088933601609657
2023-05-11 16:28:25|algorithm2_1|2fold|Ionosphere|0.14|{33, 4, 29, 1}|34|4|0.8398576512455516|18.743651628494263|[0.78873239 0.82857143 0.9        0.77142857 0.75714286]|[0.8028169  0.87142857 0.85714286 0.87142857 0.7       ]|[0.81690141 0.92857143 0.88571429 0.85714286 0.85714286]|0.8091750503018108|0.8205633802816902|0.8690945674044265
2023-05-11 16:28:44|algorithm2_1|2fold|Ionosphere|0.16|{1, 4, 28, 15}|34|4|0.8647686832740213|18.991706371307373|[0.91549296 0.92857143 0.94285714 0.81428571 0.81428571]|[0.81690141 0.85714286 0.87142857 0.84285714 0.71428571]|[0.8028169  0.94285714 0.95714286 0.87142857 0.85714286]|0.8830985915492956|0.8205231388329979|0.8862776659959758
2023-05-11 16:29:03|algorithm2_1|2fold|Ionosphere|0.18|{2, 4, 15, 23}|34|4|0.8398576512455516|19.216917037963867|[0.87323944 0.9        0.95714286 0.91428571 0.82857143]|[0.8028169  0.85714286 0.87142857 0.87142857 0.71428571]|[0.87323944 0.98571429 0.94285714 0.91428571 0.88571429]|0.8946478873239437|0.823420523138833|0.9203621730382293
2023-05-11 16:29:22|algorithm2_1|2fold|Ionosphere|0.19999999999999998|{33, 2, 4, 23}|34|4|0.8362989323843416|19.29249668121338|[0.88732394 0.87142857 0.92857143 0.81428571 0.78571429]|[0.81690141 0.85714286 0.85714286 0.85714286 0.72857143]|[0.88732394 0.97142857 0.92857143 0.9        0.87142857]|0.8574647887323943|0.8233802816901408|0.9117505030181086
2023-05-11 16:29:44|algorithm2_1|2fold|Ionosphere|0.21999999999999997|{1, 2, 4, 22, 23, 29}|34|6|0.8220640569395018|21.112152576446533|[0.84507042 0.9        0.9        0.78571429 0.75714286]|[0.81690141 0.85714286 0.87142857 0.85714286 0.71428571]|[0.88732394 0.98571429 0.92857143 0.92857143 0.78571429]|0.8375855130784707|0.8233802816901408|0.9031790744466802
2023-05-11 16:30:00|algorithm2_1|2fold|Ionosphere|0.23999999999999996|{16, 32, 4, 25, 11, 31}|34|6|0.7722419928825622|15.838094234466553|[0.8028169  0.87142857 0.88571429 0.78571429 0.77142857]|[0.78873239 0.87142857 0.85714286 0.84285714 0.72857143]|[0.81690141 0.94285714 0.88571429 0.74285714 0.9       ]|0.823420523138833|0.8177464788732394|0.8576659959758551
2023-05-11 16:30:11|algorithm2_1|2fold|Ionosphere|0.25999999999999995|{16, 17, 33, 2, 4, 23}|34|6|0.797153024911032|11.604133605957031|[0.85915493 0.84285714 0.92857143 0.88571429 0.75714286]|[0.81690141 0.85714286 0.84285714 0.85714286 0.71428571]|[0.91549296 0.97142857 0.95714286 0.92857143 0.78571429]|0.8546881287726358|0.8176659959758551|0.9116700201207243
2023-05-11 16:30:24|algorithm2_1|2fold|Ionosphere|0.27999999999999997|{33, 2, 1, 7, 20, 22, 23, 24}|34|8|0.797153024911032|12.572490692138672|[0.84507042 0.88571429 0.87142857 0.77142857 0.82857143]|[0.85915493 0.87142857 0.85714286 0.82857143 0.77142857]|[0.85915493 0.92857143 0.91428571 0.82857143 0.84285714]|0.8404426559356135|0.8375452716297787|0.8746881287726358
2023-05-11 16:30:36|algorithm2_1|2fold|Ionosphere|0.3|{33, 20, 25, 28, 14, 15}|34|6|0.7900355871886121|11.71670913696289|[0.78873239 0.84285714 0.82857143 0.77142857 0.77142857]|[0.63380282 0.71428571 0.74285714 0.65714286 0.74285714]|[0.78873239 0.9        0.95714286 0.75714286 0.82857143]|0.8006036217303822|0.6981891348088531|0.8463179074446681
2023-05-11 16:30:47|algorithm2_1|2fold|Ionosphere|0.32|{33, 18, 4, 20, 22, 23}|34|6|0.8256227758007118|11.789728879928589|[0.85915493 0.91428571 0.91428571 0.84285714 0.77142857]|[0.81690141 0.84285714 0.85714286 0.8        0.7       ]|[0.8028169  0.94285714 0.9        0.88571429 0.84285714]|0.8604024144869216|0.8033802816901409|0.8748490945674045
2023-05-11 16:31:00|algorithm2_1|2fold|Ionosphere|0.34|{33, 18, 2, 4, 7, 22, 23, 14}|34|8|0.8042704626334519|12.671487092971802|[0.84507042 0.85714286 0.88571429 0.81428571 0.8       ]|[0.83098592 0.88571429 0.87142857 0.85714286 0.75714286]|[0.88732394 0.97142857 0.92857143 0.9        0.82857143]|0.8404426559356135|0.8404828973843059|0.90317907444668
2023-05-11 16:31:13|algorithm2_1|2fold|Ionosphere|0.36000000000000004|{18, 2, 4, 21, 22, 26, 27, 14}|34|8|0.7900355871886121|13.024927616119385|[0.81690141 0.91428571 0.9        0.82857143 0.81428571]|[0.84507042 0.87142857 0.88571429 0.87142857 0.75714286]|[0.81690141 0.95714286 0.92857143 0.9        0.87142857]|0.8548088531187122|0.8461569416498993|0.8948088531187123
2023-05-11 16:31:26|algorithm2_1|2fold|Ionosphere|0.38000000000000006|{16, 18, 19, 4, 20, 23, 14, 15}|34|8|0.7900355871886121|12.840977907180786|[0.84507042 0.85714286 0.85714286 0.85714286 0.77142857]|[0.8028169  0.85714286 0.82857143 0.77142857 0.72857143]|[0.76056338 0.94285714 0.91428571 0.7        0.91428571]|0.8375855130784708|0.7977062374245473|0.8463983903420523
2023-05-11 16:31:39|algorithm2_1|2fold|Ionosphere|0.4000000000000001|{1, 4, 14, 16, 17, 18, 20, 21, 22, 27}|34|10|0.7864768683274022|13.266149997711182|[0.81690141 0.85714286 0.85714286 0.82857143 0.77142857]|[0.84507042 0.84285714 0.85714286 0.81428571 0.75714286]|[0.83098592 0.94285714 0.92857143 0.88571429 0.9       ]|0.8262374245472838|0.8232997987927565|0.8976257545271629
