结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 16:02:30|algorithm2_1|2fold|Iris|0.02|{1, 2}|4|2|0.55|0.2596287727355957|[0.86666667 0.96666667 0.93333333 0.96666667 0.9       ]|[0.9        0.93333333 0.96666667 0.83333333 0.93333333]|[0.93333333 0.93333333 0.93333333 0.96666667 0.9       ]|0.9266666666666667|0.9133333333333334|0.9333333333333333
2023-05-11 16:02:30|algorithm2_1|2fold|Iris|0.04|{0, 2}|4|2|0.7916666666666666|0.26631951332092285|[0.86666667 0.93333333 1.         0.96666667 0.9       ]|[0.83333333 0.9        0.9        0.9        0.83333333]|[0.86666667 0.93333333 0.93333333 0.96666667 0.93333333]|0.9333333333333333|0.8733333333333333|0.9266666666666667
2023-05-11 16:02:31|algorithm2_1|2fold|Iris|0.06|{1, 2}|4|2|0.8583333333333333|0.2644340991973877|[0.86666667 0.96666667 0.93333333 0.96666667 0.9       ]|[0.9        0.93333333 0.96666667 0.83333333 0.93333333]|[0.93333333 0.93333333 0.93333333 0.96666667 0.9       ]|0.9266666666666667|0.9133333333333334|0.9333333333333333
2023-05-11 16:02:31|algorithm2_1|2fold|Iris|0.08|{1, 3}|4|2|0.8916666666666667|0.182861328125|[0.86666667 1.         1.         1.         0.93333333]|[0.9        1.         1.         0.96666667 0.93333333]|[0.86666667 1.         0.93333333 0.96666667 0.9       ]|0.96|0.96|0.9333333333333333
2023-05-11 16:02:31|algorithm2_1|2fold|Iris|0.1|{1, 3}|4|2|0.9333333333333333|0.13224577903747559|[0.86666667 1.         1.         1.         0.93333333]|[0.9        1.         1.         0.96666667 0.93333333]|[0.86666667 1.         0.93333333 0.96666667 0.9       ]|0.96|0.96|0.9333333333333333
2023-05-11 16:02:31|algorithm2_1|2fold|Iris|0.12000000000000001|{1, 3}|4|2|0.9333333333333333|0.13212990760803223|[0.86666667 1.         1.         1.         0.93333333]|[0.9        1.         1.         0.96666667 0.93333333]|[0.86666667 1.         0.93333333 0.96666667 0.9       ]|0.96|0.96|0.9333333333333333
2023-05-11 16:02:31|algorithm2_1|2fold|Iris|0.14|{1, 3}|4|2|0.9|0.13781499862670898|[0.86666667 1.         1.         1.         0.93333333]|[0.9        1.         1.         0.96666667 0.93333333]|[0.86666667 1.         0.93333333 0.96666667 0.9       ]|0.96|0.96|0.9333333333333333
2023-05-11 16:02:32|algorithm2_1|2fold|Iris|0.16|{0, 1, 2, 3}|4|4|0.925|0.13214731216430664|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-11 16:02:32|algorithm2_1|2fold|Iris|0.18|{0, 1, 2, 3}|4|4|0.9416666666666667|0.1301560401916504|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-11 16:02:32|algorithm2_1|2fold|Iris|0.19999999999999998|{0, 1, 2, 3}|4|4|0.95|0.13219881057739258|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-11 16:02:32|algorithm2_1|2fold|Iris|0.21999999999999997|{0, 1, 2, 3}|4|4|0.9416666666666667|0.1321108341217041|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-11 16:02:32|algorithm2_1|2fold|Iris|0.23999999999999996|{0, 1, 2, 3}|4|4|0.8666666666666667|0.13274025917053223|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-11 16:02:32|algorithm2_1|2fold|Iris|0.25999999999999995|{0, 1, 2, 3}|4|4|0.8833333333333333|0.1350386142730713|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-11 16:02:32|algorithm2_1|2fold|Iris|0.27999999999999997|{0, 1, 2, 3}|4|4|0.8916666666666667|0.13671636581420898|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-11 16:02:33|algorithm2_1|2fold|Iris|0.3|{0, 1, 2, 3}|4|4|0.875|0.13496065139770508|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-11 16:02:33|algorithm2_1|2fold|Iris|0.32|{0, 1, 2, 3}|4|4|0.8166666666666667|0.13592529296875|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-11 16:02:33|algorithm2_1|2fold|Iris|0.34|{0, 1, 2, 3}|4|4|0.6833333333333333|0.13331890106201172|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-11 16:02:33|algorithm2_1|2fold|Iris|0.36000000000000004|{0, 1, 2, 3}|4|4|0.7416666666666667|0.14611196517944336|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-11 16:02:33|algorithm2_1|2fold|Iris|0.38000000000000006|{0, 1, 2, 3}|4|4|0.6666666666666666|0.13341903686523438|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-11 16:02:33|algorithm2_1|2fold|Iris|0.4000000000000001|{0, 1, 2, 3}|4|4|0.6416666666666667|0.13402414321899414|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
