结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 16:09:31|algorithm2_1|2fold|Sonar|0.02|{57, 3}|60|2|0.5783132530120482|16.086493015289307|[0.73809524 0.61904762 0.42857143 0.53658537 0.58536585]|[0.54761905 0.52380952 0.64285714 0.46341463 0.53658537]|[0.66666667 0.4047619  0.5        0.43902439 0.58536585]|0.5815331010452962|0.5428571428571429|0.5191637630662022
2023-05-11 16:09:42|algorithm2_1|2fold|Sonar|0.04|{3, 20}|60|2|0.6566265060240963|10.730846166610718|[0.64285714 0.73809524 0.45238095 0.53658537 0.73170732]|[0.76190476 0.73809524 0.38095238 0.6097561  0.80487805]|[0.64285714 0.66666667 0.42857143 0.53658537 0.85365854]|0.6203252032520326|0.6591173054587689|0.6256678281068525
2023-05-11 16:09:58|algorithm2_1|2fold|Sonar|0.06|{3, 20}|60|2|0.45180722891566266|16.53870940208435|[0.64285714 0.73809524 0.45238095 0.53658537 0.73170732]|[0.76190476 0.73809524 0.38095238 0.6097561  0.80487805]|[0.64285714 0.66666667 0.42857143 0.53658537 0.85365854]|0.6203252032520326|0.6591173054587689|0.6256678281068525
2023-05-11 16:10:23|algorithm2_1|2fold|Sonar|0.08|{1, 3, 20, 46}|60|4|0.4819277108433735|24.592553853988647|[0.66666667 0.66666667 0.42857143 0.68292683 0.7804878 ]|[0.78571429 0.78571429 0.4047619  0.63414634 0.80487805]|[0.64285714 0.69047619 0.52380952 0.6097561  0.6097561 ]|0.6450638792102208|0.6830429732868758|0.6153310104529617
2023-05-11 16:10:40|algorithm2_1|2fold|Sonar|0.1|{48, 3, 20, 4}|60|4|0.5481927710843374|17.110080242156982|[0.80952381 0.66666667 0.52380952 0.7804878  0.75609756]|[0.83333333 0.78571429 0.45238095 0.63414634 0.65853659]|[0.69047619 0.45238095 0.5        0.7804878  0.6097561 ]|0.7073170731707317|0.672822299651568|0.6066202090592335
2023-05-11 16:10:53|algorithm2_1|2fold|Sonar|0.12000000000000001|{11, 51, 20, 47}|60|4|0.5963855421686747|12.967360496520996|[0.83333333 0.66666667 0.61904762 0.90243902 0.82926829]|[0.78571429 0.64285714 0.54761905 0.75609756 0.7804878 ]|[0.61904762 0.71428571 0.64285714 0.70731707 0.7804878 ]|0.7701509872241579|0.7025551684088269|0.6927990708478513
2023-05-11 16:11:06|algorithm2_1|2fold|Sonar|0.14|{25, 58, 3, 20}|60|4|0.5662650602409639|13.165138483047485|[0.38095238 0.71428571 0.42857143 0.48780488 0.58536585]|[0.54761905 0.73809524 0.38095238 0.58536585 0.73170732]|[0.64285714 0.71428571 0.42857143 0.36585366 0.6097561 ]|0.5193960511033683|0.5967479674796747|0.5522648083623694
2023-05-11 16:11:20|algorithm2_1|2fold|Sonar|0.16|{20, 29, 46, 6}|60|4|0.5963855421686747|13.406298398971558|[0.76190476 0.69047619 0.5        0.70731707 0.75609756]|[0.78571429 0.78571429 0.42857143 0.63414634 0.68292683]|[0.69047619 0.66666667 0.5952381  0.56097561 0.65853659]|0.6831591173054588|0.6634146341463415|0.6343786295005808
2023-05-11 16:11:33|algorithm2_1|2fold|Sonar|0.18|{9, 58, 20, 31}|60|4|0.608433734939759|13.65943455696106|[0.64285714 0.52380952 0.5        0.51219512 0.75609756]|[0.80952381 0.47619048 0.45238095 0.53658537 0.80487805]|[0.71428571 0.45238095 0.5952381  0.41463415 0.65853659]|0.5869918699186991|0.6159117305458768|0.5670150987224158
2023-05-11 16:11:55|algorithm2_1|2fold|Sonar|0.19999999999999998|{16, 11, 36, 45}|60|4|0.6746987951807228|21.019965171813965|[0.76190476 0.71428571 0.66666667 0.73170732 0.85365854]|[0.66666667 0.47619048 0.69047619 0.80487805 0.80487805]|[0.66666667 0.4047619  0.76190476 0.82926829 0.7804878 ]|0.7456445993031359|0.6886178861788619|0.6886178861788619
2023-05-11 16:12:21|algorithm2_1|2fold|Sonar|0.21999999999999997|{58, 11, 20, 36}|60|4|0.5963855421686747|26.299137592315674|[0.69047619 0.76190476 0.69047619 0.53658537 0.80487805]|[0.64285714 0.71428571 0.5        0.65853659 0.87804878]|[0.61904762 0.61904762 0.64285714 0.56097561 0.73170732]|0.6968641114982578|0.6787456445993032|0.6347270615563299
2023-05-11 16:12:49|algorithm2_1|2fold|Sonar|0.23999999999999996|{49, 18, 35, 33, 27, 12}|60|6|0.5963855421686747|28.400662422180176|[0.5952381  0.52380952 0.64285714 0.58536585 0.65853659]|[0.5        0.5952381  0.69047619 0.58536585 0.82926829]|[0.52380952 0.5952381  0.5        0.73170732 0.46341463]|0.6011614401858305|0.6400696864111498|0.5628339140534263
2023-05-11 16:13:18|algorithm2_1|2fold|Sonar|0.25999999999999995|{18, 35, 19, 58, 11, 47}|60|6|0.6265060240963856|28.18287754058838|[0.61904762 0.64285714 0.69047619 0.75609756 0.80487805]|[0.66666667 0.52380952 0.69047619 0.70731707 0.82926829]|[0.76190476 0.54761905 0.64285714 0.80487805 0.75609756]|0.70267131242741|0.6835075493612079|0.70267131242741
2023-05-11 16:13:46|algorithm2_1|2fold|Sonar|0.27999999999999997|{35, 19, 20, 9, 58, 11}|60|6|0.6385542168674698|28.87032985687256|[0.71428571 0.64285714 0.66666667 0.73170732 0.87804878]|[0.76190476 0.61904762 0.61904762 0.65853659 0.90243902]|[0.5952381  0.57142857 0.76190476 0.75609756 0.85365854]|0.7267131242740998|0.7121951219512195|0.7076655052264809
2023-05-11 16:14:15|algorithm2_1|2fold|Sonar|0.3|{19, 20, 21, 27, 11, 44}|60|6|0.6445783132530121|28.89366316795349|[0.69047619 0.47619048 0.5        0.70731707 0.75609756]|[0.69047619 0.64285714 0.47619048 0.73170732 0.75609756]|[0.64285714 0.66666667 0.64285714 0.7804878  0.7804878 ]|0.6260162601626016|0.6594657375145181|0.70267131242741
