结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 16:17:43|algorithm2_1|2fold|accent|0.02|{11, 6}|12|2|0.39923954372623577|3.798083782196045|[0.53030303 0.43939394 0.39393939 0.56060606 0.46153846]|[0.5        0.5        0.5        0.5        0.50769231]|[0.59090909 0.34848485 0.5        0.53030303 0.47692308]|0.4771561771561772|0.5015384615384615|0.4893240093240093
2023-05-11 16:17:47|algorithm2_1|2fold|accent|0.04|{10, 11}|12|2|0.38022813688212925|3.7635598182678223|[0.5        0.53030303 0.37878788 0.46969697 0.52307692]|[0.5        0.5        0.5        0.5        0.50769231]|[0.5        0.46969697 0.31818182 0.34848485 0.52307692]|0.4803729603729604|0.5015384615384615|0.4318881118881118
2023-05-11 16:17:52|algorithm2_1|2fold|accent|0.06|{8, 3, 11, 6}|12|4|0.3726235741444867|4.948357105255127|[0.59090909 0.48484848 0.42424242 0.48484848 0.53846154]|[0.5        0.5        0.5        0.5        0.50769231]|[0.36363636 0.40909091 0.36363636 0.51515152 0.38461538]|0.5046620046620046|0.5015384615384615|0.4072261072261072
2023-05-11 16:17:57|algorithm2_1|2fold|accent|0.08|{0, 8, 3, 6}|12|4|0.40304182509505704|4.990954399108887|[0.45454545 0.48484848 0.42424242 0.40909091 0.58461538]|[0.5        0.5        0.5        0.5        0.50769231]|[0.40909091 0.37878788 0.40909091 0.45454545 0.47692308]|0.4714685314685315|0.5015384615384615|0.42568764568764567
2023-05-11 16:18:02|algorithm2_1|2fold|accent|0.1|{8, 10, 2, 7}|12|4|0.49049429657794674|5.040151357650757|[0.59090909 0.63636364 0.45454545 0.48484848 0.61538462]|[0.5        0.5        0.5        0.5        0.50769231]|[0.57575758 0.60606061 0.40909091 0.46969697 0.58461538]|0.5564102564102564|0.5015384615384615|0.529044289044289
2023-05-11 16:18:07|algorithm2_1|2fold|accent|0.12000000000000001|{0, 8, 3, 1}|12|4|0.467680608365019|4.933624744415283|[0.56060606 0.5        0.5        0.48484848 0.66153846]|[0.5        0.5        0.5        0.5        0.50769231]|[0.40909091 0.54545455 0.42424242 0.42424242 0.64615385]|0.5413986013986014|0.5015384615384615|0.48983682983682986
2023-05-11 16:18:13|algorithm2_1|2fold|accent|0.14|{1, 2, 7, 8, 9, 10}|12|6|0.44106463878326996|5.722732067108154|[0.56060606 0.66666667 0.56060606 0.54545455 0.66153846]|[0.51515152 0.5        0.51515152 0.5        0.50769231]|[0.53030303 0.54545455 0.48484848 0.48484848 0.63076923]|0.5989743589743589|0.5075990675990676|0.5352447552447552
2023-05-11 16:18:19|algorithm2_1|2fold|accent|0.16|{1, 2, 6, 8, 10, 11}|12|6|0.5209125475285171|5.720840692520142|[0.65151515 0.66666667 0.65151515 0.45454545 0.67692308]|[0.54545455 0.5        0.51515152 0.5        0.50769231]|[0.62121212 0.65151515 0.48484848 0.56060606 0.69230769]|0.6202331002331002|0.5136596736596737|0.6020979020979021
2023-05-11 16:18:25|algorithm2_1|2fold|accent|0.18|{1, 2, 5, 8, 10, 11}|12|6|0.5095057034220533|5.628576278686523|[0.5        0.66666667 0.60606061 0.54545455 0.67692308]|[0.54545455 0.5        0.51515152 0.5        0.50769231]|[0.65151515 0.65151515 0.43939394 0.53030303 0.61538462]|0.599020979020979|0.5136596736596737|0.5776223776223776
2023-05-11 16:18:30|algorithm2_1|2fold|accent|0.19999999999999998|{0, 1, 2, 3, 8, 9}|12|6|0.4828897338403042|5.391226053237915|[0.65151515 0.62121212 0.54545455 0.46969697 0.63076923]|[0.5        0.5        0.5        0.5        0.50769231]|[0.59090909 0.60606061 0.43939394 0.46969697 0.58461538]|0.5837296037296038|0.5015384615384615|0.5381351981351983
2023-05-11 16:18:36|algorithm2_1|2fold|accent|0.21999999999999997|{0, 1, 2, 3, 7, 8, 9, 10}|12|8|0.49809885931558934|6.383971691131592|[0.6969697  0.68181818 0.62121212 0.63636364 0.73846154]|[0.56060606 0.51515152 0.51515152 0.5        0.50769231]|[0.63636364 0.48484848 0.53030303 0.40909091 0.66153846]|0.6749650349650349|0.5197202797202797|0.5444289044289043
2023-05-11 16:18:43|algorithm2_1|2fold|accent|0.23999999999999996|{0, 1, 2, 3, 4, 8, 10, 11}|12|8|0.6007604562737643|6.236896514892578|[0.63636364 0.6969697  0.6969697  0.59090909 0.70769231]|[0.57575758 0.51515152 0.51515152 0.5        0.50769231]|[0.63636364 0.54545455 0.54545455 0.43939394 0.66153846]|0.6657808857808858|0.5227505827505827|0.5656410256410256
2023-05-11 16:18:49|algorithm2_1|2fold|accent|0.25999999999999995|{0, 1, 2, 3, 5, 6, 7, 8, 10, 11}|12|10|0.5057034220532319|6.527341604232788|[0.72727273 0.66666667 0.72727273 0.66666667 0.75384615]|[0.54545455 0.51515152 0.51515152 0.5        0.50769231]|[0.59090909 0.5        0.59090909 0.48484848 0.66153846]|0.7083449883449883|0.5166899766899766|0.5656410256410256
2023-05-11 16:18:56|algorithm2_1|2fold|accent|0.27999999999999997|{0, 1, 2, 3, 5, 7, 8, 9, 10, 11}|12|10|0.5627376425855514|6.521259546279907|[0.75757576 0.66666667 0.68181818 0.59090909 0.69230769]|[0.54545455 0.51515152 0.51515152 0.5        0.50769231]|[0.56060606 0.5        0.48484848 0.46969697 0.66153846]|0.6778554778554777|0.5166899766899766|0.5353379953379953
2023-05-11 16:19:03|algorithm2_1|2fold|accent|0.3|{0, 1, 2, 3, 5, 6, 7, 8, 9, 10}|12|10|0.5551330798479087|6.539196491241455|[0.71212121 0.6969697  0.65151515 0.59090909 0.75384615]|[0.54545455 0.51515152 0.51515152 0.5        0.50769231]|[0.53030303 0.53030303 0.59090909 0.43939394 0.63076923]|0.681072261072261|0.5166899766899766|0.5443356643356643
2023-05-11 16:19:09|algorithm2_1|2fold|accent|0.32|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.5779467680608364|6.555909156799316|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.54545455 0.54545455 0.56060606 0.48484848 0.66153846]|0.686993006993007|0.5257808857808858|0.5595804195804195
2023-05-11 16:19:16|algorithm2_1|2fold|accent|0.34|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.596958174904943|6.632948398590088|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.54545455 0.53030303 0.56060606 0.46969697 0.64615385]|0.686993006993007|0.5257808857808858|0.5504428904428904
