结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 19:53:27|algorithm2_1|2fold|australian|0.02|{8, 1, 10, 7}|14|4|0.6829710144927537|8.870534658432007|[0.86231884 0.84782609 0.79710145 0.85507246 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84782609 0.86956522 0.83333333 0.85507246 0.86231884]|0.8405797101449275|0.8550724637681159|0.8536231884057971
2023-05-11 19:53:35|algorithm2_1|2fold|australian|0.04|{0, 1, 4, 7}|14|4|0.6684782608695652|7.668183326721191|[0.81884058 0.86231884 0.82608696 0.84057971 0.85507246]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.83333333 0.84782609 0.80434783 0.81884058 0.86231884]|0.8405797101449275|0.8550724637681159|0.8333333333333334
2023-05-11 19:53:44|algorithm2_1|2fold|australian|0.06|{9, 4, 1, 7}|14|4|0.6177536231884058|9.649070024490356|[0.84782609 0.85507246 0.82608696 0.84782609 0.87681159]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.85507246 0.84057971 0.84782609 0.7826087  0.84057971]|0.8507246376811594|0.8550724637681159|0.8333333333333334
2023-05-11 19:53:53|algorithm2_1|2fold|australian|0.08|{1, 4, 7, 8, 9, 10}|14|6|0.6739130434782609|8.950859546661377|[0.84782609 0.88405797 0.84057971 0.86956522 0.85507246]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84782609 0.83333333 0.85507246 0.79710145 0.84782609]|0.8594202898550725|0.8550724637681159|0.8362318840579709
2023-05-11 19:54:03|algorithm2_1|2fold|australian|0.1|{1, 4, 7, 8, 9, 10}|14|6|0.7336956521739131|9.229384899139404|[0.84782609 0.88405797 0.84057971 0.86956522 0.85507246]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.85507246 0.83333333 0.86231884 0.79710145 0.84782609]|0.8594202898550725|0.8550724637681159|0.8391304347826086
2023-05-11 19:54:13|algorithm2_1|2fold|australian|0.12000000000000001|{1, 4, 7, 8, 9, 10}|14|6|0.730072463768116|9.94546389579773|[0.84782609 0.88405797 0.84057971 0.86956522 0.85507246]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84782609 0.84057971 0.85507246 0.79710145 0.84782609]|0.8594202898550725|0.8550724637681159|0.8376811594202899
2023-05-11 19:54:21|algorithm2_1|2fold|australian|0.14|{1, 4, 7, 8, 9, 10}|14|6|0.6992753623188406|8.303303480148315|[0.84782609 0.88405797 0.84057971 0.86956522 0.85507246]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.85507246 0.84057971 0.85507246 0.79710145 0.84782609]|0.8594202898550725|0.8550724637681159|0.8391304347826086
2023-05-11 19:54:32|algorithm2_1|2fold|australian|0.16|{1, 4, 5, 7, 8, 9, 10, 11}|14|8|0.7192028985507246|10.419272422790527|[0.88405797 0.89855072 0.84057971 0.85507246 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84782609 0.86956522 0.86231884 0.82608696 0.85507246]|0.8652173913043478|0.8550724637681159|0.8521739130434783
2023-05-11 19:54:41|algorithm2_1|2fold|australian|0.18|{1, 2, 4, 7, 8, 9, 10, 13}|14|8|0.6884057971014492|9.611672639846802|[0.86231884 0.86956522 0.84782609 0.86231884 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.86956522 0.86956522 0.8115942  0.83333333 0.85507246]|0.8565217391304347|0.8550724637681159|0.8478260869565217
2023-05-11 19:54:50|algorithm2_1|2fold|australian|0.19999999999999998|{0, 1, 4, 7, 8, 9, 10, 12}|14|8|0.730072463768116|8.946533679962158|[0.86956522 0.86956522 0.83333333 0.84782609 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.88405797 0.85507246 0.82608696 0.84057971]|0.8536231884057971|0.8550724637681159|0.8434782608695652
2023-05-11 19:55:01|algorithm2_1|2fold|australian|0.21999999999999997|{0, 2, 4, 5, 6, 7, 10, 11}|14|8|0.6684782608695652|10.395177364349365|[0.84782609 0.85507246 0.84057971 0.84782609 0.85507246]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.83333333 0.82608696 0.84782609 0.84782609 0.82608696]|0.8492753623188406|0.8550724637681159|0.8362318840579711
2023-05-11 19:55:10|algorithm2_1|2fold|australian|0.23999999999999996|{0, 1, 3, 4, 6, 7, 8, 10}|14|8|0.730072463768116|8.877930879592896|[0.86231884 0.86231884 0.8115942  0.86956522 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.87681159 0.86231884 0.85507246 0.79710145 0.85507246]|0.8492753623188406|0.8550724637681159|0.8492753623188406
2023-05-11 19:55:19|algorithm2_1|2fold|australian|0.25999999999999995|{0, 1, 3, 4, 6, 7, 8, 10}|14|8|0.730072463768116|9.208601474761963|[0.86231884 0.86231884 0.8115942  0.86956522 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.87681159 0.86956522 0.83333333 0.79710145 0.85507246]|0.8492753623188406|0.8550724637681159|0.846376811594203
2023-05-11 19:55:30|algorithm2_1|2fold|australian|0.27999999999999997|{0, 1, 4, 5, 6, 7, 8, 10, 11, 12}|14|10|0.6829710144927537|10.444650888442993|[0.86231884 0.89130435 0.83333333 0.84782609 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.82608696 0.87681159 0.86231884 0.84057971 0.84057971]|0.855072463768116|0.8550724637681159|0.8492753623188406
2023-05-11 19:55:38|algorithm2_1|2fold|australian|0.3|{0, 2, 4, 5, 6, 7, 8, 10, 11, 13}|14|10|0.6394927536231884|8.790608644485474|[0.88405797 0.88405797 0.83333333 0.85507246 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.82608696 0.82608696 0.83333333 0.79710145 0.83333333]|0.8594202898550725|0.8550724637681159|0.8231884057971014
2023-05-11 19:55:48|algorithm2_1|2fold|australian|0.32|{0, 1, 2, 4, 5, 7, 8, 10}|14|8|0.6811594202898551|9.457064628601074|[0.87681159 0.89130435 0.84057971 0.83333333 0.83333333]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.85507246 0.87681159 0.84057971 0.77536232 0.84782609]|0.855072463768116|0.8550724637681159|0.8391304347826087
2023-05-11 19:55:58|algorithm2_1|2fold|australian|0.34|{0, 1, 2, 4, 5, 7, 8, 10}|14|8|0.6902173913043478|9.732178211212158|[0.87681159 0.89130435 0.84057971 0.83333333 0.83333333]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.86231884 0.87681159 0.84057971 0.7826087  0.84782609]|0.855072463768116|0.8550724637681159|0.8420289855072463
2023-05-11 19:56:07|algorithm2_1|2fold|australian|0.36000000000000004|{0, 1, 3, 4, 5, 7, 8, 9, 10, 11}|14|10|0.6920289855072463|8.735717058181763|[0.84057971 0.86956522 0.81884058 0.85507246 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.80434783 0.84782609 0.86231884 0.82608696 0.84782609]|0.846376811594203|0.8550724637681159|0.8376811594202899
2023-05-11 19:56:16|algorithm2_1|2fold|australian|0.38000000000000006|{0, 1, 3, 4, 5, 7, 8, 9, 10, 11}|14|10|0.7010869565217391|9.625257730484009|[0.84057971 0.86956522 0.81884058 0.85507246 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.84782609 0.83333333 0.82608696 0.84782609]|0.846376811594203|0.8550724637681159|0.8333333333333334
2023-05-11 19:56:26|algorithm2_1|2fold|australian|0.4000000000000001|{0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}|14|12|0.7010869565217391|9.879760026931763|[0.86231884 0.87681159 0.80434783 0.85507246 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.82608696 0.89130435 0.86956522 0.85507246 0.83333333]|0.8478260869565218|0.8550724637681159|0.8550724637681159
