结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 20:34:08|algorithm2_1|2fold|data_banknote|0.02|{0, 3}|4|2|0.8040109389243391|2.1339762210845947|[0.89818182 0.89818182 0.87956204 0.9270073  0.88321168]|[0.86545455 0.89818182 0.87591241 0.91240876 0.84671533]|[0.88       0.90181818 0.87956204 0.90875912 0.87226277]|0.8972289316522893|0.8797345719973457|0.8884804246848041
2023-05-11 20:34:11|algorithm2_1|2fold|data_banknote|0.04|{0, 1, 2, 3}|4|4|0.8386508659981768|2.95060133934021|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-11 20:34:15|algorithm2_1|2fold|data_banknote|0.06|{0, 1, 2, 3}|4|4|0.97538742023701|3.566667318344116|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-11 20:34:19|algorithm2_1|2fold|data_banknote|0.08|{0, 1, 2, 3}|4|4|0.9899726526891522|4.044323444366455|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-11 20:34:24|algorithm2_1|2fold|data_banknote|0.1|{0, 1, 2, 3}|4|4|0.9890610756608933|4.434589862823486|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-11 20:34:28|algorithm2_1|2fold|data_banknote|0.12000000000000001|{0, 1, 2, 3}|4|4|0.9972652689152234|4.772275686264038|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-11 20:34:34|algorithm2_1|2fold|data_banknote|0.14|{0, 1, 2, 3}|4|4|0.9990884229717412|5.011871099472046|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-11 20:34:39|algorithm2_1|2fold|data_banknote|0.16|{0, 1, 2, 3}|4|4|0.9990884229717412|5.20242714881897|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-11 20:34:44|algorithm2_1|2fold|data_banknote|0.18|{0, 1, 2, 3}|4|4|0.9972652689152234|5.27729868888855|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-11 20:34:50|algorithm2_1|2fold|data_banknote|0.19999999999999998|{0, 1, 2, 3}|4|4|0.9808568824065633|5.180353879928589|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
