结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 19:57:35|algorithm2_1|2fold|diabetes|0.02|{1, 4}|8|2|0.3729641693811075|2.1881229877471924|[0.77272727 0.7012987  0.73376623 0.7254902  0.68627451]|[0.80519481 0.71428571 0.75974026 0.73202614 0.69934641]|[0.77922078 0.65584416 0.72727273 0.67973856 0.67320261]|0.7239113827349122|0.7421186656480774|0.7030557677616501
2023-05-11 19:57:38|algorithm2_1|2fold|diabetes|0.04|{1, 2, 3, 4}|8|4|0.30944625407166126|3.090367317199707|[0.75974026 0.7012987  0.72727273 0.69934641 0.67320261]|[0.7987013  0.71428571 0.76623377 0.73202614 0.70588235]|[0.72727273 0.68181818 0.73376623 0.69934641 0.65359477]|0.7121721415839064|0.7434258551905611|0.6991596638655462
2023-05-11 19:57:42|algorithm2_1|2fold|diabetes|0.06|{1, 4, 5, 7}|8|4|0.4820846905537459|3.737318277359009|[0.82467532 0.73376623 0.77272727 0.73856209 0.73202614]|[0.80519481 0.74675325 0.80519481 0.75163399 0.7254902 ]|[0.82467532 0.72077922 0.75324675 0.73202614 0.64705882]|0.7603514132925898|0.7668534080298787|0.735557253204312
2023-05-11 19:57:46|algorithm2_1|2fold|diabetes|0.08|{1, 4, 5, 7}|8|4|0.5439739413680782|4.046797752380371|[0.82467532 0.73376623 0.77272727 0.73856209 0.73202614]|[0.80519481 0.74675325 0.80519481 0.75163399 0.7254902 ]|[0.82467532 0.72077922 0.74025974 0.73202614 0.63398693]|0.7603514132925898|0.7668534080298787|0.7303454715219421
2023-05-11 19:57:50|algorithm2_1|2fold|diabetes|0.1|{1, 2, 5, 7}|8|4|0.5|3.85886287689209|[0.85714286 0.74675325 0.80519481 0.76470588 0.66013072]|[0.81818182 0.73376623 0.7987013  0.76470588 0.7254902 ]|[0.81818182 0.79220779 0.74675325 0.73856209 0.67973856]|0.7667855020796197|0.7681690858161446|0.7550887021475257
2023-05-11 19:57:54|algorithm2_1|2fold|diabetes|0.12000000000000001|{0, 1, 2, 5}|8|4|0.46905537459283386|3.569051504135132|[0.81168831 0.72727273 0.70779221 0.75816993 0.69934641]|[0.81818182 0.73376623 0.79220779 0.77777778 0.69281046]|[0.79220779 0.72077922 0.75974026 0.66666667 0.66666667]|0.7408539173245055|0.7629488158899923|0.7212121212121212
2023-05-11 19:57:57|algorithm2_1|2fold|diabetes|0.14|{0, 1, 2, 5, 6, 7}|8|6|0.506514657980456|3.7938458919525146|[0.83116883 0.67532468 0.75324675 0.77777778 0.7124183 ]|[0.82467532 0.72077922 0.82467532 0.76470588 0.69934641]|[0.82467532 0.71428571 0.77922078 0.73202614 0.68627451]|0.7499872676343264|0.7668364315423138|0.747296494355318
2023-05-11 19:58:01|algorithm2_1|2fold|diabetes|0.16|{0, 1, 3, 5, 6, 7}|8|6|0.5586319218241043|3.7922379970550537|[0.79220779 0.70779221 0.75324675 0.77124183 0.70588235]|[0.82467532 0.74025974 0.80519481 0.77124183 0.70588235]|[0.80519481 0.72727273 0.76623377 0.7124183  0.67320261]|0.7460741872506579|0.7694508106272813|0.7368644427467957
2023-05-11 19:58:06|algorithm2_1|2fold|diabetes|0.18|{0, 1, 3, 5, 6, 7}|8|6|0.5358306188925082|4.340070962905884|[0.79220779 0.70779221 0.75324675 0.77124183 0.70588235]|[0.82467532 0.74025974 0.80519481 0.77124183 0.70588235]|[0.80519481 0.72727273 0.76623377 0.71895425 0.67320261]|0.7460741872506579|0.7694508106272813|0.7381716322892794
2023-05-11 19:58:10|algorithm2_1|2fold|diabetes|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.511400651465798|4.295257806777954|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.7124183  0.69281046]|0.7382650029708853|0.7590187590187589|0.7394873100755455
