结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 19:53:02|algorithm2_1|2fold|diamonds_filter|0.02|{2, 3}|4|2|0.40501043841336115|0.6362924575805664|[0.54166667 0.5        0.54166667 0.56666667 0.54621849]|[0.63333333 0.64166667 0.56666667 0.625      0.61344538]|[0.65       0.675      0.65       0.65       0.66386555]|0.5392436974789915|0.6160224089635855|0.6577731092436975
2023-05-11 19:53:03|algorithm2_1|2fold|diamonds_filter|0.04|{1, 2}|4|2|0.9373695198329853|0.6632988452911377|[0.96666667 0.96666667 0.975      0.99166667 0.98319328]|[0.89166667 0.9        0.89166667 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9766386554621848|0.8948039215686275|0.9966666666666667
2023-05-11 19:53:04|algorithm2_1|2fold|diamonds_filter|0.06|{1, 2}|4|2|0.9603340292275574|0.696282148361206|[0.96666667 0.96666667 0.975      0.99166667 0.98319328]|[0.89166667 0.9        0.89166667 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9766386554621848|0.8948039215686275|0.9966666666666667
2023-05-11 19:53:05|algorithm2_1|2fold|diamonds_filter|0.08|{1, 2}|4|2|0.9812108559498957|0.7241568565368652|[0.96666667 0.96666667 0.975      0.99166667 0.98319328]|[0.89166667 0.9        0.89166667 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9766386554621848|0.8948039215686275|0.9966666666666667
2023-05-11 19:53:05|algorithm2_1|2fold|diamonds_filter|0.1|{0, 1, 2, 3}|4|4|0.7473903966597077|0.7504057884216309|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-11 19:53:06|algorithm2_1|2fold|diamonds_filter|0.12000000000000001|{0, 1, 2, 3}|4|4|0.8288100208768268|0.7602832317352295|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-11 19:53:07|algorithm2_1|2fold|diamonds_filter|0.14|{0, 1, 2, 3}|4|4|0.8684759916492694|0.6944360733032227|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-11 19:53:08|algorithm2_1|2fold|diamonds_filter|0.16|{0, 1, 2, 3}|4|4|0.8997912317327766|0.7213609218597412|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-11 19:53:09|algorithm2_1|2fold|diamonds_filter|0.18|{0, 1, 2, 3}|4|4|0.9331941544885177|0.7416689395904541|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-11 19:53:09|algorithm2_1|2fold|diamonds_filter|0.19999999999999998|{0, 1, 2, 3}|4|4|0.9331941544885177|0.7502806186676025|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-11 19:53:10|algorithm2_1|2fold|diamonds_filter|0.21999999999999997|{0, 1, 2, 3}|4|4|0.9519832985386222|0.742976188659668|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-11 19:53:11|algorithm2_1|2fold|diamonds_filter|0.23999999999999996|{0, 1, 2, 3}|4|4|0.8830897703549061|0.7639360427856445|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-11 19:53:12|algorithm2_1|2fold|diamonds_filter|0.25999999999999995|{0, 1, 2, 3}|4|4|0.826722338204593|0.7536783218383789|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-11 19:53:13|algorithm2_1|2fold|diamonds_filter|0.27999999999999997|{0, 1, 2, 3}|4|4|0.824634655532359|0.7470130920410156|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-11 19:53:13|algorithm2_1|2fold|diamonds_filter|0.3|{0, 1, 2, 3}|4|4|0.7056367432150313|0.7395415306091309|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-11 19:53:14|algorithm2_1|2fold|diamonds_filter|0.32|{0, 1, 2, 3}|4|4|0.6659707724425887|0.815237283706665|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-11 19:53:15|algorithm2_1|2fold|diamonds_filter|0.34|{0, 1, 2, 3}|4|4|0.4989561586638831|0.8339707851409912|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-11 19:53:16|algorithm2_1|2fold|diamonds_filter|0.36000000000000004|{0, 1, 2, 3}|4|4|0.49269311064718163|0.8248307704925537|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-11 19:53:17|algorithm2_1|2fold|diamonds_filter|0.38000000000000006|{0, 1, 2, 3}|4|4|0.3778705636743215|0.8479199409484863|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-11 19:53:18|algorithm2_1|2fold|diamonds_filter|0.4000000000000001|{0, 1, 2, 3}|4|4|0.3862212943632568|0.8582229614257812|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
