结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 16:01:59|algorithm2_1|2fold|fertility_Diagnosis|0.02|{1, 2}|9|2|0.6625|0.39827656745910645|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.8  0.9  0.9  0.8  0.85]|0.8800000000000001|0.8800000000000001|0.85
2023-05-11 16:02:00|algorithm2_1|2fold|fertility_Diagnosis|0.04|{8, 2, 3, 4}|9|4|0.7125|0.28077268600463867|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.7 0.9 0.9 0.8 0.8]|0.8800000000000001|0.8800000000000001|0.82
2023-05-11 16:02:00|algorithm2_1|2fold|fertility_Diagnosis|0.06|{8, 2, 3, 4}|9|4|0.7125|0.4420475959777832|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.7 0.9 0.9 0.8 0.8]|0.8800000000000001|0.8800000000000001|0.82
2023-05-11 16:02:01|algorithm2_1|2fold|fertility_Diagnosis|0.08|{1, 2, 4, 7}|9|4|0.725|0.4997115135192871|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.85 0.8  0.85]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-11 16:02:01|algorithm2_1|2fold|fertility_Diagnosis|0.1|{1, 2, 4, 7}|9|4|0.7625|0.5290741920471191|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.7  0.8  0.85 0.75 0.85]|0.8800000000000001|0.8800000000000001|0.79
2023-05-11 16:02:02|algorithm2_1|2fold|fertility_Diagnosis|0.12000000000000001|{1, 2, 4, 7}|9|4|0.7625|0.5399587154388428|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.85 0.8  0.85]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-11 16:02:02|algorithm2_1|2fold|fertility_Diagnosis|0.14|{8, 1, 2, 4}|9|4|0.7875|0.4729182720184326|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.7  0.85 0.85 0.75 0.85]|0.8800000000000001|0.8800000000000001|0.8
2023-05-11 16:02:03|algorithm2_1|2fold|fertility_Diagnosis|0.16|{1, 2, 3, 4}|9|4|0.7875|0.5060420036315918|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.85 0.85 0.8  0.8 ]|0.8800000000000001|0.8800000000000001|0.8299999999999998
2023-05-11 16:02:03|algorithm2_1|2fold|fertility_Diagnosis|0.18|{1, 2, 3, 4}|9|4|0.7875|0.5031707286834717|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.85 0.85 0.8  0.8 ]|0.8800000000000001|0.8800000000000001|0.8299999999999998
2023-05-11 16:02:04|algorithm2_1|2fold|fertility_Diagnosis|0.19999999999999998|{8, 2, 3, 6}|9|4|0.7125|0.5057559013366699|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.75 0.75 0.9  0.7 ]|0.8800000000000001|0.8800000000000001|0.7699999999999999
2023-05-11 16:02:04|algorithm2_1|2fold|fertility_Diagnosis|0.21999999999999997|{1, 2, 3, 4}|9|4|0.775|0.5073566436767578|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.85 0.8  0.8  0.8 ]|0.8800000000000001|0.8800000000000001|0.82
2023-05-11 16:02:05|algorithm2_1|2fold|fertility_Diagnosis|0.23999999999999996|{1, 2, 5, 6}|9|4|0.725|0.5148582458496094|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.9  0.75 0.7  0.85]|0.8800000000000001|0.8800000000000001|0.7899999999999999
2023-05-11 16:02:06|algorithm2_1|2fold|fertility_Diagnosis|0.25999999999999995|{0, 1, 2, 3}|9|4|0.725|0.5142230987548828|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.9  0.75 0.5  0.85]|0.8800000000000001|0.8800000000000001|0.77
