结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 16:16:48|algorithm2_1|2fold|seeds|0.02|{5, 6}|7|2|0.3392857142857143|0.42017436027526855|[0.9047619  0.80952381 0.9047619  0.83333333 0.88095238]|[0.9047619  0.80952381 0.88095238 0.83333333 0.85714286]|[0.83333333 0.69047619 0.85714286 0.83333333 0.83333333]|0.8666666666666668|0.8571428571428571|0.8095238095238095
2023-05-11 16:16:48|algorithm2_1|2fold|seeds|0.04|{0, 5}|7|2|0.6904761904761905|0.4253499507904053|[0.92857143 0.76190476 0.92857143 0.92857143 0.95238095]|[0.92857143 0.66666667 0.9047619  0.97619048 0.92857143]|[0.95238095 0.69047619 0.85714286 0.92857143 0.97619048]|0.9|0.880952380952381|0.880952380952381
2023-05-11 16:16:49|algorithm2_1|2fold|seeds|0.06|{0, 5}|7|2|0.8214285714285714|0.43933534622192383|[0.92857143 0.76190476 0.92857143 0.92857143 0.95238095]|[0.92857143 0.66666667 0.9047619  0.97619048 0.92857143]|[0.97619048 0.71428571 0.85714286 0.92857143 0.97619048]|0.9|0.880952380952381|0.8904761904761905
2023-05-11 16:16:49|algorithm2_1|2fold|seeds|0.08|{1, 5}|7|2|0.8571428571428571|0.4465017318725586|[0.9047619  0.76190476 0.9047619  0.92857143 0.92857143]|[0.92857143 0.71428571 0.9047619  0.95238095 0.92857143]|[0.92857143 0.73809524 0.88095238 0.88095238 0.85714286]|0.8857142857142858|0.8857142857142858|0.8571428571428571
2023-05-11 16:16:50|algorithm2_1|2fold|seeds|0.1|{1, 5}|7|2|0.8511904761904762|0.45311474800109863|[0.9047619  0.76190476 0.9047619  0.92857143 0.92857143]|[0.92857143 0.71428571 0.9047619  0.95238095 0.92857143]|[0.92857143 0.73809524 0.88095238 0.88095238 0.88095238]|0.8857142857142858|0.8857142857142858|0.8619047619047618
2023-05-11 16:16:50|algorithm2_1|2fold|seeds|0.12000000000000001|{0, 5}|7|2|0.8333333333333334|0.4579041004180908|[0.92857143 0.76190476 0.92857143 0.92857143 0.95238095]|[0.92857143 0.66666667 0.9047619  0.97619048 0.92857143]|[0.95238095 0.71428571 0.88095238 0.92857143 0.97619048]|0.9|0.880952380952381|0.8904761904761905
2023-05-11 16:16:51|algorithm2_1|2fold|seeds|0.14|{1, 2, 4, 5}|7|4|0.8511904761904762|0.5443735122680664|[0.92857143 0.78571429 0.92857143 1.         0.92857143]|[0.92857143 0.71428571 0.92857143 1.         0.95238095]|[0.9047619  0.78571429 0.9047619  0.9047619  0.80952381]|0.9142857142857144|0.9047619047619048|0.8619047619047618
2023-05-11 16:16:51|algorithm2_1|2fold|seeds|0.16|{0, 1, 2, 5}|7|4|0.8630952380952381|0.5431320667266846|[0.92857143 0.76190476 0.9047619  0.97619048 0.92857143]|[0.92857143 0.71428571 0.9047619  1.         0.95238095]|[0.95238095 0.69047619 0.9047619  0.95238095 0.9047619 ]|0.9|0.9|0.880952380952381
2023-05-11 16:16:52|algorithm2_1|2fold|seeds|0.18|{1, 2, 3, 5}|7|4|0.8928571428571429|0.528541088104248|[0.92857143 0.80952381 0.9047619  0.97619048 0.92857143]|[0.92857143 0.71428571 0.9047619  0.97619048 0.95238095]|[0.92857143 0.69047619 0.85714286 0.85714286 0.83333333]|0.9095238095238095|0.8952380952380953|0.8333333333333334
2023-05-11 16:16:52|algorithm2_1|2fold|seeds|0.19999999999999998|{0, 2, 4, 5}|7|4|0.8690476190476191|0.5357639789581299|[0.92857143 0.76190476 0.92857143 1.         0.92857143]|[0.92857143 0.73809524 0.92857143 1.         0.9047619 ]|[0.88095238 0.71428571 0.9047619  0.95238095 0.95238095]|0.9095238095238095|0.9|0.880952380952381
2023-05-11 16:16:53|algorithm2_1|2fold|seeds|0.21999999999999997|{1, 2, 5, 6}|7|4|0.875|0.5486831665039062|[0.95238095 0.83333333 0.95238095 0.97619048 0.95238095]|[0.95238095 0.88095238 0.92857143 0.97619048 0.95238095]|[0.88095238 0.85714286 0.92857143 0.85714286 0.92857143]|0.9333333333333333|0.9380952380952381|0.8904761904761905
2023-05-11 16:16:54|algorithm2_1|2fold|seeds|0.23999999999999996|{0, 1, 2, 4, 5, 6}|7|6|0.875|0.5812540054321289|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.95238095]|[0.9047619  0.83333333 0.92857143 0.95238095 0.85714286]|0.9238095238095239|0.9380952380952381|0.8952380952380953
2023-05-11 16:16:54|algorithm2_1|2fold|seeds|0.25999999999999995|{0, 1, 2, 3, 5, 6}|7|6|0.8988095238095238|0.5722556114196777|[0.97619048 0.85714286 0.92857143 0.95238095 0.92857143]|[0.95238095 0.80952381 0.9047619  0.97619048 0.95238095]|[0.9047619  0.76190476 0.92857143 0.97619048 0.9047619 ]|0.9285714285714286|0.919047619047619|0.8952380952380953
2023-05-11 16:16:55|algorithm2_1|2fold|seeds|0.27999999999999997|{0, 1, 2, 5}|7|4|0.8511904761904762|0.5422437191009521|[0.92857143 0.76190476 0.9047619  0.97619048 0.92857143]|[0.92857143 0.71428571 0.9047619  1.         0.95238095]|[0.95238095 0.69047619 0.9047619  0.95238095 0.92857143]|0.9|0.9|0.8857142857142858
2023-05-11 16:16:55|algorithm2_1|2fold|seeds|0.3|{0, 1, 2, 3, 4, 5, 6}|7|7|0.8690476190476191|0.5738766193389893|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.76190476 0.92857143 0.95238095 0.85714286]|0.9238095238095239|0.9428571428571428|0.8809523809523808
2023-05-11 16:16:56|algorithm2_1|2fold|seeds|0.32|{0, 1, 2, 3, 5, 6}|7|6|0.8571428571428571|0.5977175235748291|[0.97619048 0.85714286 0.92857143 0.95238095 0.92857143]|[0.95238095 0.80952381 0.9047619  0.97619048 0.95238095]|[0.9047619  0.80952381 0.92857143 0.95238095 0.9047619 ]|0.9285714285714286|0.919047619047619|0.9000000000000001
2023-05-11 16:16:57|algorithm2_1|2fold|seeds|0.34|{0, 1, 2, 3, 4, 5, 6}|7|7|0.8630952380952381|0.5993807315826416|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.88095238 0.80952381 0.92857143 0.97619048 0.85714286]|0.9238095238095239|0.9428571428571428|0.8904761904761905
2023-05-11 16:16:57|algorithm2_1|2fold|seeds|0.36000000000000004|{0, 1, 2, 3, 4, 5, 6}|7|7|0.8273809523809523|0.5967750549316406|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.76190476 0.92857143 0.97619048 0.92857143]|0.9238095238095239|0.9428571428571428|0.9
2023-05-11 16:16:58|algorithm2_1|2fold|seeds|0.38000000000000006|{0, 1, 2, 3, 4, 5, 6}|7|7|0.8154761904761905|0.5782461166381836|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.88095238 0.80952381 0.92857143 0.95238095 0.83333333]|0.9238095238095239|0.9428571428571428|0.8809523809523808
2023-05-11 16:16:58|algorithm2_1|2fold|seeds|0.4000000000000001|{0, 1, 2, 3, 4, 5, 6}|7|7|0.7857142857142857|0.5823471546173096|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.69047619 0.92857143 0.95238095 0.85714286]|0.9238095238095239|0.9428571428571428|0.8666666666666666
