结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 19:46:42|algorithm2_1|2fold|wdbc|0.02|{13, 5}|30|2|0.8395604395604396|10.570681810379028|[0.88596491 0.88596491 0.87719298 0.86842105 0.92920354]|[0.81578947 0.87719298 0.84210526 0.85087719 0.89380531]|[0.85964912 0.9122807  0.88596491 0.85087719 0.90265487]|0.8893494798944263|0.855954044403043|0.8822853594162398
2023-05-11 19:46:55|algorithm2_1|2fold|wdbc|0.04|{27, 13}|30|2|0.8307692307692308|13.05726408958435|[0.92105263 0.93859649 0.92105263 0.9122807  0.92035398]|[0.92105263 0.92982456 0.90350877 0.92105263 0.92920354]|[0.89473684 0.94736842 0.92105263 0.92982456 0.91150442]|0.9226672876882471|0.9209284272628475|0.9208973761838225
2023-05-11 19:47:13|algorithm2_1|2fold|wdbc|0.06|{16, 13, 22, 14}|30|4|0.8527472527472527|17.69719934463501|[0.92982456 0.92105263 0.93859649 0.9122807  0.92035398]|[0.90350877 0.94736842 0.96491228 0.86842105 0.88495575]|[0.90350877 0.89473684 0.90350877 0.89473684 0.89380531]|0.9244216736531594|0.9138332557056359|0.8980593075609378
2023-05-11 19:47:32|algorithm2_1|2fold|wdbc|0.08|{25, 11, 13, 23}|30|4|0.8681318681318682|19.05116558074951|[0.94736842 0.92982456 0.96491228 0.90350877 0.91150442]|[0.92982456 0.93859649 0.94736842 0.89473684 0.9380531 ]|[0.87719298 0.9122807  0.9122807  0.89473684 0.95575221]|0.9314236919732961|0.9297158826269213|0.9104486880919112
2023-05-11 19:47:51|algorithm2_1|2fold|wdbc|0.1|{8, 24, 13, 23}|30|4|0.8813186813186813|19.29859185218811|[0.92105263 0.92105263 0.96491228 0.92105263 0.95575221]|[0.92982456 0.95614035 0.93859649 0.89473684 0.9380531 ]|[0.92105263 0.92982456 0.92982456 0.92105263 0.94690265]|0.9367644775655954|0.9314702685918336|0.9297314081664337
2023-05-11 19:48:11|algorithm2_1|2fold|wdbc|0.12000000000000001|{24, 11, 3, 20}|30|4|0.9230769230769231|19.783937692642212|[0.93859649 0.92982456 0.96491228 0.92982456 0.97345133]|[0.93859649 0.93859649 0.96491228 0.9122807  0.95575221]|[0.9122807  0.89473684 0.96491228 0.92105263 0.96460177]|0.9473218444340942|0.9420276354603322|0.9315168452103709
2023-05-11 19:48:32|algorithm2_1|2fold|wdbc|0.14|{24, 3, 11, 22}|30|4|0.9274725274725275|21.43849492073059|[0.93859649 0.92982456 0.96491228 0.93859649 0.97345133]|[0.93859649 0.95614035 0.97368421 0.92982456 0.97345133]|[0.94736842 0.88596491 0.96491228 0.92982456 0.9380531 ]|0.9490762303990063|0.9543393882937433|0.933224654556746
2023-05-11 19:48:53|algorithm2_1|2fold|wdbc|0.16|{8, 24, 20, 22}|30|4|0.9296703296703297|20.811026096343994|[0.92982456 0.93859649 0.96491228 0.93859649 0.97345133]|[0.92105263 0.97368421 0.99122807 0.92982456 0.96460177]|[0.92105263 0.87719298 0.9122807  0.92982456 0.94690265]|0.9490762303990063|0.956078248719143|0.9174507064120478
2023-05-11 19:49:14|algorithm2_1|2fold|wdbc|0.18|{24, 1, 27, 3}|30|4|0.9120879120879121|20.21697235107422|[0.94736842 0.90350877 0.96491228 0.93859649 0.96460177]|[0.92982456 0.94736842 0.96491228 0.95614035 0.95575221]|[0.89473684 0.93859649 0.94736842 0.9122807  0.96460177]|0.943797546964757|0.9507995652848937|0.931516845210371
2023-05-11 19:49:35|algorithm2_1|2fold|wdbc|0.19999999999999998|{1, 3, 21, 24, 27, 12}|30|6|0.9010989010989011|21.128939628601074|[0.97368421 0.90350877 0.96491228 0.94736842 0.96460177]|[0.95614035 0.92982456 0.96491228 0.96491228 0.95575221]|[0.88596491 0.9122807  0.95614035 0.92982456 0.97345133]|0.9508150908244062|0.9543083372147182|0.9315323707498836
2023-05-11 19:49:55|algorithm2_1|2fold|wdbc|0.21999999999999997|{1, 20, 22, 8, 24, 27}|30|6|0.9252747252747253|20.50089979171753|[0.95614035 0.94736842 0.97368421 0.95614035 0.97345133]|[0.97368421 0.96491228 0.97368421 0.94736842 0.96460177]|[0.93859649 0.88596491 0.96491228 0.92982456 0.95575221]|0.9613569321533924|0.9648501785437045|0.935010091600683
2023-05-11 19:50:16|algorithm2_1|2fold|wdbc|0.23999999999999996|{0, 1, 20, 24, 27, 29}|30|6|0.9274725274725275|20.16310429573059|[0.97368421 0.93859649 0.97368421 0.95614035 0.99115044]|[0.96491228 0.94736842 0.97368421 0.93859649 0.96460177]|[0.93859649 0.97368421 0.92982456 0.94736842 0.96460177]|0.9666511411271543|0.9578326346840551|0.9508150908244062
2023-05-11 19:50:36|algorithm2_1|2fold|wdbc|0.25999999999999995|{0, 20, 21, 24, 8, 27}|30|6|0.9318681318681319|20.20958948135376|[0.96491228 0.95614035 0.97368421 0.94736842 0.98230088]|[0.95614035 0.96491228 0.97368421 0.94736842 0.96460177]|[0.95614035 0.99122807 0.95614035 0.94736842 0.94690265]|0.9648812296227295|0.9613414066138798|0.9595559695699425
2023-05-11 19:50:56|algorithm2_1|2fold|wdbc|0.27999999999999997|{1, 20, 22, 8, 27, 29}|30|6|0.9186813186813186|19.75658345222473|[0.97368421 0.94736842 0.96491228 0.96491228 0.99115044]|[0.96491228 0.95614035 0.98245614 0.94736842 0.98230088]|[0.95614035 0.92105263 0.93859649 0.92982456 0.95575221]|0.9684055270920664|0.9666356155876417|0.9402732494954199
2023-05-11 19:51:16|algorithm2_1|2fold|wdbc|0.3|{0, 1, 21, 22, 7, 24, 27, 29}|30|8|0.9098901098901099|20.632005214691162|[0.97368421 0.92982456 0.97368421 0.95614035 0.97345133]|[0.94736842 0.94736842 0.97368421 0.96491228 0.98230088]|[0.92982456 0.89473684 0.96491228 0.93859649 0.92035398]|0.9613569321533924|0.9631268436578171|0.9296848315478963
2023-05-11 19:51:37|algorithm2_1|2fold|wdbc|0.32|{7, 21, 20, 23, 8, 27, 28, 29}|30|8|0.9296703296703297|20.427863836288452|[0.95614035 0.95614035 0.98245614 0.94736842 0.99115044]|[0.94736842 0.98245614 0.97368421 0.94736842 0.98230088]|[0.95614035 0.93859649 0.95614035 0.93859649 0.95575221]|0.9666511411271541|0.9666356155876417|0.9490451793199813
