结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 09:25:59|algorithm2_1|30noise|College|0.02|{0, 10, 6, 7}|17|4|0.3256113256113256|32.51868462562561|[0.94230769 0.8974359  0.89677419 0.91612903 0.90322581]|[0.94230769 0.91025641 0.90967742 0.90967742 0.89032258]|[0.94230769 0.90384615 0.90322581 0.93548387 0.90967742]|0.9111745244003309|0.9124483043837882|0.918908188585608
2023-05-08 09:26:33|algorithm2_1|30noise|College|0.04|{16, 0, 3, 5, 6, 15}|17|6|0.28957528957528955|33.49456429481506|[0.94230769 0.87820513 0.89032258 0.89677419 0.89032258]|[0.91025641 0.86538462 0.87741935 0.87741935 0.89677419]|[0.94871795 0.8974359  0.89032258 0.93548387 0.89677419]|0.899586435070306|0.8854507857733663|0.9137468982630272
2023-05-08 09:27:14|algorithm2_1|30noise|College|0.06|{1, 4, 14, 9}|17|4|0.3333333333333333|41.058284521102905|[0.86538462 0.82051282 0.8        0.84516129 0.78709677]|[0.83333333 0.76923077 0.79354839 0.82580645 0.75483871]|[0.86538462 0.82051282 0.82580645 0.86451613 0.78709677]|0.8236311000827129|0.7953515301902399|0.8326633581472291
2023-05-08 09:28:00|algorithm2_1|30noise|College|0.08|{2, 3, 4, 6, 9, 12}|17|6|0.3938223938223938|45.63953900337219|[0.88461538 0.83333333 0.86451613 0.88387097 0.83870968]|[0.88461538 0.82692308 0.83870968 0.85806452 0.84516129]|[0.84615385 0.81410256 0.8516129  0.86451613 0.84516129]|0.8610090984284533|0.8506947890818857|0.844309346567411
2023-05-08 09:28:45|algorithm2_1|30noise|College|0.1|{0, 2, 4, 10, 12, 14}|17|6|0.4144144144144144|44.554274559020996|[0.86538462 0.83974359 0.84516129 0.88387097 0.84516129]|[0.86538462 0.8525641  0.83870968 0.85806452 0.83870968]|[0.83974359 0.8525641  0.83870968 0.87096774 0.81290323]|0.8558643507030604|0.850686517783292|0.8429776674937965
2023-05-08 09:29:33|algorithm2_1|30noise|College|0.12000000000000001|{3, 4, 5, 6, 7, 9, 10, 14}|17|8|0.3745173745173745|48.39502549171448|[0.92948718 0.89102564 0.92258065 0.92258065 0.89677419]|[0.96794872 0.91666667 0.94193548 0.94193548 0.89032258]|[0.94230769 0.87179487 0.90322581 0.92903226 0.89677419]|0.9124896608767576|0.9317617866004962|0.9086269644334161
2023-05-08 09:30:22|algorithm2_1|30noise|College|0.14|{4, 5, 6, 7, 8, 10, 12, 13}|17|8|0.39253539253539255|48.23328399658203|[0.92948718 0.91025641 0.93548387 0.92258065 0.92258065]|[0.94871795 0.90384615 0.94193548 0.93548387 0.93548387]|[0.90384615 0.89102564 0.92258065 0.90322581 0.90967742]|0.9240777502067825|0.9330934656741109|0.9060711331679073
2023-05-08 09:31:11|algorithm2_1|30noise|College|0.16|{16, 1, 4, 5, 7, 10, 12, 13}|17|8|0.3745173745173745|48.74837374687195|[0.92948718 0.91666667 0.93548387 0.92258065 0.90967742]|[0.94871795 0.91666667 0.9483871  0.94193548 0.93548387]|[0.94230769 0.91666667 0.90322581 0.90322581 0.91612903]|0.9227791563275435|0.9382382133995038|0.91631100082713
2023-05-08 09:31:55|algorithm2_1|30noise|College|0.18|{16, 3, 4, 5, 8, 12, 13, 14}|17|8|0.4157014157014157|44.21958804130554|[0.91666667 0.87179487 0.89677419 0.93548387 0.87741935]|[0.93589744 0.88461538 0.92258065 0.91612903 0.89677419]|[0.90384615 0.91025641 0.91612903 0.90967742 0.89032258]|0.8996277915632753|0.9111993382961124|0.9060463192721258
2023-05-08 09:32:44|algorithm2_1|30noise|College|0.19999999999999998|{16, 4, 5, 7, 8, 10, 12, 14}|17|8|0.41312741312741313|48.69344973564148|[0.93589744 0.90384615 0.9483871  0.94193548 0.90322581]|[0.94230769 0.92307692 0.92903226 0.92258065 0.9483871 ]|[0.91025641 0.8974359  0.92258065 0.94193548 0.88387097]|0.9266583953680728|0.9330769230769231|0.9112158808933003
2023-05-08 09:33:28|algorithm2_1|30noise|College|0.21999999999999997|{2, 3, 4, 6, 7, 8, 10, 11, 12, 14}|17|10|0.41055341055341055|44.57246661186218|[0.93589744 0.91025641 0.92258065 0.91612903 0.91612903]|[0.92307692 0.92307692 0.93548387 0.93548387 0.93548387]|[0.93589744 0.91666667 0.93548387 0.89677419 0.90967742]|0.9201985111662531|0.9305210918114144|0.918899917287014
2023-05-08 09:34:14|algorithm2_1|30noise|College|0.23999999999999996|{1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 14, 16}|17|12|0.39768339768339767|45.54264187812805|[0.94230769 0.8974359  0.90322581 0.92903226 0.92258065]|[0.93589744 0.93589744 0.93548387 0.91612903 0.9483871 ]|[0.91025641 0.90384615 0.90967742 0.92903226 0.89032258]|0.9189164598842019|0.9343589743589744|0.9086269644334161
2023-05-08 09:35:03|algorithm2_1|30noise|College|0.25999999999999995|{2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 16}|17|12|0.37966537966537967|48.349777936935425|[0.93589744 0.91666667 0.92258065 0.92903226 0.92258065]|[0.92948718 0.91666667 0.94193548 0.90967742 0.92258065]|[0.94230769 0.88461538 0.91612903 0.89677419 0.90967742]|0.9253515301902399|0.9240694789081886|0.9099007444168734
2023-05-08 09:35:47|algorithm2_1|30noise|College|0.27999999999999997|{0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16}|17|14|0.3539253539253539|43.76692318916321|[0.95512821 0.92307692 0.92903226 0.92903226 0.92903226]|[0.93589744 0.91666667 0.94193548 0.91612903 0.93548387]|[0.8974359  0.87820513 0.92258065 0.94193548 0.89677419]|0.9330603804797354|0.9292224979321754|0.9073862696443342
2023-05-08 09:36:29|algorithm2_1|30noise|College|0.3|{1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16}|17|14|0.323037323037323|42.06824445724487|[0.95512821 0.91666667 0.93548387 0.93548387 0.92258065]|[0.93589744 0.92948718 0.94193548 0.92258065 0.93548387]|[0.91666667 0.91025641 0.91612903 0.92258065 0.89677419]|0.9330686517783292|0.9330769230769231|0.9124813895781637
2023-05-08 09:37:10|algorithm2_1|30noise|College|0.32|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}|17|17|0.27155727155727155|40.47420406341553|[0.94871795 0.92307692 0.93548387 0.93548387 0.94193548]|[0.94230769 0.92307692 0.94193548 0.92903226 0.93548387]|[0.91025641 0.87820513 0.92258065 0.92903226 0.89677419]|0.9369396195202647|0.9343672456575682|0.9073697270471465
2023-05-08 09:37:50|algorithm2_1|30noise|College|0.34|{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}|17|16|0.19433719433719435|40.22172689437866|[0.94871795 0.92307692 0.93548387 0.93548387 0.94193548]|[0.93589744 0.91025641 0.94193548 0.92903226 0.93548387]|[0.90384615 0.90384615 0.91612903 0.91612903 0.89677419]|0.9369396195202647|0.9305210918114144|0.9073449131513648
2023-05-08 09:38:37|algorithm2_1|30noise|College|0.36000000000000004|{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}|17|16|0.1788931788931789|46.927977085113525|[0.94871795 0.91666667 0.93548387 0.93548387 0.94193548]|[0.92948718 0.91025641 0.94193548 0.92903226 0.94193548]|[0.90384615 0.87820513 0.92258065 0.90322581 0.89032258]|0.9356575682382134|0.9305293631100083|0.8996360628618694
2023-05-08 09:39:19|algorithm2_1|30noise|College|0.38000000000000006|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}|17|17|0.1377091377091377|41.3651602268219|[0.94871795 0.92307692 0.93548387 0.93548387 0.94193548]|[0.94230769 0.92307692 0.94193548 0.92903226 0.93548387]|[0.91025641 0.87820513 0.91612903 0.92258065 0.90322581]|0.9369396195202647|0.9343672456575682|0.9060794044665013
2023-05-08 09:40:03|algorithm2_1|30noise|College|0.4000000000000001|{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}|17|16|0.12097812097812098|43.773536682128906|[0.94871795 0.91666667 0.93548387 0.93548387 0.94193548]|[0.92948718 0.91025641 0.94193548 0.92903226 0.94193548]|[0.90384615 0.8974359  0.90967742 0.94193548 0.89032258]|0.9356575682382134|0.9305293631100083|0.9086435070306038
