结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 00:04:58|algorithm2_1|30noise|Ionosphere|0.02|{0, 1, 18, 13}|34|4|0.42165242165242167|22.16458296775818|[0.77464789 0.8        0.87142857 0.84285714 0.74285714]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.74647887 0.72857143 0.82857143 0.8        0.81428571]|0.8063581488933602|0.7495774647887323|0.7835814889336016
2023-05-08 00:05:21|algorithm2_1|30noise|Ionosphere|0.04|{0, 1, 28, 7}|34|4|0.3817663817663818|23.050163507461548|[0.81690141 0.8        0.9        0.8        0.85714286]|[0.64788732 0.72857143 0.8        0.85714286 0.77142857]|[0.76056338 0.84285714 0.88571429 0.8        0.84285714]|0.8348088531187121|0.7610060362173038|0.8263983903420522
2023-05-08 00:05:47|algorithm2_1|30noise|Ionosphere|0.06|{0, 1, 2, 25, 26, 30}|34|6|0.358974358974359|26.13042116165161|[0.84507042 0.87142857 0.95714286 0.85714286 0.81428571]|[0.85915493 0.87142857 0.92857143 0.88571429 0.81428571]|[0.85915493 0.88571429 0.91428571 0.85714286 0.78571429]|0.8690140845070422|0.871830985915493|0.8604024144869216
2023-05-08 00:06:14|algorithm2_1|30noise|Ionosphere|0.08|{16, 1, 0, 33, 2, 26}|34|6|0.3475783475783476|26.938615560531616|[0.83098592 0.81428571 0.88571429 0.8        0.81428571]|[0.83098592 0.82857143 0.9        0.87142857 0.78571429]|[0.83098592 0.84285714 0.87142857 0.85714286 0.8       ]|0.8290543259557344|0.8433400402414486|0.8404828973843058
2023-05-08 00:06:42|algorithm2_1|30noise|Ionosphere|0.1|{0, 1, 33, 4, 8, 12}|34|6|0.3561253561253561|27.353577613830566|[0.8028169  0.98571429 0.92857143 0.9        0.81428571]|[0.78873239 0.9        0.95714286 0.9        0.82857143]|[0.77464789 0.95714286 0.94285714 0.91428571 0.88571429]|0.8862776659959758|0.8748893360160965|0.8949295774647886
2023-05-08 00:07:09|algorithm2_1|30noise|Ionosphere|0.12000000000000001|{0, 1, 33, 19, 4, 2}|34|6|0.35327635327635326|27.218558311462402|[0.78873239 0.87142857 0.94285714 0.9        0.82857143]|[0.78873239 0.88571429 0.91428571 0.91428571 0.81428571]|[0.90140845 0.98571429 0.94285714 0.88571429 0.9       ]|0.866317907444668|0.8634607645875251|0.9231388329979879
2023-05-08 00:07:40|algorithm2_1|30noise|Ionosphere|0.14|{0, 33, 2, 1, 4, 5, 25, 26}|34|8|0.358974358974359|30.660178661346436|[0.81690141 0.88571429 0.92857143 0.94285714 0.81428571]|[0.78873239 0.9        0.91428571 0.92857143 0.82857143]|[0.83098592 0.95714286 0.92857143 0.95714286 0.81428571]|0.877665995975855|0.8720321931589536|0.8976257545271629
2023-05-08 00:08:11|algorithm2_1|30noise|Ionosphere|0.16|{0, 33, 2, 3, 1, 17, 26, 27}|34|8|0.3504273504273504|30.864096641540527|[0.71830986 0.8        0.9        0.87142857 0.81428571]|[0.83098592 0.85714286 0.9        0.88571429 0.81428571]|[0.85915493 0.82857143 0.88571429 0.88571429 0.78571429]|0.820804828973843|0.8576257545271628|0.84897384305835
2023-05-08 00:08:44|algorithm2_1|30noise|Ionosphere|0.18|{0, 1, 2, 33, 4, 5, 7, 10, 18, 29}|34|10|0.2706552706552707|33.161460161209106|[0.78873239 0.82857143 0.92857143 0.88571429 0.75714286]|[0.84507042 0.91428571 0.92857143 0.91428571 0.78571429]|[0.90140845 0.95714286 0.94285714 0.91428571 0.84285714]|0.8377464788732393|0.8775855130784709|0.9117102615694165
2023-05-08 00:09:13|algorithm2_1|30noise|Ionosphere|0.19999999999999998|{1, 2, 3, 23, 26, 15}|34|6|0.27350427350427353|29.375552892684937|[0.85915493 0.87142857 0.91428571 0.85714286 0.82857143]|[0.77464789 0.78571429 0.84285714 0.82857143 0.7       ]|[0.87323944 0.87142857 0.92857143 0.81428571 0.8       ]|0.8661167002012073|0.7863581488933601|0.8575050301810865
