结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:22:01|algorithm2_1|ori|BreastTissue|0.02|{1, 5}|9|2|0.2830188679245283|1.1558616161346436|[0.5        0.47619048 0.47619048 0.52380952 0.47619048]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.59090909 0.66666667 0.52380952 0.57142857 0.52380952]|0.4904761904761905|0.40519480519480516|0.5753246753246752
2023-05-07 23:22:02|algorithm2_1|ori|BreastTissue|0.04|{1, 5}|9|2|0.36792452830188677|1.2088689804077148|[0.5        0.47619048 0.47619048 0.52380952 0.47619048]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.59090909 0.66666667 0.52380952 0.57142857 0.52380952]|0.4904761904761905|0.40519480519480516|0.5753246753246752
2023-05-07 23:22:04|algorithm2_1|ori|BreastTissue|0.06|{1, 5}|9|2|0.3113207547169811|1.1429295539855957|[0.5        0.47619048 0.47619048 0.52380952 0.47619048]|[0.45454545 0.38095238 0.38095238 0.38095238 0.42857143]|[0.59090909 0.66666667 0.52380952 0.57142857 0.52380952]|0.4904761904761905|0.40519480519480516|0.5753246753246752
2023-05-07 23:22:05|algorithm2_1|ori|BreastTissue|0.08|{2, 3, 5, 7}|9|4|0.37735849056603776|1.4991583824157715|[0.63636364 0.52380952 0.57142857 0.61904762 0.42857143]|[0.54545455 0.52380952 0.47619048 0.42857143 0.38095238]|[0.63636364 0.47619048 0.47619048 0.61904762 0.61904762]|0.5558441558441558|0.470995670995671|0.5653679653679654
2023-05-07 23:22:07|algorithm2_1|ori|BreastTissue|0.1|{0, 1, 2, 3}|9|4|0.4056603773584906|1.5649621486663818|[0.68181818 0.52380952 0.61904762 0.66666667 0.61904762]|[0.63636364 0.61904762 0.47619048 0.52380952 0.42857143]|[0.5        0.61904762 0.76190476 0.71428571 0.33333333]|0.6220779220779221|0.5367965367965367|0.5857142857142857
2023-05-07 23:22:08|algorithm2_1|ori|BreastTissue|0.12000000000000001|{0, 2, 3, 6}|9|4|0.4056603773584906|1.527919054031372|[0.68181818 0.57142857 0.61904762 0.71428571 0.52380952]|[0.59090909 0.61904762 0.52380952 0.52380952 0.47619048]|[0.5        0.61904762 0.76190476 0.66666667 0.57142857]|0.6220779220779221|0.5467532467532468|0.6238095238095237
2023-05-07 23:22:10|algorithm2_1|ori|BreastTissue|0.14|{0, 1, 2, 3}|9|4|0.42452830188679247|1.486361026763916|[0.68181818 0.52380952 0.61904762 0.66666667 0.61904762]|[0.63636364 0.61904762 0.47619048 0.52380952 0.42857143]|[0.5        0.61904762 0.76190476 0.66666667 0.38095238]|0.6220779220779221|0.5367965367965367|0.5857142857142856
2023-05-07 23:22:11|algorithm2_1|ori|BreastTissue|0.16|{0, 1, 2, 3}|9|4|0.41509433962264153|1.5291309356689453|[0.68181818 0.52380952 0.61904762 0.66666667 0.61904762]|[0.63636364 0.61904762 0.47619048 0.52380952 0.42857143]|[0.5        0.61904762 0.76190476 0.71428571 0.33333333]|0.6220779220779221|0.5367965367965367|0.5857142857142857
2023-05-07 23:22:13|algorithm2_1|ori|BreastTissue|0.18|{0, 2, 3, 5}|9|4|0.42452830188679247|1.5245192050933838|[0.68181818 0.57142857 0.61904762 0.71428571 0.52380952]|[0.54545455 0.57142857 0.52380952 0.52380952 0.52380952]|[0.63636364 0.57142857 0.52380952 0.57142857 0.42857143]|0.6220779220779221|0.5376623376623376|0.5463203463203462
2023-05-07 23:22:14|algorithm2_1|ori|BreastTissue|0.19999999999999998|{0, 1, 2, 3}|9|4|0.3867924528301887|1.465850591659546|[0.68181818 0.52380952 0.61904762 0.66666667 0.61904762]|[0.63636364 0.61904762 0.47619048 0.52380952 0.42857143]|[0.5        0.61904762 0.76190476 0.66666667 0.33333333]|0.6220779220779221|0.5367965367965367|0.5761904761904761
2023-05-07 23:22:16|algorithm2_1|ori|BreastTissue|0.21999999999999997|{0, 2, 3, 4}|9|4|0.41509433962264153|1.4882168769836426|[0.68181818 0.57142857 0.61904762 0.61904762 0.52380952]|[0.63636364 0.61904762 0.52380952 0.52380952 0.47619048]|[0.59090909 0.57142857 0.61904762 0.76190476 0.42857143]|0.603030303030303|0.5558441558441558|0.5943722943722943
2023-05-07 23:22:17|algorithm2_1|ori|BreastTissue|0.23999999999999996|{0, 2, 3, 4}|9|4|0.41509433962264153|1.4626333713531494|[0.68181818 0.57142857 0.61904762 0.61904762 0.52380952]|[0.63636364 0.61904762 0.52380952 0.52380952 0.47619048]|[0.59090909 0.52380952 0.61904762 0.71428571 0.42857143]|0.603030303030303|0.5558441558441558|0.5753246753246752
2023-05-07 23:22:19|algorithm2_1|ori|BreastTissue|0.25999999999999995|{0, 1, 2, 3, 4, 5}|9|6|0.42452830188679247|1.604292869567871|[0.68181818 0.57142857 0.61904762 0.61904762 0.61904762]|[0.63636364 0.61904762 0.47619048 0.57142857 0.42857143]|[0.68181818 0.61904762 0.61904762 0.71428571 0.47619048]|0.6220779220779221|0.5463203463203462|0.6220779220779221
