结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 09:04:42|algorithm2_1|ori|College|0.02|{6, 7}|17|2|0.7258687258687259|23.295416831970215|[0.91025641 0.85897436 0.89677419 0.90967742 0.86451613]|[0.8525641  0.84615385 0.89032258 0.86451613 0.8516129 ]|[0.91666667 0.86538462 0.87741935 0.88387097 0.87096774]|0.8880397022332506|0.861033912324235|0.8828618693134821
2023-05-08 09:05:15|algorithm2_1|ori|College|0.04|{15, 5, 6, 7}|17|4|0.7168597168597168|33.024675369262695|[0.97435897 0.93589744 0.92903226 0.93548387 0.91612903]|[0.96794872 0.91666667 0.94193548 0.93548387 0.90322581]|[0.94871795 0.88461538 0.91612903 0.92258065 0.91612903]|0.9381803143093466|0.9330521091811415|0.9176344086021505
2023-05-08 09:05:50|algorithm2_1|ori|College|0.06|{0, 12, 6, 7}|17|4|0.7837837837837838|34.29467177391052|[0.91025641 0.91666667 0.90967742 0.89677419 0.94193548]|[0.92307692 0.92307692 0.93548387 0.93548387 0.93548387]|[0.91666667 0.90384615 0.90967742 0.93548387 0.90967742]|0.915062034739454|0.9305210918114144|0.915070306038048
2023-05-08 09:06:27|algorithm2_1|ori|College|0.08|{2, 12, 6, 7}|17|4|0.8185328185328186|37.09648942947388|[0.91666667 0.90384615 0.93548387 0.90967742 0.92258065]|[0.92307692 0.91666667 0.93548387 0.92903226 0.93548387]|[0.91025641 0.90384615 0.90967742 0.90967742 0.90967742]|0.9176509511993383|0.927948717948718|0.9086269644334161
2023-05-08 09:07:07|algorithm2_1|ori|College|0.1|{1, 12, 5, 7}|17|4|0.833976833976834|40.12742066383362|[0.94871795 0.91025641 0.93548387 0.93548387 0.92258065]|[0.95512821 0.91666667 0.94193548 0.94193548 0.93548387]|[0.92307692 0.88461538 0.91612903 0.91612903 0.93548387]|0.9305045492142267|0.9382299421009097|0.9150868486352357
2023-05-08 09:07:53|algorithm2_1|ori|College|0.12000000000000001|{16, 1, 6, 7, 9, 14}|17|6|0.7799227799227799|45.032371044158936|[0.94230769 0.89102564 0.94193548 0.89677419 0.92258065]|[0.93589744 0.91025641 0.92903226 0.92258065 0.91612903]|[0.92948718 0.91025641 0.92258065 0.89032258 0.89032258]|0.9189247311827957|0.9227791563275435|0.9085938792390407
2023-05-08 09:08:34|algorithm2_1|ori|College|0.14|{0, 5, 6, 7, 11, 14}|17|6|0.8352638352638353|41.33610415458679|[0.94230769 0.91025641 0.94193548 0.92258065 0.94193548]|[0.95512821 0.92307692 0.92258065 0.92903226 0.92258065]|[0.92948718 0.87820513 0.91612903 0.92258065 0.92258065]|0.9318031430934657|0.930479735318445|0.9137965260545906
2023-05-08 09:09:16|algorithm2_1|ori|College|0.16|{0, 1, 5, 7, 11, 14}|17|6|0.8326898326898327|42.24675440788269|[0.95512821 0.91025641 0.92903226 0.94193548 0.92258065]|[0.95512821 0.91666667 0.92258065 0.93548387 0.92903226]|[0.94230769 0.87179487 0.92258065 0.92258065 0.90967742]|0.9317866004962779|0.931778329197684|0.9137882547559968
2023-05-08 09:09:57|algorithm2_1|ori|College|0.18|{0, 3, 5, 7, 8, 12}|17|6|0.8468468468468469|40.8056058883667|[0.93589744 0.91666667 0.93548387 0.9483871  0.94193548]|[0.94871795 0.92307692 0.94193548 0.95483871 0.92903226]|[0.92307692 0.87820513 0.92903226 0.92903226 0.92258065]|0.9356741108354012|0.939520264681555|0.9163854425144748
2023-05-08 09:10:38|algorithm2_1|ori|College|0.19999999999999998|{2, 4, 5, 7, 11, 14}|17|6|0.8687258687258688|40.36340284347534|[0.92307692 0.90384615 0.91612903 0.91612903 0.94193548]|[0.94871795 0.92948718 0.92903226 0.93548387 0.93548387]|[0.94871795 0.90384615 0.90322581 0.92258065 0.89032258]|0.9202233250620347|0.9356410256410257|0.9137386269644334
