结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:49:29|algorithm2_1|ori|Glass|0.02|{8, 5, 6, 7}|9|4|0.2757009345794392|2.9829390048980713|[0.46511628 0.53488372 0.62790698 0.65116279 0.47619048]|[0.34883721 0.46511628 0.30232558 0.39534884 0.42857143]|[0.65116279 0.55813953 0.58139535 0.65116279 0.52380952]|0.5510520487264674|0.38803986710963456|0.5931339977851605
2023-05-07 23:49:32|algorithm2_1|ori|Glass|0.04|{0, 2, 5, 6, 7, 8}|9|6|0.4439252336448598|3.270409107208252|[0.53488372 0.58139535 0.55813953 0.55813953 0.54761905]|[0.51162791 0.55813953 0.44186047 0.65116279 0.5       ]|[0.44186047 0.62790698 0.65116279 0.69767442 0.52380952]|0.5560354374307863|0.5325581395348837|0.588482834994463
2023-05-07 23:49:36|algorithm2_1|ori|Glass|0.06|{0, 2, 3, 4, 5, 6, 7, 8}|9|8|0.37850467289719625|3.433593273162842|[0.53488372 0.58139535 0.60465116 0.62790698 0.47619048]|[0.58139535 0.60465116 0.48837209 0.41860465 0.47619048]|[0.6744186  0.58139535 0.62790698 0.69767442 0.64285714]|0.5650055370985603|0.5138427464008859|0.6448504983388704
2023-05-07 23:49:39|algorithm2_1|ori|Glass|0.08|{0, 1, 3, 4, 7, 8}|9|6|0.4485981308411215|3.3047709465026855|[0.55813953 0.60465116 0.51162791 0.62790698 0.54761905]|[0.51162791 0.46511628 0.44186047 0.44186047 0.52380952]|[0.60465116 0.51162791 0.55813953 0.65116279 0.61904762]|0.5699889258028792|0.47685492801771867|0.5889258028792912
2023-05-07 23:49:43|algorithm2_1|ori|Glass|0.1|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.4392523364485981|3.383758544921875|[0.55813953 0.53488372 0.62790698 0.62790698 0.47619048]|[0.55813953 0.60465116 0.48837209 0.44186047 0.47619048]|[0.72093023 0.55813953 0.65116279 0.69767442 0.66666667]|0.5650055370985603|0.5138427464008859|0.6589147286821706
2023-05-07 23:49:46|algorithm2_1|ori|Glass|0.12000000000000001|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.35046728971962615|3.359170436859131|[0.55813953 0.53488372 0.62790698 0.62790698 0.47619048]|[0.55813953 0.60465116 0.48837209 0.44186047 0.47619048]|[0.6744186  0.58139535 0.60465116 0.69767442 0.66666667]|0.5650055370985603|0.5138427464008859|0.6449612403100775
2023-05-07 23:49:50|algorithm2_1|ori|Glass|0.14|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.3691588785046729|3.4322361946105957|[0.55813953 0.53488372 0.62790698 0.62790698 0.47619048]|[0.55813953 0.60465116 0.48837209 0.44186047 0.47619048]|[0.6744186  0.58139535 0.65116279 0.69767442 0.66666667]|0.5650055370985603|0.5138427464008859|0.6542635658914728
2023-05-07 23:49:55|algorithm2_1|ori|Glass|0.16|{0, 1, 2, 3, 5, 6, 7, 8}|9|8|0.37383177570093457|4.843839406967163|[0.55813953 0.58139535 0.58139535 0.65116279 0.52380952]|[0.55813953 0.6744186  0.48837209 0.48837209 0.47619048]|[0.6744186  0.53488372 0.60465116 0.72093023 0.66666667]|0.5791805094130675|0.5370985603543743|0.6403100775193798
2023-05-07 23:49:58|algorithm2_1|ori|Glass|0.18|{0, 1, 2, 3, 5, 6, 7, 8}|9|8|0.29439252336448596|3.564938545227051|[0.55813953 0.58139535 0.58139535 0.65116279 0.52380952]|[0.55813953 0.6744186  0.48837209 0.48837209 0.47619048]|[0.72093023 0.53488372 0.60465116 0.72093023 0.66666667]|0.5791805094130675|0.5370985603543743|0.6496124031007752
2023-05-07 23:50:02|algorithm2_1|ori|Glass|0.19999999999999998|{0, 1, 2, 3, 7, 8}|9|6|0.29906542056074764|3.3872194290161133|[0.58139535 0.65116279 0.58139535 0.69767442 0.52380952]|[0.55813953 0.65116279 0.51162791 0.58139535 0.47619048]|[0.60465116 0.53488372 0.60465116 0.69767442 0.5       ]|0.6070874861572536|0.5557032115171651|0.5883720930232558
2023-05-07 23:50:05|algorithm2_1|ori|Glass|0.21999999999999997|{0, 2, 3, 5, 7, 8}|9|6|0.2523364485981308|3.332827568054199|[0.60465116 0.60465116 0.58139535 0.65116279 0.54761905]|[0.60465116 0.6744186  0.51162791 0.48837209 0.47619048]|[0.65116279 0.53488372 0.65116279 0.69767442 0.64285714]|0.5978959025470653|0.5510520487264674|0.6355481727574751
2023-05-07 23:50:09|algorithm2_1|ori|Glass|0.23999999999999996|{0, 2, 3, 4, 7, 8}|9|6|0.27102803738317754|3.477870464324951|[0.55813953 0.55813953 0.55813953 0.62790698 0.5       ]|[0.58139535 0.60465116 0.51162791 0.48837209 0.5       ]|[0.60465116 0.60465116 0.62790698 0.6744186  0.5       ]|0.5604651162790697|0.5372093023255814|0.6023255813953489
2023-05-07 23:50:12|algorithm2_1|ori|Glass|0.25999999999999995|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.2803738317757009|3.595346450805664|[0.55813953 0.53488372 0.62790698 0.62790698 0.47619048]|[0.55813953 0.60465116 0.48837209 0.44186047 0.47619048]|[0.6744186  0.55813953 0.62790698 0.69767442 0.66666667]|0.5650055370985603|0.5138427464008859|0.6449612403100775
2023-05-07 23:50:16|algorithm2_1|ori|Glass|0.27999999999999997|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.26635514018691586|3.3952431678771973|[0.55813953 0.51162791 0.62790698 0.65116279 0.47619048]|[0.53488372 0.58139535 0.48837209 0.44186047 0.47619048]|[0.6744186  0.60465116 0.62790698 0.69767442 0.5       ]|0.5650055370985604|0.5045404208194906|0.6209302325581396
2023-05-07 23:50:19|algorithm2_1|ori|Glass|0.3|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.2850467289719626|3.4656291007995605|[0.55813953 0.53488372 0.62790698 0.62790698 0.47619048]|[0.55813953 0.60465116 0.48837209 0.44186047 0.47619048]|[0.72093023 0.60465116 0.62790698 0.69767442 0.66666667]|0.5650055370985603|0.5138427464008859|0.6635658914728682
2023-05-07 23:50:23|algorithm2_1|ori|Glass|0.32|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.20093457943925233|3.456895589828491|[0.55813953 0.53488372 0.62790698 0.62790698 0.47619048]|[0.55813953 0.60465116 0.48837209 0.44186047 0.47619048]|[0.72093023 0.60465116 0.62790698 0.69767442 0.66666667]|0.5650055370985603|0.5138427464008859|0.6635658914728682
2023-05-07 23:50:26|algorithm2_1|ori|Glass|0.34|{1, 2, 3, 4, 5, 6, 7, 8}|9|8|0.19158878504672897|3.5704338550567627|[0.65116279 0.58139535 0.65116279 0.62790698 0.54761905]|[0.60465116 0.55813953 0.51162791 0.46511628 0.52380952]|[0.6744186  0.51162791 0.6744186  0.6744186  0.64285714]|0.6118493909191584|0.5326688815060907|0.635548172757475
2023-05-07 23:50:29|algorithm2_1|ori|Glass|0.36000000000000004|{8, 2, 5, 7}|9|4|0.14485981308411214|3.0549490451812744|[0.39534884 0.6744186  0.51162791 0.39534884 0.38095238]|[0.48837209 0.51162791 0.44186047 0.48837209 0.38095238]|[0.44186047 0.58139535 0.6744186  0.58139535 0.5       ]|0.4715393133997785|0.4622369878183831|0.5558139534883721
2023-05-07 23:50:33|algorithm2_1|ori|Glass|0.38000000000000006|{8, 2, 5, 7}|9|4|0.1542056074766355|3.1048760414123535|[0.39534884 0.6744186  0.51162791 0.39534884 0.38095238]|[0.48837209 0.51162791 0.44186047 0.48837209 0.38095238]|[0.44186047 0.62790698 0.65116279 0.58139535 0.5       ]|0.4715393133997785|0.4622369878183831|0.5604651162790698
2023-05-07 23:50:36|algorithm2_1|ori|Glass|0.4000000000000001|{8, 2, 5, 7}|9|4|0.16822429906542055|3.0480246543884277|[0.39534884 0.6744186  0.51162791 0.39534884 0.38095238]|[0.48837209 0.51162791 0.44186047 0.48837209 0.38095238]|[0.44186047 0.58139535 0.6744186  0.58139535 0.5       ]|0.4715393133997785|0.4622369878183831|0.5558139534883721
