结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:22:31|algorithm2_1|ori|Iris|0.02|{1, 3}|4|2|0.5733333333333334|0.33745503425598145|[0.86666667 1.         1.         1.         0.93333333]|[0.9        1.         1.         0.96666667 0.93333333]|[0.86666667 1.         0.93333333 0.96666667 0.9       ]|0.96|0.96|0.9333333333333333
2023-05-07 23:22:31|algorithm2_1|ori|Iris|0.04|{0, 2}|4|2|0.82|0.3274650573730469|[0.86666667 0.93333333 1.         0.96666667 0.9       ]|[0.83333333 0.9        0.9        0.9        0.83333333]|[0.86666667 0.93333333 0.93333333 0.96666667 0.93333333]|0.9333333333333333|0.8733333333333333|0.9266666666666667
2023-05-07 23:22:31|algorithm2_1|ori|Iris|0.06|{1, 3}|4|2|0.9266666666666666|0.3311767578125|[0.86666667 1.         1.         1.         0.93333333]|[0.9        1.         1.         0.96666667 0.93333333]|[0.86666667 1.         0.93333333 0.96666667 0.9       ]|0.96|0.96|0.9333333333333333
2023-05-07 23:22:32|algorithm2_1|ori|Iris|0.08|{1, 3}|4|2|0.9266666666666666|0.3339846134185791|[0.86666667 1.         1.         1.         0.93333333]|[0.9        1.         1.         0.96666667 0.93333333]|[0.86666667 1.         0.93333333 0.96666667 0.9       ]|0.96|0.96|0.9333333333333333
2023-05-07 23:22:32|algorithm2_1|ori|Iris|0.1|{1, 3}|4|2|0.9133333333333333|0.33458685874938965|[0.86666667 1.         1.         1.         0.93333333]|[0.9        1.         1.         0.96666667 0.93333333]|[0.86666667 1.         0.93333333 0.96666667 0.9       ]|0.96|0.96|0.9333333333333333
2023-05-07 23:22:33|algorithm2_1|ori|Iris|0.12000000000000001|{0, 1, 2, 3}|4|4|0.8733333333333333|0.3340442180633545|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-07 23:22:33|algorithm2_1|ori|Iris|0.14|{1, 3}|4|2|0.9|0.36677002906799316|[0.86666667 1.         1.         1.         0.93333333]|[0.9        1.         1.         0.96666667 0.93333333]|[0.86666667 1.         0.93333333 0.96666667 0.9       ]|0.96|0.96|0.9333333333333333
2023-05-07 23:22:33|algorithm2_1|ori|Iris|0.16|{0, 1, 2, 3}|4|4|0.9333333333333333|0.34056615829467773|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-07 23:22:34|algorithm2_1|ori|Iris|0.18|{0, 1, 2, 3}|4|4|0.9333333333333333|0.3406558036804199|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 0.96666667 0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9466666666666667
2023-05-07 23:22:34|algorithm2_1|ori|Iris|0.19999999999999998|{0, 1, 2, 3}|4|4|0.9533333333333334|0.33903026580810547|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
