结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:37:22|algorithm2_1|ori|Sonar|0.02|{10, 3}|60|2|0.5817307692307693|26.43407440185547|[0.71428571 0.61904762 0.69047619 0.75609756 0.92682927]|[0.76190476 0.54761905 0.66666667 0.73170732 0.90243902]|[0.69047619 0.61904762 0.61904762 0.7804878  0.80487805]|0.7413472706155633|0.7220673635307782|0.702787456445993
2023-05-07 23:37:50|algorithm2_1|ori|Sonar|0.04|{10, 3}|60|2|0.5336538461538461|27.925499200820923|[0.71428571 0.61904762 0.69047619 0.75609756 0.92682927]|[0.76190476 0.54761905 0.66666667 0.73170732 0.90243902]|[0.69047619 0.61904762 0.66666667 0.7804878  0.82926829]|0.7413472706155633|0.7220673635307782|0.7171893147502904
2023-05-07 23:38:21|algorithm2_1|ori|Sonar|0.06|{3, 59, 11, 4}|60|4|0.4567307692307692|31.639791011810303|[0.66666667 0.69047619 0.64285714 0.7804878  0.87804878]|[0.64285714 0.71428571 0.66666667 0.75609756 0.87804878]|[0.64285714 0.61904762 0.69047619 0.73170732 0.80487805]|0.7317073170731707|0.7315911730545877|0.6977932636469222
2023-05-07 23:38:54|algorithm2_1|ori|Sonar|0.08|{9, 2, 3, 46}|60|4|0.5769230769230769|32.191007137298584|[0.73809524 0.45238095 0.66666667 0.82926829 0.85365854]|[0.85714286 0.45238095 0.71428571 0.73170732 0.75609756]|[0.61904762 0.5        0.66666667 0.63414634 0.68292683]|0.7080139372822299|0.7023228803716608|0.6205574912891987
2023-05-07 23:39:27|algorithm2_1|ori|Sonar|0.1|{26, 3, 10, 59}|60|4|0.6105769230769231|33.02915048599243|[0.64285714 0.5952381  0.76190476 0.7804878  0.82926829]|[0.69047619 0.57142857 0.71428571 0.70731707 0.87804878]|[0.64285714 0.5952381  0.69047619 0.80487805 0.82926829]|0.7219512195121951|0.7123112659698025|0.7125435540069687
2023-05-07 23:40:00|algorithm2_1|ori|Sonar|0.12000000000000001|{59, 10, 19, 54}|60|4|0.5961538461538461|33.47281289100647|[0.64285714 0.57142857 0.66666667 0.7804878  0.85365854]|[0.71428571 0.54761905 0.5952381  0.63414634 0.90243902]|[0.5952381  0.42857143 0.52380952 0.75609756 0.68292683]|0.7030197444831592|0.6787456445993032|0.59732868757259
2023-05-07 23:40:34|algorithm2_1|ori|Sonar|0.14|{59, 43, 20, 6}|60|4|0.6009615384615384|33.95142078399658|[0.61904762 0.69047619 0.47619048 0.56097561 0.65853659]|[0.76190476 0.73809524 0.42857143 0.58536585 0.70731707]|[0.5952381  0.57142857 0.54761905 0.63414634 0.58536585]|0.6010452961672474|0.6442508710801393|0.5867595818815331
2023-05-07 23:41:12|algorithm2_1|ori|Sonar|0.16|{16, 50, 10, 59, 44, 14}|60|6|0.5769230769230769|37.37724018096924|[0.69047619 0.47619048 0.64285714 0.70731707 0.87804878]|[0.78571429 0.4047619  0.61904762 0.65853659 0.82926829]|[0.71428571 0.42857143 0.85714286 0.82926829 0.65853659]|0.6789779326364691|0.659465737514518|0.697560975609756
2023-05-07 23:41:47|algorithm2_1|ori|Sonar|0.18|{47, 11, 53, 15}|60|4|0.6586538461538461|35.59444713592529|[0.71428571 0.61904762 0.5952381  0.75609756 0.70731707]|[0.61904762 0.5        0.71428571 0.82926829 0.73170732]|[0.78571429 0.73809524 0.66666667 0.70731707 0.63414634]|0.678397212543554|0.6788617886178863|0.7063879210220674
2023-05-07 23:42:23|algorithm2_1|ori|Sonar|0.19999999999999998|{48, 33, 18, 11}|60|4|0.6298076923076923|35.55790448188782|[0.69047619 0.47619048 0.61904762 0.70731707 0.73170732]|[0.64285714 0.61904762 0.66666667 0.87804878 0.7804878 ]|[0.80952381 0.5        0.64285714 0.87804878 0.68292683]|0.6449477351916375|0.7174216027874565|0.70267131242741
