结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:50:41|algorithm2_1|ori|accent|0.02|{1, 6}|12|2|0.3404255319148936|5.640535831451416|[0.53030303 0.56060606 0.46969697 0.45454545 0.53846154]|[0.5        0.5        0.5        0.5        0.50769231]|[0.53030303 0.46969697 0.34848485 0.39393939 0.47692308]|0.5107226107226107|0.5015384615384615|0.4438694638694639
2023-05-07 23:50:49|algorithm2_1|ori|accent|0.04|{8, 9, 10, 11}|12|4|0.24620060790273557|7.218191862106323|[0.51515152 0.56060606 0.48484848 0.48484848 0.58461538]|[0.5        0.5        0.5        0.5        0.50769231]|[0.60606061 0.56060606 0.5        0.45454545 0.6       ]|0.5260139860139861|0.5015384615384615|0.5442424242424242
2023-05-07 23:50:56|algorithm2_1|ori|accent|0.06|{3, 9, 10, 11}|12|4|0.3465045592705167|7.221352815628052|[0.56060606 0.48484848 0.45454545 0.45454545 0.6       ]|[0.5        0.5        0.5        0.5        0.50769231]|[0.57575758 0.53030303 0.48484848 0.40909091 0.61538462]|0.510909090909091|0.5015384615384615|0.5230769230769231
2023-05-07 23:51:03|algorithm2_1|ori|accent|0.08|{0, 9, 2, 10}|12|4|0.331306990881459|7.3992321491241455|[0.63636364 0.57575758 0.5        0.37878788 0.49230769]|[0.5        0.5        0.5        0.5        0.50769231]|[0.59090909 0.51515152 0.48484848 0.3030303  0.52307692]|0.5166433566433566|0.5015384615384615|0.4834032634032634
2023-05-07 23:51:11|algorithm2_1|ori|accent|0.1|{8, 3, 5, 7}|12|4|0.3768996960486322|7.591751575469971|[0.51515152 0.5        0.51515152 0.57575758 0.55384615]|[0.5        0.5        0.5        0.5        0.50769231]|[0.48484848 0.36363636 0.48484848 0.40909091 0.49230769]|0.531981351981352|0.5015384615384615|0.446946386946387
2023-05-07 23:51:19|algorithm2_1|ori|accent|0.12000000000000001|{1, 10, 2, 6}|12|4|0.425531914893617|7.539714336395264|[0.57575758 0.72727273 0.54545455 0.53030303 0.56923077]|[0.54545455 0.5        0.51515152 0.5        0.50769231]|[0.62121212 0.66666667 0.43939394 0.5        0.6       ]|0.5896037296037295|0.5136596736596737|0.5654545454545455
2023-05-07 23:51:28|algorithm2_1|ori|accent|0.14|{1, 2, 3, 5, 10, 11}|12|6|0.42249240121580545|8.729639291763306|[0.56060606 0.66666667 0.57575758 0.5        0.66153846]|[0.54545455 0.5        0.51515152 0.5        0.50769231]|[0.59090909 0.65151515 0.46969697 0.54545455 0.61538462]|0.5929137529137528|0.5136596736596737|0.5745920745920746
2023-05-07 23:51:36|algorithm2_1|ori|accent|0.16|{1, 2, 6, 8, 10, 11}|12|6|0.45592705167173253|8.725905656814575|[0.65151515 0.66666667 0.65151515 0.45454545 0.67692308]|[0.54545455 0.5        0.51515152 0.5        0.50769231]|[0.63636364 0.63636364 0.48484848 0.56060606 0.69230769]|0.6202331002331002|0.5136596736596737|0.6020979020979021
2023-05-07 23:51:45|algorithm2_1|ori|accent|0.18|{1, 2, 3, 5, 9, 10}|12|6|0.4072948328267477|8.768723011016846|[0.59090909 0.6969697  0.53030303 0.53030303 0.61538462]|[0.54545455 0.5        0.51515152 0.5        0.50769231]|[0.48484848 0.60606061 0.40909091 0.54545455 0.61538462]|0.5927738927738928|0.5136596736596737|0.5321678321678321
2023-05-07 23:51:55|algorithm2_1|ori|accent|0.19999999999999998|{0, 1, 2, 3, 4, 8, 9, 10}|12|8|0.4316109422492401|9.59091567993164|[0.68181818 0.68181818 0.57575758 0.54545455 0.72307692]|[0.56060606 0.51515152 0.51515152 0.5        0.50769231]|[0.53030303 0.51515152 0.57575758 0.46969697 0.67692308]|0.6415850815850817|0.5197202797202797|0.5535664335664336
2023-05-07 23:52:05|algorithm2_1|ori|accent|0.21999999999999997|{0, 1, 2, 3, 4, 6, 8, 9}|12|8|0.45592705167173253|9.692155122756958|[0.59090909 0.63636364 0.53030303 0.5        0.69230769]|[0.5        0.5        0.5        0.5        0.50769231]|[0.45454545 0.60606061 0.46969697 0.48484848 0.61538462]|0.5899766899766901|0.5015384615384615|0.5261072261072262
2023-05-07 23:52:15|algorithm2_1|ori|accent|0.23999999999999996|{0, 1, 2, 3, 4, 7, 8, 9, 10, 11}|12|10|0.45896656534954405|10.113301992416382|[0.62121212 0.6969697  0.72727273 0.66666667 0.69230769]|[0.54545455 0.51515152 0.53030303 0.51515152 0.50769231]|[0.53030303 0.48484848 0.59090909 0.48484848 0.70769231]|0.6808857808857809|0.5227505827505827|0.5597202797202797
2023-05-07 23:52:26|algorithm2_1|ori|accent|0.25999999999999995|{0, 1, 2, 3, 4, 7, 8, 9, 10, 11}|12|10|0.48936170212765956|10.512746810913086|[0.62121212 0.6969697  0.72727273 0.66666667 0.69230769]|[0.54545455 0.51515152 0.53030303 0.51515152 0.50769231]|[0.54545455 0.53030303 0.59090909 0.48484848 0.70769231]|0.6808857808857809|0.5227505827505827|0.5718414918414918
2023-05-07 23:52:36|algorithm2_1|ori|accent|0.27999999999999997|{0, 1, 2, 3, 5, 7, 8, 9, 10, 11}|12|10|0.46808510638297873|10.341305494308472|[0.75757576 0.66666667 0.68181818 0.59090909 0.69230769]|[0.54545455 0.51515152 0.51515152 0.5        0.50769231]|[0.53030303 0.56060606 0.48484848 0.48484848 0.64615385]|0.6778554778554777|0.5166899766899766|0.5413519813519814
2023-05-07 23:52:46|algorithm2_1|ori|accent|0.3|{0, 1, 2, 4, 5, 7, 8, 9, 10, 11}|12|10|0.49240121580547114|10.163397789001465|[0.68181818 0.68181818 0.74242424 0.65151515 0.69230769]|[0.53030303 0.5        0.53030303 0.53030303 0.50769231]|[0.51515152 0.56060606 0.56060606 0.48484848 0.64615385]|0.6899766899766899|0.5197202797202797|0.5534731934731935
2023-05-07 23:52:57|algorithm2_1|ori|accent|0.32|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.45592705167173253|10.295640468597412|[0.63636364 0.6969697  0.72727273 0.66666667 0.70769231]|[0.56060606 0.51515152 0.53030303 0.51515152 0.50769231]|[0.54545455 0.56060606 0.59090909 0.46969697 0.64615385]|0.686993006993007|0.5257808857808858|0.5625641025641025
