结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 08:46:37|algorithm2_1|ori|australian|0.02|{0, 1, 5, 7, 8, 11}|14|6|0.6202898550724638|21.580260515213013|[0.86231884 0.86231884 0.8115942  0.84782609 0.82608696]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.85507246 0.85507246 0.8115942  0.85507246 0.83333333]|0.8420289855072465|0.8550724637681159|0.8420289855072463
2023-05-08 08:46:58|algorithm2_1|ori|australian|0.04|{0, 4, 7, 8, 9, 10}|14|6|0.6623188405797101|21.636831760406494|[0.87681159 0.89130435 0.84057971 0.86231884 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.86956522 0.86956522 0.84782609 0.84057971 0.86956522]|0.863768115942029|0.8550724637681159|0.8594202898550725
2023-05-08 08:47:22|algorithm2_1|ori|australian|0.06|{0, 4, 7, 8, 9, 10}|14|6|0.6884057971014492|23.648335933685303|[0.87681159 0.89130435 0.84057971 0.86231884 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.86956522 0.86956522 0.84782609 0.84057971 0.86956522]|0.863768115942029|0.8550724637681159|0.8594202898550725
2023-05-08 08:47:44|algorithm2_1|ori|australian|0.08|{0, 1, 4, 7, 9, 13}|14|6|0.6739130434782609|21.940785884857178|[0.84782609 0.86956522 0.81884058 0.85507246 0.86956522]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84782609 0.86231884 0.8115942  0.81884058 0.84057971]|0.8521739130434783|0.8550724637681159|0.8362318840579711
2023-05-08 08:48:11|algorithm2_1|ori|australian|0.1|{0, 1, 3, 4, 7, 8, 9, 11}|14|8|0.6710144927536232|26.30643105506897|[0.84782609 0.86231884 0.82608696 0.84057971 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.83333333 0.84057971 0.84782609 0.81884058 0.84782609]|0.844927536231884|0.8550724637681159|0.8376811594202899
2023-05-08 08:48:33|algorithm2_1|ori|australian|0.12000000000000001|{0, 1, 4, 7, 8, 9, 11, 12}|14|8|0.6594202898550725|22.061124324798584|[0.86231884 0.86231884 0.84057971 0.85507246 0.85507246]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.89130435 0.86956522 0.83333333 0.83333333]|0.855072463768116|0.8550724637681159|0.8478260869565217
2023-05-08 08:48:57|algorithm2_1|ori|australian|0.14|{2, 3, 4, 7, 8, 9, 11, 12}|14|8|0.7|24.095166206359863|[0.86231884 0.89855072 0.82608696 0.84782609 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.79710145 0.89855072 0.84057971 0.88405797 0.83333333]|0.8565217391304347|0.8550724637681159|0.8507246376811594
2023-05-08 08:49:21|algorithm2_1|ori|australian|0.16|{2, 4, 7, 8, 9, 10, 11, 12}|14|8|0.7188405797101449|23.74863052368164|[0.87681159 0.87681159 0.85507246 0.86956522 0.82608696]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.79710145 0.88405797 0.84057971 0.88405797 0.83333333]|0.8608695652173912|0.8550724637681159|0.8478260869565217
2023-05-08 08:49:44|algorithm2_1|ori|australian|0.18|{2, 4, 6, 7, 8, 10, 11, 12}|14|8|0.672463768115942|23.336462259292603|[0.86956522 0.86956522 0.86231884 0.86231884 0.8115942 ]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.80434783 0.89130435 0.84057971 0.86231884 0.83333333]|0.855072463768116|0.8550724637681159|0.8463768115942027
2023-05-08 08:50:09|algorithm2_1|ori|australian|0.19999999999999998|{0, 2, 4, 5, 7, 8, 10, 11}|14|8|0.7|24.586891174316406|[0.86956522 0.87681159 0.83333333 0.85507246 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84782609 0.84782609 0.86231884 0.8115942  0.82608696]|0.855072463768116|0.8550724637681159|0.8391304347826087
2023-05-08 08:50:34|algorithm2_1|ori|australian|0.21999999999999997|{2, 3, 4, 5, 7, 8, 9, 10, 11, 12}|14|10|0.6826086956521739|24.481624603271484|[0.84057971 0.87681159 0.86956522 0.86956522 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.7826087  0.89130435 0.84057971 0.84782609 0.83333333]|0.8594202898550725|0.8550724637681159|0.8391304347826086
2023-05-08 08:50:59|algorithm2_1|ori|australian|0.23999999999999996|{0, 1, 2, 4, 5, 7, 8, 10, 11, 13}|14|10|0.7014492753623188|25.05592679977417|[0.88405797 0.89130435 0.82608696 0.84782609 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.83333333 0.86956522 0.81884058 0.80434783 0.84782609]|0.8594202898550725|0.8550724637681159|0.8347826086956521
2023-05-08 08:51:25|algorithm2_1|ori|australian|0.25999999999999995|{0, 2, 3, 4, 7, 8, 10, 11}|14|8|0.6753623188405797|25.4638614654541|[0.83333333 0.86956522 0.8115942  0.87681159 0.83333333]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84057971 0.86231884 0.84057971 0.81884058 0.84057971]|0.844927536231884|0.8550724637681159|0.8405797101449275
2023-05-08 08:51:50|algorithm2_1|ori|australian|0.27999999999999997|{0, 1, 2, 4, 5, 6, 7, 8, 9, 10}|14|10|0.6565217391304348|24.884244203567505|[0.87681159 0.89130435 0.83333333 0.84057971 0.83333333]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.85507246 0.84057971 0.84782609 0.82608696 0.84057971]|0.8550724637681159|0.8550724637681159|0.8420289855072465
2023-05-08 08:52:19|algorithm2_1|ori|australian|0.3|{0, 1, 2, 4, 5, 7, 8, 10, 11, 13}|14|10|0.6739130434782609|29.431610107421875|[0.88405797 0.89130435 0.82608696 0.84782609 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.83333333 0.84782609 0.81884058 0.80434783 0.84057971]|0.8594202898550725|0.8550724637681159|0.8289855072463768
2023-05-08 08:52:45|algorithm2_1|ori|australian|0.32|{0, 1, 2, 4, 5, 7, 8, 10, 11, 12}|14|10|0.6898550724637681|25.594613075256348|[0.86231884 0.87681159 0.81884058 0.84782609 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.78985507 0.89130435 0.84057971 0.7826087  0.83333333]|0.8507246376811594|0.8550724637681159|0.8275362318840578
2023-05-08 08:53:14|algorithm2_1|ori|australian|0.34|{0, 1, 2, 3, 4, 5, 7, 8, 10, 11}|14|10|0.6826086956521739|28.824065446853638|[0.84057971 0.86231884 0.8115942  0.86231884 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.82608696 0.86231884 0.84782609 0.80434783 0.86231884]|0.8434782608695652|0.8550724637681159|0.8405797101449275
2023-05-08 08:53:41|algorithm2_1|ori|australian|0.36000000000000004|{0, 1, 2, 3, 4, 5, 7, 8, 10, 11}|14|10|0.6840579710144927|26.741722345352173|[0.84057971 0.86231884 0.8115942  0.86231884 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.83333333 0.88405797 0.84782609 0.80434783 0.86231884]|0.8434782608695652|0.8550724637681159|0.846376811594203
2023-05-08 08:54:08|algorithm2_1|ori|australian|0.38000000000000006|{0, 1, 3, 4, 5, 7, 8, 10, 11, 13}|14|10|0.7|26.722524881362915|[0.84057971 0.86956522 0.81884058 0.85507246 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.86231884 0.80434783 0.84782609 0.84057971]|0.846376811594203|0.8550724637681159|0.8333333333333334
2023-05-08 08:54:37|algorithm2_1|ori|australian|0.4000000000000001|{0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13}|14|12|0.6811594202898551|28.598698139190674|[0.84057971 0.86231884 0.82608696 0.86231884 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.81884058 0.84782609 0.81884058 0.83333333 0.8115942 ]|0.8478260869565217|0.8550724637681159|0.826086956521739
