结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 10:21:12|algorithm2_1|ori|data_banknote|0.02|{0, 3}|4|2|0.8104956268221575|6.416031837463379|[0.89818182 0.89818182 0.87956204 0.9270073  0.88321168]|[0.86545455 0.89818182 0.87591241 0.91240876 0.84671533]|[0.88       0.90181818 0.87956204 0.90875912 0.87226277]|0.8972289316522893|0.8797345719973457|0.8884804246848041
2023-05-08 10:21:21|algorithm2_1|ori|data_banknote|0.04|{0, 1, 2, 3}|4|4|0.8768221574344023|8.79921579360962|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-08 10:21:31|algorithm2_1|ori|data_banknote|0.06|{0, 1, 2, 3}|4|4|0.9795918367346939|9.848443746566772|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-08 10:21:42|algorithm2_1|ori|data_banknote|0.08|{0, 1, 2, 3}|4|4|0.9905247813411079|10.626564741134644|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-08 10:21:51|algorithm2_1|ori|data_banknote|0.1|{0, 1, 2, 3}|4|4|0.989067055393586|8.925241708755493|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-08 10:22:00|algorithm2_1|ori|data_banknote|0.12000000000000001|{0, 1, 2, 3}|4|4|0.999271137026239|8.753970623016357|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-08 10:22:09|algorithm2_1|ori|data_banknote|0.14|{0, 1, 2, 3}|4|4|0.999271137026239|8.65153694152832|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
2023-05-08 10:22:19|algorithm2_1|ori|data_banknote|0.16|{0, 1, 2, 3}|4|4|0.9985422740524781|10.068131923675537|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-08 10:22:33|algorithm2_1|ori|data_banknote|0.18|{0, 1, 2, 3}|4|4|0.9963556851311953|13.00750732421875|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95255474 0.97445255]|0.998542800265428|0.9795912408759124|0.9737518248175183
2023-05-08 10:22:46|algorithm2_1|ori|data_banknote|0.19999999999999998|{0, 1, 2, 3}|4|4|0.9817784256559767|12.764631748199463|[1.         0.99636364 1.         1.         0.99635036]|[0.98909091 0.97090909 0.98905109 0.98175182 0.96715328]|[0.97090909 0.98909091 0.98175182 0.95620438 0.97445255]|0.998542800265428|0.9795912408759124|0.9744817518248174
