结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 08:57:57|algorithm2_1|ori|diabetes|0.02|{1, 4}|8|2|0.3841145833333333|5.825641870498657|[0.77272727 0.7012987  0.73376623 0.7254902  0.68627451]|[0.80519481 0.71428571 0.75974026 0.73202614 0.69934641]|[0.77922078 0.65584416 0.72727273 0.67973856 0.66666667]|0.7239113827349122|0.7421186656480774|0.7017485782191664
2023-05-08 08:58:04|algorithm2_1|ori|diabetes|0.04|{1, 4, 6, 7}|8|4|0.3580729166666667|7.068099021911621|[0.75974026 0.70779221 0.75324675 0.75816993 0.67973856]|[0.81168831 0.70779221 0.79220779 0.75816993 0.7124183 ]|[0.74675325 0.64935065 0.77922078 0.69934641 0.59477124]|0.7317375435022495|0.7564553093964859|0.6938884644766998
2023-05-08 08:58:13|algorithm2_1|ori|diabetes|0.06|{4, 5, 6, 7}|8|4|0.4947916666666667|8.821569681167603|[0.70779221 0.66883117 0.72077922 0.70588235 0.68627451]|[0.71428571 0.63636364 0.68831169 0.66013072 0.68627451]|[0.67532468 0.66883117 0.73376623 0.67973856 0.7254902 ]|0.6979118920295392|0.6770732535438417|0.6966301672184025
2023-05-08 08:58:23|algorithm2_1|ori|diabetes|0.08|{1, 4, 5, 7}|8|4|0.5455729166666666|9.698174476623535|[0.82467532 0.73376623 0.77272727 0.73856209 0.73202614]|[0.80519481 0.74675325 0.80519481 0.75163399 0.7254902 ]|[0.82467532 0.72077922 0.74025974 0.73202614 0.64705882]|0.7603514132925898|0.7668534080298787|0.7329598506069094
2023-05-08 08:58:35|algorithm2_1|ori|diabetes|0.1|{1, 4, 5, 7}|8|4|0.52734375|11.24476146697998|[0.82467532 0.73376623 0.77272727 0.73856209 0.73202614]|[0.80519481 0.74675325 0.80519481 0.75163399 0.7254902 ]|[0.82467532 0.72077922 0.75324675 0.73202614 0.64705882]|0.7603514132925898|0.7668534080298787|0.735557253204312
2023-05-08 08:58:45|algorithm2_1|ori|diabetes|0.12000000000000001|{1, 3, 4, 5, 6, 7}|8|6|0.51953125|10.184056520462036|[0.82467532 0.68831169 0.77272727 0.77777778 0.69934641]|[0.81818182 0.72077922 0.81168831 0.75816993 0.7124183 ]|[0.81168831 0.7012987  0.78571429 0.71895425 0.67973856]|0.7525676937441643|0.7642475171886937|0.7394788218317631
2023-05-08 08:58:57|algorithm2_1|ori|diabetes|0.14|{0, 1, 4, 5, 6, 7}|8|6|0.5625|11.642657279968262|[0.83766234 0.69480519 0.72727273 0.76470588 0.71895425]|[0.83116883 0.73376623 0.81818182 0.77124183 0.68627451]|[0.81168831 0.69480519 0.77272727 0.73202614 0.69934641]|0.7486800780918428|0.7681266445972328|0.7421186656480774
2023-05-08 08:59:07|algorithm2_1|ori|diabetes|0.16|{0, 1, 3, 5, 6, 7}|8|6|0.5885416666666666|9.981968641281128|[0.79220779 0.70779221 0.75324675 0.77124183 0.70588235]|[0.82467532 0.74025974 0.80519481 0.77124183 0.70588235]|[0.80519481 0.72727273 0.76623377 0.7124183  0.67973856]|0.7460741872506579|0.7694508106272813|0.7381716322892794
2023-05-08 08:59:17|algorithm2_1|ori|diabetes|0.18|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.5390625|9.350990295410156|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.71895425 0.69281046]|0.7382650029708853|0.7590187590187589|0.7407944996180291
2023-05-08 08:59:27|algorithm2_1|ori|diabetes|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.55078125|10.758196830749512|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.69480519 0.77272727 0.71895425 0.69281046]|0.7382650029708853|0.7590187590187589|0.7407944996180291
2023-05-08 08:59:38|algorithm2_1|ori|diabetes|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.5286458333333334|10.423378944396973|[0.7987013  0.69480519 0.73376623 0.75816993 0.70588235]|[0.82467532 0.72077922 0.80519481 0.76470588 0.67973856]|[0.82467532 0.68831169 0.77272727 0.7124183  0.69281046]|0.7382650029708853|0.7590187590187589|0.7381886087768441
