结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 08:45:28|algorithm2_1|ori|diamonds_filter|0.02|{1, 3}|4|2|0.4557595993322204|1.917924165725708|[0.775      0.74166667 0.73333333 0.76666667 0.75630252]|[0.69166667 0.69166667 0.59166667 0.63333333 0.6302521 ]|[0.74166667 0.825      0.725      0.75833333 0.77310924]|0.754593837535014|0.647717086834734|0.7646218487394958
2023-05-08 08:45:30|algorithm2_1|ori|diamonds_filter|0.04|{1, 3}|4|2|0.4724540901502504|1.9221673011779785|[0.775      0.74166667 0.73333333 0.76666667 0.75630252]|[0.69166667 0.69166667 0.59166667 0.63333333 0.6302521 ]|[0.74166667 0.825      0.725      0.75833333 0.77310924]|0.754593837535014|0.647717086834734|0.7646218487394958
2023-05-08 08:45:33|algorithm2_1|ori|diamonds_filter|0.06|{0, 1, 2, 3}|4|4|0.5025041736227045|2.0318009853363037|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-08 08:45:35|algorithm2_1|ori|diamonds_filter|0.08|{1, 2}|4|2|0.8480801335559266|2.227198600769043|[0.96666667 0.96666667 0.975      0.99166667 0.98319328]|[0.89166667 0.9        0.89166667 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9766386554621848|0.8948039215686275|0.9966666666666667
2023-05-08 08:45:37|algorithm2_1|ori|diamonds_filter|0.1|{0, 1, 2, 3}|4|4|0.7045075125208681|2.278081178665161|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-08 08:45:40|algorithm2_1|ori|diamonds_filter|0.12000000000000001|{0, 1, 2, 3}|4|4|0.7545909849749582|2.2445592880249023|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-08 08:45:42|algorithm2_1|ori|diamonds_filter|0.14|{0, 1, 2, 3}|4|4|0.7746243739565943|2.281435251235962|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-08 08:45:45|algorithm2_1|ori|diamonds_filter|0.16|{0, 1, 2, 3}|4|4|0.7612687813021702|2.4032866954803467|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-08 08:45:47|algorithm2_1|ori|diamonds_filter|0.18|{0, 1, 2, 3}|4|4|0.7746243739565943|2.4233551025390625|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-08 08:45:50|algorithm2_1|ori|diamonds_filter|0.19999999999999998|{0, 1, 2, 3}|4|4|0.7779632721202003|2.4231109619140625|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-08 08:45:52|algorithm2_1|ori|diamonds_filter|0.21999999999999997|{0, 1, 2, 3}|4|4|0.8046744574290484|2.369502067565918|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-08 08:45:55|algorithm2_1|ori|diamonds_filter|0.23999999999999996|{0, 1, 2, 3}|4|4|0.7161936560934892|2.278298854827881|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-08 08:45:57|algorithm2_1|ori|diamonds_filter|0.25999999999999995|{0, 1, 2, 3}|4|4|0.6460767946577629|2.345647096633911|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-08 08:46:00|algorithm2_1|ori|diamonds_filter|0.27999999999999997|{0, 1, 2, 3}|4|4|0.6243739565943238|2.424328565597534|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-08 08:46:02|algorithm2_1|ori|diamonds_filter|0.3|{0, 1, 2, 3}|4|4|0.5809682804674458|2.4316675662994385|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-08 08:46:05|algorithm2_1|ori|diamonds_filter|0.32|{0, 1, 2, 3}|4|4|0.44240400667779634|2.365161895751953|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
