结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:21:48|algorithm2_1|ori|fertility_Diagnosis|0.02|{8, 2, 4, 6}|9|4|0.71|0.3875772953033447|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.9  0.85 0.7 ]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-07 23:21:48|algorithm2_1|ori|fertility_Diagnosis|0.04|{8, 2, 4, 6}|9|4|0.72|0.3341102600097656|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.9  0.85 0.7 ]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-07 23:21:49|algorithm2_1|ori|fertility_Diagnosis|0.06|{8, 2, 4, 6}|9|4|0.72|0.3557472229003906|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.9  0.85 0.7 ]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-07 23:21:49|algorithm2_1|ori|fertility_Diagnosis|0.08|{0, 1, 2, 4}|9|4|0.8|0.49447202682495117|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.8  0.7  0.5  0.85]|0.8800000000000001|0.8800000000000001|0.7500000000000001
2023-05-07 23:21:50|algorithm2_1|ori|fertility_Diagnosis|0.1|{0, 1, 2, 4}|9|4|0.79|0.6944742202758789|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.8  0.7  0.55 0.9 ]|0.8800000000000001|0.8800000000000001|0.77
2023-05-07 23:21:50|algorithm2_1|ori|fertility_Diagnosis|0.12000000000000001|{0, 1, 2, 4}|9|4|0.79|0.5175888538360596|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.8  0.7  0.55 0.9 ]|0.8800000000000001|0.8800000000000001|0.77
2023-05-07 23:21:51|algorithm2_1|ori|fertility_Diagnosis|0.14|{0, 1, 2, 4}|9|4|0.84|0.33420825004577637|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.8  0.7  0.55 0.9 ]|0.8800000000000001|0.8800000000000001|0.77
2023-05-07 23:21:51|algorithm2_1|ori|fertility_Diagnosis|0.16|{8, 0, 4, 6}|9|4|0.8|0.5645699501037598|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.65 0.9  0.75 0.8 ]|0.8800000000000001|0.8800000000000001|0.7699999999999999
2023-05-07 23:21:52|algorithm2_1|ori|fertility_Diagnosis|0.18|{8, 0, 4, 6}|9|4|0.8|0.6727819442749023|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.65 0.9  0.75 0.8 ]|0.8800000000000001|0.8800000000000001|0.7699999999999999
2023-05-07 23:21:53|algorithm2_1|ori|fertility_Diagnosis|0.19999999999999998|{8, 0, 4, 6}|9|4|0.79|0.5323588848114014|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.65 0.9  0.75 0.8 ]|0.8800000000000001|0.8800000000000001|0.7699999999999999
2023-05-07 23:21:53|algorithm2_1|ori|fertility_Diagnosis|0.21999999999999997|{0, 1, 2, 4}|9|4|0.85|0.5350244045257568|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.8  0.7  0.55 0.85]|0.8800000000000001|0.8800000000000001|0.76
2023-05-07 23:21:54|algorithm2_1|ori|fertility_Diagnosis|0.23999999999999996|{0, 8, 4, 6}|9|4|0.8|0.6755661964416504|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.65 0.9  0.75 0.8 ]|0.8800000000000001|0.8800000000000001|0.7699999999999999
2023-05-07 23:21:55|algorithm2_1|ori|fertility_Diagnosis|0.25999999999999995|{0, 1, 5, 6}|9|4|0.77|0.6298866271972656|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.7  0.75 0.75 0.6  0.85]|0.8800000000000001|0.8800000000000001|0.7300000000000001
2023-05-07 23:21:55|algorithm2_1|ori|fertility_Diagnosis|0.27999999999999997|{0, 1, 5, 6}|9|4|0.77|0.7465863227844238|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.7  0.85 0.85 0.8  0.85]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-07 23:21:56|algorithm2_1|ori|fertility_Diagnosis|0.3|{0, 1, 5, 6}|9|4|0.78|0.7699313163757324|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.7  0.85 0.85 0.75 0.85]|0.8800000000000001|0.8800000000000001|0.8
2023-05-07 23:21:57|algorithm2_1|ori|fertility_Diagnosis|0.32|{0, 1, 5, 6}|9|4|0.78|0.7779171466827393|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.75 0.75 0.55 0.85]|0.8800000000000001|0.8800000000000001|0.73
2023-05-07 23:21:58|algorithm2_1|ori|fertility_Diagnosis|0.34|{0, 1, 4, 7}|9|4|0.78|0.6391792297363281|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.8  0.85 0.65 0.75 0.85]|0.8800000000000001|0.8800000000000001|0.78
2023-05-07 23:21:58|algorithm2_1|ori|fertility_Diagnosis|0.36000000000000004|{0, 5, 6, 7}|9|4|0.66|0.6388633251190186|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.9  0.75 0.85]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-07 23:21:59|algorithm2_1|ori|fertility_Diagnosis|0.38000000000000006|{0, 5, 6, 7}|9|4|0.66|0.6370618343353271|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.9  0.75 0.85]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-07 23:22:00|algorithm2_1|ori|fertility_Diagnosis|0.4000000000000001|{0, 2, 3, 4, 5, 6}|9|6|0.73|0.7261242866516113|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.65 0.9  0.9  0.7  0.9 ]|0.8800000000000001|0.8800000000000001|0.8100000000000002
