结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 09:41:07|algorithm2_1|ori|german|0.02|{0, 1, 19, 12, 13, 14}|20|6|0.418|104.3742196559906|[0.73  0.75  0.7   0.715 0.675]|[0.72 0.7  0.7  0.7  0.73]|[0.69  0.7   0.735 0.705 0.64 ]|0.7139999999999999|0.7100000000000001|0.6940000000000001
2023-05-08 09:42:49|algorithm2_1|ori|german|0.04|{0, 1, 17, 19, 9, 12}|20|6|0.46|100.99283576011658|[0.745 0.73  0.735 0.74  0.695]|[0.7   0.7   0.7   0.7   0.705]|[0.705 0.675 0.71  0.715 0.655]|0.729|0.701|0.692
2023-05-08 09:44:36|algorithm2_1|ori|german|0.06|{0, 1, 17, 3, 19, 8, 9, 13}|20|8|0.499|107.10596942901611|[0.715 0.75  0.71  0.735 0.69 ]|[0.71 0.7  0.7  0.7  0.69]|[0.695 0.76  0.7   0.745 0.65 ]|0.72|0.7|0.7100000000000001
2023-05-08 09:46:31|algorithm2_1|ori|german|0.08|{3, 19, 9, 10, 11, 12, 13, 14}|20|8|0.431|114.75573134422302|[0.71  0.66  0.705 0.7   0.645]|[0.7 0.7 0.7 0.7 0.7]|[0.705 0.695 0.69  0.68  0.69 ]|0.684|0.7|0.692
2023-05-08 09:48:32|algorithm2_1|ori|german|0.1|{0, 17, 3, 19, 6, 8, 9, 13}|20|8|0.475|120.23012971878052|[0.675 0.74  0.71  0.685 0.705]|[0.7 0.7 0.7 0.7 0.7]|[0.7   0.65  0.68  0.675 0.665]|0.7030000000000001|0.7|0.674
2023-05-08 09:50:44|algorithm2_1|ori|german|0.12000000000000001|{0, 1, 17, 19, 8, 9, 12, 13}|20|8|0.475|132.13270902633667|[0.74  0.73  0.705 0.71  0.69 ]|[0.705 0.7   0.7   0.695 0.69 ]|[0.69 0.66 0.71 0.71 0.67]|0.715|0.6979999999999998|0.688
2023-05-08 09:52:59|algorithm2_1|ori|german|0.14|{0, 17, 19, 4, 6, 8, 9, 11}|20|8|0.523|134.82833623886108|[0.71  0.77  0.745 0.745 0.715]|[0.7 0.7 0.7 0.7 0.7]|[0.665 0.715 0.695 0.7   0.665]|0.737|0.7|0.688
2023-05-08 09:55:05|algorithm2_1|ori|german|0.16|{0, 16, 17, 19, 3, 5, 8, 9}|20|8|0.471|125.6695487499237|[0.655 0.7   0.705 0.705 0.675]|[0.7 0.7 0.7 0.7 0.7]|[0.68  0.705 0.67  0.67  0.675]|0.6880000000000001|0.7|0.68
2023-05-08 09:57:14|algorithm2_1|ori|german|0.18|{0, 16, 17, 19, 3, 5, 8, 9}|20|8|0.471|129.03296566009521|[0.655 0.7   0.705 0.705 0.675]|[0.7 0.7 0.7 0.7 0.7]|[0.68  0.705 0.675 0.68  0.68 ]|0.6880000000000001|0.7|0.684
2023-05-08 09:59:18|algorithm2_1|ori|german|0.19999999999999998|{0, 16, 17, 19, 3, 5, 8, 9}|20|8|0.471|123.6002266407013|[0.655 0.7   0.705 0.705 0.675]|[0.7 0.7 0.7 0.7 0.7]|[0.68  0.705 0.67  0.68  0.675]|0.6880000000000001|0.7|0.682
2023-05-08 10:01:23|algorithm2_1|ori|german|0.21999999999999997|{0, 1, 17, 19, 6, 8, 9, 11}|20|8|0.519|124.67710065841675|[0.7   0.735 0.745 0.755 0.73 ]|[0.72 0.7  0.7  0.7  0.71]|[0.69  0.715 0.725 0.685 0.69 ]|0.733|0.7060000000000001|0.701
2023-05-08 10:03:21|algorithm2_1|ori|german|0.23999999999999996|{0, 1, 19, 4, 6, 8, 9, 11}|20|8|0.531|118.01228189468384|[0.71  0.76  0.745 0.745 0.745]|[0.725 0.7   0.7   0.7   0.69 ]|[0.665 0.755 0.68  0.68  0.71 ]|0.741|0.7030000000000001|0.6980000000000001
2023-05-08 10:05:23|algorithm2_1|ori|german|0.25999999999999995|{0, 1, 3, 5, 10, 11}|20|6|0.505|121.55712366104126|[0.74  0.75  0.715 0.745 0.71 ]|[0.7 0.7 0.7 0.7 0.7]|[0.655 0.725 0.73  0.725 0.65 ]|0.732|0.7|0.697
2023-05-08 10:07:40|algorithm2_1|ori|german|0.27999999999999997|{0, 1, 17, 3, 5, 8, 10, 11}|20|8|0.492|136.66074061393738|[0.735 0.73  0.695 0.735 0.695]|[0.7   0.7   0.7   0.7   0.695]|[0.65  0.73  0.72  0.71  0.635]|0.7179999999999999|0.699|0.6889999999999998
2023-05-08 10:10:02|algorithm2_1|ori|german|0.3|{0, 1, 17, 3, 5, 8, 10, 11}|20|8|0.52|141.51307034492493|[0.735 0.73  0.695 0.735 0.695]|[0.7   0.7   0.7   0.7   0.695]|[0.65  0.73  0.72  0.71  0.635]|0.7179999999999999|0.699|0.6889999999999998
2023-05-08 10:12:25|algorithm2_1|ori|german|0.32|{0, 3, 5, 6, 7, 11}|20|6|0.488|142.74913334846497|[0.72  0.75  0.73  0.765 0.715]|[0.7 0.7 0.7 0.7 0.7]|[0.655 0.68  0.7   0.73  0.69 ]|0.736|0.7|0.6910000000000001
2023-05-08 10:14:42|algorithm2_1|ori|german|0.34|{0, 18, 5, 6, 10, 11, 12, 14}|20|8|0.546|136.79195356369019|[0.705 0.72  0.72  0.69  0.73 ]|[0.7 0.7 0.7 0.7 0.7]|[0.685 0.715 0.715 0.7   0.665]|0.7129999999999999|0.7|0.696
2023-05-08 10:16:54|algorithm2_1|ori|german|0.36000000000000004|{0, 18, 2, 6, 10, 11, 12, 14}|20|8|0.544|132.23070573806763|[0.715 0.715 0.74  0.71  0.735]|[0.715 0.7   0.72  0.715 0.7  ]|[0.675 0.705 0.715 0.675 0.73 ]|0.723|0.71|0.7
2023-05-08 10:18:59|algorithm2_1|ori|german|0.38000000000000006|{0, 1, 18, 2, 6, 10, 11, 14}|20|8|0.538|124.5629153251648|[0.7   0.735 0.75  0.725 0.71 ]|[0.725 0.765 0.735 0.73  0.725]|[0.67  0.74  0.715 0.72  0.715]|0.724|0.736|0.712
2023-05-08 10:21:05|algorithm2_1|ori|german|0.4000000000000001|{0, 18, 2, 6, 10, 11, 12, 14}|20|8|0.541|125.75271940231323|[0.715 0.715 0.74  0.71  0.735]|[0.715 0.7   0.72  0.715 0.7  ]|[0.675 0.695 0.715 0.675 0.73 ]|0.723|0.71|0.698
