结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 00:15:42|algorithm2_1|ori|movement|0.02|{56, 51}|90|2|0.4527777777777778|175.31262397766113|[0.23611111 0.26388889 0.29166667 0.15277778 0.15277778]|[0.18055556 0.19444444 0.19444444 0.19444444 0.15277778]|[0.18055556 0.29166667 0.16666667 0.125      0.125     ]|0.21944444444444447|0.18333333333333332|0.17777777777777776
2023-05-08 00:19:27|algorithm2_1|ori|movement|0.04|{16, 49, 51, 14}|90|4|0.41388888888888886|225.2475666999817|[0.33333333 0.25       0.36111111 0.22222222 0.22222222]|[0.25       0.20833333 0.25       0.27777778 0.16666667]|[0.26388889 0.20833333 0.30555556 0.23611111 0.19444444]|0.2777777777777778|0.23055555555555557|0.24166666666666664
2023-05-08 00:23:20|algorithm2_1|ori|movement|0.06|{49, 51, 30, 87}|90|4|0.45555555555555555|232.43755722045898|[0.36111111 0.30555556 0.36111111 0.36111111 0.23611111]|[0.26388889 0.13888889 0.20833333 0.30555556 0.25      ]|[0.29166667 0.27777778 0.26388889 0.23611111 0.31944444]|0.32500000000000007|0.23333333333333334|0.2777777777777778
2023-05-08 00:27:19|algorithm2_1|ori|movement|0.08|{49, 51, 20, 31}|90|4|0.49444444444444446|239.0436749458313|[0.31944444 0.27777778 0.40277778 0.38888889 0.34722222]|[0.30555556 0.20833333 0.375      0.36111111 0.33333333]|[0.29166667 0.31944444 0.38888889 0.23611111 0.29166667]|0.3472222222222222|0.31666666666666665|0.3055555555555556
2023-05-08 00:31:28|algorithm2_1|ori|movement|0.1|{16, 65, 51, 37}|90|4|0.5027777777777778|249.267831325531|[0.36111111 0.36111111 0.47222222 0.33333333 0.33333333]|[0.33333333 0.23611111 0.375      0.36111111 0.27777778]|[0.41666667 0.43055556 0.29166667 0.27777778 0.30555556]|0.3722222222222222|0.3166666666666667|0.3444444444444445
2023-05-08 00:36:23|algorithm2_1|ori|movement|0.12000000000000001|{16, 49, 35, 51, 4, 30}|90|6|0.5638888888888889|294.957950592041|[0.54166667 0.36111111 0.61111111 0.47222222 0.375     ]|[0.45833333 0.30555556 0.40277778 0.41666667 0.33333333]|[0.36111111 0.30555556 0.375      0.27777778 0.31944444]|0.4722222222222222|0.3833333333333333|0.32777777777777783
2023-05-08 00:41:25|algorithm2_1|ori|movement|0.14|{49, 51, 40, 10, 30, 15}|90|6|0.6|301.52345848083496|[0.5        0.40277778 0.58333333 0.54166667 0.43055556]|[0.44444444 0.34722222 0.44444444 0.48611111 0.36111111]|[0.38888889 0.30555556 0.36111111 0.375      0.375     ]|0.4916666666666666|0.4166666666666667|0.3611111111111111
2023-05-08 00:47:09|algorithm2_1|ori|movement|0.16|{49, 28, 51, 29, 46, 12, 13, 30}|90|8|0.6333333333333333|343.58407068252563|[0.61111111 0.51388889 0.56944444 0.51388889 0.47222222]|[0.55555556 0.43055556 0.45833333 0.58333333 0.48611111]|[0.43055556 0.38888889 0.45833333 0.40277778 0.41666667]|0.5361111111111111|0.5027777777777778|0.4194444444444444
2023-05-08 00:53:00|algorithm2_1|ori|movement|0.18|{2, 37, 24, 25, 75, 59, 60, 14}|90|8|0.6166666666666667|351.56708884239197|[0.55555556 0.55555556 0.59722222 0.48611111 0.48611111]|[0.61111111 0.45833333 0.5        0.51388889 0.52777778]|[0.375      0.27777778 0.40277778 0.40277778 0.33333333]|0.5361111111111112|0.5222222222222221|0.35833333333333334
2023-05-08 00:58:49|algorithm2_1|ori|movement|0.19999999999999998|{16, 75, 4, 37, 57, 26, 11, 60}|90|8|0.6555555555555556|349.0373556613922|[0.625      0.55555556 0.625      0.51388889 0.54166667]|[0.52777778 0.44444444 0.55555556 0.58333333 0.51388889]|[0.38888889 0.30555556 0.36111111 0.41666667 0.23611111]|0.5722222222222222|0.525|0.3416666666666667
