结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 02:26:30|algorithm2_1|ori|musk|0.02|{144, 66, 37, 157}|166|4|0.453781512605042|581.5310413837433|[0.59375    0.47368421 0.58947368 0.57894737 0.63157895]|[0.5625     0.56842105 0.56842105 0.56842105 0.55789474]|[0.57291667 0.65263158 0.6        0.71578947 0.62105263]|0.5734868421052631|0.5651315789473684|0.6324780701754387
2023-05-08 02:39:58|algorithm2_1|ori|musk|0.04|{144, 1, 66, 130, 36, 20}|166|6|0.47689075630252103|807.9159159660339|[0.58333333 0.64210526 0.71578947 0.77894737 0.70526316]|[0.57291667 0.66315789 0.61052632 0.65263158 0.69473684]|[0.73958333 0.67368421 0.57894737 0.66315789 0.58947368]|0.6850877192982455|0.6387938596491227|0.648969298245614
2023-05-08 02:56:02|algorithm2_1|ori|musk|0.06|{144, 66, 67, 4, 151, 91}|166|6|0.5315126050420168|963.8242151737213|[0.70833333 0.64210526 0.61052632 0.70526316 0.61052632]|[0.5625     0.54736842 0.58947368 0.65263158 0.64210526]|[0.59375    0.64210526 0.71578947 0.67368421 0.68421053]|0.6553508771929825|0.5988157894736842|0.6619078947368421
2023-05-08 03:13:02|algorithm2_1|ori|musk|0.08|{144, 33, 66, 4, 101, 138, 90, 27}|166|8|0.5084033613445378|1019.8945789337158|[0.61458333 0.55789474 0.67368421 0.72631579 0.69473684]|[0.4375     0.6        0.63157895 0.6        0.74736842]|[0.58333333 0.6        0.77894737 0.66315789 0.66315789]|0.6534429824561403|0.6032894736842105|0.6577192982456139
2023-05-08 03:30:16|algorithm2_1|ori|musk|0.1|{65, 66, 4, 150, 23, 11, 42, 91}|166|8|0.6029411764705882|1034.1659655570984|[0.58333333 0.58947368 0.75789474 0.82105263 0.71578947]|[0.55208333 0.47368421 0.73684211 0.63157895 0.50526316]|[0.70833333 0.63157895 0.75789474 0.81052632 0.67368421]|0.6935087719298245|0.5798903508771929|0.7164035087719298
2023-05-08 03:48:57|algorithm2_1|ori|musk|0.12000000000000001|{65, 66, 67, 130, 9, 75, 78, 91, 156, 30}|166|10|0.5525210084033614|1120.8782141208649|[0.67708333 0.70526316 0.71578947 0.78947368 0.75789474]|[0.51041667 0.53684211 0.73684211 0.69473684 0.68421053]|[0.6875     0.58947368 0.70526316 0.81052632 0.69473684]|0.7291008771929826|0.6326096491228069|0.6975
2023-05-08 04:08:00|algorithm2_1|ori|musk|0.14|{96, 144, 50, 67, 91, 92, 94, 15}|166|8|0.5882352941176471|1142.815102338791|[0.625      0.68421053 0.71578947 0.71578947 0.67368421]|[0.61458333 0.63157895 0.69473684 0.69473684 0.71578947]|[0.625      0.64210526 0.68421053 0.76842105 0.81052632]|0.6828947368421052|0.6702850877192982|0.7060526315789473
2023-05-08 04:27:16|algorithm2_1|ori|musk|0.16|{96, 65, 130, 69, 46, 144, 20, 154, 91, 94}|166|10|0.5483193277310925|1155.5876655578613|[0.54166667 0.67368421 0.68421053 0.69473684 0.6       ]|[0.52083333 0.68421053 0.69473684 0.72631579 0.68421053]|[0.60416667 0.64210526 0.66315789 0.74736842 0.6       ]|0.638859649122807|0.662061403508772|0.6513596491228071
2023-05-08 04:46:35|algorithm2_1|ori|musk|0.18|{96, 161, 64, 144, 149, 135, 124, 78}|166|8|0.6008403361344538|1159.4712285995483|[0.64583333 0.6        0.73684211 0.75789474 0.69473684]|[0.51041667 0.61052632 0.69473684 0.73684211 0.74736842]|[0.67708333 0.62105263 0.66315789 0.67368421 0.70526316]|0.6870614035087719|0.6599780701754386|0.6680482456140351
2023-05-08 05:06:26|algorithm2_1|ori|musk|0.19999999999999998|{96, 162, 67, 109, 49, 117, 91, 92, 94, 31}|166|10|0.6071428571428571|1190.6152431964874|[0.65625    0.66315789 0.74736842 0.74736842 0.73684211]|[0.65625    0.62105263 0.69473684 0.73684211 0.82105263]|[0.6875     0.6        0.75789474 0.86315789 0.69473684]|0.7101973684210526|0.7059868421052632|0.7206578947368422
2023-05-08 05:26:21|algorithm2_1|ori|musk|0.21999999999999997|{66, 3, 39, 140, 155, 109, 144, 49, 147, 123, 92, 31}|166|12|0.6050420168067226|1194.3500838279724|[0.6875     0.64210526 0.75789474 0.74736842 0.74736842]|[0.61458333 0.58947368 0.68421053 0.74736842 0.61052632]|[0.57291667 0.69473684 0.71578947 0.71578947 0.58947368]|0.7164473684210526|0.649232456140351|0.6577412280701754
