结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 09:01:14|algorithm2_1|ori|pima|0.02|{1, 4}|8|2|0.3841145833333333|5.703308820724487|[0.74025974 0.70779221 0.74025974 0.70588235 0.75163399]|[0.76623377 0.74675325 0.72727273 0.7254902  0.76470588]|[0.73376623 0.67532468 0.69480519 0.66666667 0.73856209]|0.7291656056361939|0.7460911637382226|0.7018249724132077
2023-05-08 09:01:21|algorithm2_1|ori|pima|0.04|{1, 4, 6, 7}|8|4|0.3580729166666667|7.25543212890625|[0.73376623 0.73376623 0.73376623 0.76470588 0.76470588]|[0.75974026 0.77922078 0.73376623 0.73202614 0.76470588]|[0.67532468 0.77922078 0.7012987  0.66666667 0.74509804]|0.7461420932009167|0.7538918597742127|0.7135217723453018
2023-05-08 09:01:30|algorithm2_1|ori|pima|0.06|{4, 5, 6, 7}|8|4|0.4947916666666667|8.148459911346436|[0.68181818 0.7012987  0.68181818 0.66666667 0.68627451]|[0.68831169 0.68831169 0.7012987  0.67973856 0.67320261]|[0.66883117 0.66883117 0.69480519 0.64052288 0.71895425]|0.6835752482811305|0.6861726508785333|0.6783889313301078
2023-05-08 09:01:39|algorithm2_1|ori|pima|0.08|{1, 4, 5, 7}|8|4|0.5455729166666666|8.847890138626099|[0.78571429 0.75974026 0.73376623 0.73202614 0.77124183]|[0.77922078 0.77272727 0.74025974 0.73856209 0.78431373]|[0.73376623 0.79220779 0.76623377 0.68627451 0.75816993]|0.7564977506153976|0.7630167218402513|0.7473304473304474
2023-05-08 09:01:49|algorithm2_1|ori|pima|0.1|{1, 4, 5, 7}|8|4|0.52734375|10.129958629608154|[0.78571429 0.75974026 0.73376623 0.73202614 0.77124183]|[0.77922078 0.77272727 0.74025974 0.73856209 0.78431373]|[0.73376623 0.79220779 0.76623377 0.69281046 0.75816993]|0.7564977506153976|0.7630167218402513|0.7486376368729311
2023-05-08 09:02:00|algorithm2_1|ori|pima|0.12000000000000001|{1, 3, 4, 5, 6, 7}|8|6|0.51953125|10.668389320373535|[0.75324675 0.77922078 0.76623377 0.71895425 0.73202614]|[0.79220779 0.79220779 0.76623377 0.7254902  0.77777778]|[0.75324675 0.79220779 0.72077922 0.69281046 0.73856209]|0.7499363381716323|0.7707834649011119|0.7395212630506748
2023-05-08 09:02:10|algorithm2_1|ori|pima|0.14|{0, 1, 4, 5, 6, 7}|8|6|0.5625|10.399270057678223|[0.72077922 0.76623377 0.71428571 0.71895425 0.77124183]|[0.77272727 0.78571429 0.76623377 0.70588235 0.80392157]|[0.75324675 0.76623377 0.73376623 0.69934641 0.74509804]|0.7382989559460148|0.7668958492487905|0.7395382395382395
2023-05-08 09:02:21|algorithm2_1|ori|pima|0.16|{0, 1, 3, 5, 6, 7}|8|6|0.5885416666666666|10.160706043243408|[0.72077922 0.75974026 0.75974026 0.68627451 0.79084967]|[0.77922078 0.78571429 0.75324675 0.70588235 0.80392157]|[0.73376623 0.75974026 0.7012987  0.69281046 0.78431373]|0.7434767846532552|0.7655971479500892|0.7343858755623461
2023-05-08 09:02:30|algorithm2_1|ori|pima|0.18|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.5390625|9.480085372924805|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.75324675 0.75324675 0.68831169 0.69934641 0.74509804]|0.7226466344113402|0.7695017400899754|0.7278499278499279
2023-05-08 09:02:40|algorithm2_1|ori|pima|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.55078125|9.552952289581299|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.74675325 0.75324675 0.68831169 0.69934641 0.74509804]|0.7226466344113402|0.7695017400899754|0.7265512265512266
