结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:23:36|algorithm2_1|ori|plrx|0.02|{0, 11}|12|2|0.46703296703296704|1.5771207809448242|[0.64864865 0.7027027  0.69444444 0.72222222 0.69444444]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.56756757 0.72972973 0.69444444 0.69444444 0.66666667]|0.6924924924924925|0.7144144144144144|0.6705705705705706
2023-05-07 23:23:38|algorithm2_1|ori|plrx|0.04|{9, 7}|12|2|0.5934065934065934|1.5946660041809082|[0.67567568 0.7027027  0.69444444 0.72222222 0.69444444]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.7027027  0.67567568 0.72222222 0.75       0.75      ]|0.6978978978978979|0.7144144144144144|0.7201201201201202
2023-05-07 23:23:40|algorithm2_1|ori|plrx|0.06|{11, 3}|12|2|0.46703296703296704|1.655595064163208|[0.7027027  0.7027027  0.63888889 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.62162162 0.64864865 0.58333333 0.69444444 0.75      ]|0.6977477477477478|0.7144144144144144|0.6596096096096096
2023-05-07 23:23:41|algorithm2_1|ori|plrx|0.08|{11, 3}|12|2|0.33516483516483514|1.720815896987915|[0.7027027  0.7027027  0.63888889 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.62162162 0.59459459 0.58333333 0.69444444 0.69444444]|0.6977477477477478|0.7144144144144144|0.6376876876876878
2023-05-07 23:23:43|algorithm2_1|ori|plrx|0.1|{11, 9, 3, 6}|12|4|0.3956043956043956|2.04742431640625|[0.7027027  0.72972973 0.72222222 0.66666667 0.63888889]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.64864865 0.67567568 0.5        0.61111111 0.66666667]|0.692042042042042|0.7144144144144144|0.6204204204204203
2023-05-07 23:23:45|algorithm2_1|ori|plrx|0.12000000000000001|{9, 2, 11, 6}|12|4|0.5054945054945055|2.0345473289489746|[0.67567568 0.72972973 0.69444444 0.69444444 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.67567568 0.62162162 0.36111111 0.66666667 0.66666667]|0.7033033033033034|0.7144144144144144|0.5983483483483483
2023-05-07 23:23:48|algorithm2_1|ori|plrx|0.14|{0, 2, 11, 4}|12|4|0.5054945054945055|2.120424747467041|[0.62162162 0.7027027  0.69444444 0.69444444 0.69444444]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.59459459 0.67567568 0.55555556 0.66666667 0.69444444]|0.6815315315315316|0.7144144144144144|0.6373873873873874
2023-05-07 23:23:50|algorithm2_1|ori|plrx|0.16|{0, 3, 11, 4}|12|4|0.521978021978022|2.071727991104126|[0.72972973 0.7027027  0.69444444 0.77777778 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.54054054 0.67567568 0.66666667 0.77777778 0.69444444]|0.7253753753753754|0.7144144144144144|0.671021021021021
2023-05-07 23:23:52|algorithm2_1|ori|plrx|0.18|{8, 2, 4, 7}|12|4|0.532967032967033|2.151338815689087|[0.72972973 0.67567568 0.69444444 0.69444444 0.75      ]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.78378378 0.64864865 0.69444444 0.58333333 0.66666667]|0.7088588588588589|0.7144144144144144|0.6753753753753754
2023-05-07 23:23:54|algorithm2_1|ori|plrx|0.19999999999999998|{2, 3, 4, 5, 8, 11}|12|6|0.5384615384615384|2.3751206398010254|[0.7027027  0.7027027  0.69444444 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.67567568 0.62162162 0.52777778 0.66666667 0.69444444]|0.7088588588588589|0.7144144144144144|0.6372372372372371
