结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:49:00|algorithm2_1|ori|seeds|0.02|{0, 5}|7|2|0.3952380952380952|1.0953149795532227|[0.92857143 0.76190476 0.92857143 0.92857143 0.95238095]|[0.92857143 0.66666667 0.9047619  0.97619048 0.92857143]|[0.95238095 0.69047619 0.88095238 0.92857143 0.97619048]|0.9|0.880952380952381|0.8857142857142858
2023-05-07 23:49:01|algorithm2_1|ori|seeds|0.04|{1, 5}|7|2|0.7571428571428571|1.057692289352417|[0.9047619  0.76190476 0.9047619  0.92857143 0.92857143]|[0.92857143 0.71428571 0.9047619  0.95238095 0.92857143]|[0.92857143 0.73809524 0.88095238 0.88095238 0.85714286]|0.8857142857142858|0.8857142857142858|0.8571428571428571
2023-05-07 23:49:02|algorithm2_1|ori|seeds|0.06|{1, 5}|7|2|0.8476190476190476|1.0920395851135254|[0.9047619  0.76190476 0.9047619  0.92857143 0.92857143]|[0.92857143 0.71428571 0.9047619  0.95238095 0.92857143]|[0.92857143 0.73809524 0.88095238 0.88095238 0.88095238]|0.8857142857142858|0.8857142857142858|0.8619047619047618
2023-05-07 23:49:03|algorithm2_1|ori|seeds|0.08|{1, 5}|7|2|0.8666666666666667|1.0744292736053467|[0.9047619  0.76190476 0.9047619  0.92857143 0.92857143]|[0.92857143 0.71428571 0.9047619  0.95238095 0.92857143]|[0.92857143 0.73809524 0.88095238 0.88095238 0.85714286]|0.8857142857142858|0.8857142857142858|0.8571428571428571
2023-05-07 23:49:04|algorithm2_1|ori|seeds|0.1|{1, 5}|7|2|0.8666666666666667|1.0936968326568604|[0.9047619  0.76190476 0.9047619  0.92857143 0.92857143]|[0.92857143 0.71428571 0.9047619  0.95238095 0.92857143]|[0.92857143 0.73809524 0.88095238 0.88095238 0.88095238]|0.8857142857142858|0.8857142857142858|0.8619047619047618
2023-05-07 23:49:06|algorithm2_1|ori|seeds|0.12000000000000001|{0, 2, 4, 5}|7|4|0.8571428571428571|1.269787311553955|[0.92857143 0.76190476 0.92857143 1.         0.92857143]|[0.92857143 0.73809524 0.92857143 1.         0.9047619 ]|[0.92857143 0.71428571 0.9047619  0.92857143 0.92857143]|0.9095238095238095|0.9|0.880952380952381
2023-05-07 23:49:07|algorithm2_1|ori|seeds|0.14|{1, 2, 4, 5}|7|4|0.8952380952380953|1.2869763374328613|[0.92857143 0.78571429 0.92857143 1.         0.92857143]|[0.92857143 0.71428571 0.92857143 1.         0.95238095]|[0.9047619  0.78571429 0.88095238 0.9047619  0.80952381]|0.9142857142857144|0.9047619047619048|0.8571428571428571
2023-05-07 23:49:08|algorithm2_1|ori|seeds|0.16|{1, 2, 5, 6}|7|4|0.8809523809523809|1.2646541595458984|[0.95238095 0.83333333 0.95238095 0.97619048 0.95238095]|[0.95238095 0.88095238 0.92857143 0.97619048 0.95238095]|[0.88095238 0.80952381 0.92857143 0.85714286 0.92857143]|0.9333333333333333|0.9380952380952381|0.880952380952381
2023-05-07 23:49:10|algorithm2_1|ori|seeds|0.18|{1, 2, 5, 6}|7|4|0.9095238095238095|1.3255314826965332|[0.95238095 0.83333333 0.95238095 0.97619048 0.95238095]|[0.95238095 0.88095238 0.92857143 0.97619048 0.95238095]|[0.88095238 0.80952381 0.92857143 0.85714286 0.9047619 ]|0.9333333333333333|0.9380952380952381|0.8761904761904763
2023-05-07 23:49:11|algorithm2_1|ori|seeds|0.19999999999999998|{0, 1, 2, 4, 5, 6}|7|6|0.8857142857142857|1.3957066535949707|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.95238095]|[0.88095238 0.71428571 0.92857143 0.95238095 0.85714286]|0.9238095238095239|0.9380952380952381|0.8666666666666666
2023-05-07 23:49:13|algorithm2_1|ori|seeds|0.21999999999999997|{0, 1, 2, 3, 5, 6}|7|6|0.9095238095238095|1.3521146774291992|[0.97619048 0.85714286 0.92857143 0.95238095 0.92857143]|[0.95238095 0.80952381 0.9047619  0.97619048 0.95238095]|[0.9047619  0.80952381 0.92857143 0.95238095 0.9047619 ]|0.9285714285714286|0.919047619047619|0.9000000000000001
2023-05-07 23:49:14|algorithm2_1|ori|seeds|0.23999999999999996|{0, 1, 2, 4, 5, 6}|7|6|0.8714285714285714|1.42454195022583|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.95238095]|[0.9047619  0.78571429 0.92857143 0.97619048 0.85714286]|0.9238095238095239|0.9380952380952381|0.8904761904761905
2023-05-07 23:49:16|algorithm2_1|ori|seeds|0.25999999999999995|{1, 2, 3, 4, 5, 6}|7|6|0.8714285714285714|1.4078259468078613|[0.97619048 0.80952381 0.95238095 0.97619048 0.92857143]|[0.97619048 0.80952381 0.92857143 0.97619048 0.95238095]|[0.85714286 0.69047619 0.88095238 0.85714286 0.88095238]|0.9285714285714286|0.9285714285714286|0.8333333333333333
2023-05-07 23:49:17|algorithm2_1|ori|seeds|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6}|7|7|0.8857142857142857|1.3698058128356934|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.69047619 0.92857143 0.95238095 0.85714286]|0.9238095238095239|0.9428571428571428|0.8666666666666666
2023-05-07 23:49:18|algorithm2_1|ori|seeds|0.3|{0, 1, 2, 3, 4, 5, 6}|7|7|0.8714285714285714|1.4048278331756592|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.66666667 0.92857143 0.95238095 0.85714286]|0.9238095238095239|0.9428571428571428|0.8619047619047618
2023-05-07 23:49:20|algorithm2_1|ori|seeds|0.32|{0, 1, 2, 3, 4, 5, 6}|7|7|0.8857142857142857|1.377598762512207|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.80952381 0.92857143 0.97619048 0.88095238]|0.9238095238095239|0.9428571428571428|0.9
2023-05-07 23:49:21|algorithm2_1|ori|seeds|0.34|{0, 1, 2, 3, 4, 5, 6}|7|7|0.819047619047619|1.432084083557129|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.66666667 0.92857143 0.95238095 0.88095238]|0.9238095238095239|0.9428571428571428|0.8666666666666668
2023-05-07 23:49:23|algorithm2_1|ori|seeds|0.36000000000000004|{0, 1, 2, 3, 4, 5, 6}|7|7|0.8238095238095238|1.4804508686065674|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.88095238 0.80952381 0.92857143 0.95238095 0.85714286]|0.9238095238095239|0.9428571428571428|0.8857142857142856
2023-05-07 23:49:24|algorithm2_1|ori|seeds|0.38000000000000006|{0, 1, 2, 3, 4, 5, 6}|7|7|0.7904761904761904|1.4854445457458496|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.97619048]|[0.9047619  0.80952381 0.92857143 0.95238095 0.92857143]|0.9238095238095239|0.9428571428571428|0.9047619047619049
2023-05-07 23:49:26|algorithm2_1|ori|seeds|0.4000000000000001|{0, 1, 2, 4, 5, 6}|7|6|0.819047619047619|1.4603123664855957|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.95238095]|[0.9047619  0.83333333 0.92857143 0.95238095 0.85714286]|0.9238095238095239|0.9380952380952381|0.8952380952380953
