结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 02:13:22|algorithm2_1|ori|vote|0.02|{1, 2, 3, 4, 9, 10}|16|6|0.8804597701149425|10.928594827651978|[0.96551724 0.93103448 0.94252874 0.91954023 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.95402299 0.93103448 0.94252874 0.93103448]|0.9379310344827587|0.9563218390804596|0.9448275862068967
2023-05-08 02:13:33|algorithm2_1|ori|vote|0.04|{1, 2, 3, 4, 9, 10}|16|6|0.8804597701149425|10.626162052154541|[0.96551724 0.93103448 0.94252874 0.91954023 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.93103448 0.93103448 0.94252874 0.93103448]|0.9379310344827587|0.9563218390804596|0.9402298850574713
2023-05-08 02:13:43|algorithm2_1|ori|vote|0.06|{1, 2, 3, 4, 9, 10}|16|6|0.8804597701149425|10.682405948638916|[0.96551724 0.93103448 0.94252874 0.91954023 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.93103448 0.94252874 0.93103448]|0.9379310344827587|0.9563218390804596|0.9425287356321839
2023-05-08 02:13:55|algorithm2_1|ori|vote|0.08|{1, 2, 3, 4, 9, 10}|16|6|0.8804597701149425|10.945460319519043|[0.96551724 0.93103448 0.94252874 0.91954023 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.95402299 0.93103448 0.94252874 0.93103448]|0.9379310344827587|0.9563218390804596|0.9448275862068967
2023-05-08 02:14:05|algorithm2_1|ori|vote|0.1|{1, 2, 3, 4, 9, 10}|16|6|0.8804597701149425|10.787889957427979|[0.96551724 0.93103448 0.94252874 0.91954023 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.95402299 0.93103448 0.94252874 0.93103448]|0.9379310344827587|0.9563218390804596|0.9448275862068967
2023-05-08 02:14:16|algorithm2_1|ori|vote|0.12000000000000001|{1, 2, 3, 4, 9, 10}|16|6|0.8804597701149425|10.684193134307861|[0.96551724 0.93103448 0.94252874 0.91954023 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.93103448 0.93103448 0.94252874 0.93103448]|0.9379310344827587|0.9563218390804596|0.9402298850574713
2023-05-08 02:14:27|algorithm2_1|ori|vote|0.14|{1, 2, 3, 4, 9, 10}|16|6|0.8804597701149425|10.439872980117798|[0.96551724 0.93103448 0.94252874 0.91954023 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.95402299 0.93103448 0.94252874 0.93103448]|0.9379310344827587|0.9563218390804596|0.9448275862068967
2023-05-08 02:14:37|algorithm2_1|ori|vote|0.16|{1, 2, 3, 4, 9, 10}|16|6|0.8804597701149425|10.514705419540405|[0.96551724 0.93103448 0.94252874 0.91954023 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.93103448 0.94252874 0.93103448]|0.9379310344827587|0.9563218390804596|0.9425287356321839
2023-05-08 02:14:48|algorithm2_1|ori|vote|0.18|{1, 2, 3, 4, 9, 10}|16|6|0.8804597701149425|10.570791959762573|[0.96551724 0.93103448 0.94252874 0.91954023 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.95402299 0.93103448 0.94252874 0.93103448]|0.9379310344827587|0.9563218390804596|0.9448275862068967
2023-05-08 02:14:59|algorithm2_1|ori|vote|0.19999999999999998|{1, 2, 3, 4, 9, 10}|16|6|0.8804597701149425|10.598297834396362|[0.96551724 0.93103448 0.94252874 0.91954023 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.95402299 0.93103448 0.94252874 0.93103448]|0.9379310344827587|0.9563218390804596|0.9448275862068967
