结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 08:26:31|algorithm2_1|ori|wdbc|0.02|{27, 13}|30|2|0.7961335676625659|29.607593536376953|[0.92105263 0.93859649 0.92105263 0.9122807  0.92035398]|[0.92105263 0.92982456 0.90350877 0.92105263 0.92920354]|[0.89473684 0.93859649 0.92105263 0.92982456 0.92920354]|0.9226672876882471|0.9209284272628475|0.9226828132277596
2023-05-08 08:27:15|algorithm2_1|ori|wdbc|0.04|{16, 26, 13, 22}|30|4|0.7398945518453427|43.53018021583557|[0.95614035 0.89473684 0.96491228 0.92105263 0.94690265]|[0.95614035 0.93859649 0.96491228 0.9122807  0.91150442]|[0.93859649 0.9122807  0.93859649 0.92982456 0.88495575]|0.9367489520260829|0.936686849868033|0.9208507995652848
2023-05-08 08:28:02|algorithm2_1|ori|wdbc|0.06|{16, 26, 13, 22}|30|4|0.7978910369068541|47.11634111404419|[0.95614035 0.89473684 0.96491228 0.92105263 0.94690265]|[0.95614035 0.93859649 0.96491228 0.9122807  0.91150442]|[0.93859649 0.90350877 0.94736842 0.9122807  0.88495575]|0.9367489520260829|0.936686849868033|0.9173420276354601
2023-05-08 08:28:52|algorithm2_1|ori|wdbc|0.08|{11, 19, 23, 7}|30|4|0.820738137082601|49.41430473327637|[0.92982456 0.92982456 0.93859649 0.90350877 0.95575221]|[0.93859649 0.92105263 0.94736842 0.88596491 0.94690265]|[0.89473684 0.92982456 0.89473684 0.85964912 0.9380531 ]|0.9315013196708586|0.9279770222015215|0.903400093153237
2023-05-08 08:29:51|algorithm2_1|ori|wdbc|0.1|{10, 19, 21, 7}|30|4|0.836555360281195|59.21306657791138|[0.94736842 0.9122807  0.94736842 0.92982456 0.99115044]|[0.95614035 0.93859649 0.93859649 0.92982456 0.95575221]|[0.94736842 0.90350877 0.94736842 0.87719298 0.92920354]|0.9455985095482067|0.9437820214252446|0.9209284272628475
2023-05-08 08:30:57|algorithm2_1|ori|wdbc|0.12000000000000001|{29, 21, 14, 7}|30|4|0.8558875219683656|65.68253517150879|[0.94736842 0.93859649 0.9122807  0.92982456 0.96460177]|[0.93859649 0.92982456 0.92105263 0.92105263 0.96460177]|[0.92105263 0.88596491 0.92105263 0.89473684 0.91150442]|0.9385343890700201|0.9350256171401956|0.9068622884645242
2023-05-08 08:32:02|algorithm2_1|ori|wdbc|0.14|{24, 11, 22, 23}|30|4|0.9033391915641477|65.10742402076721|[0.93859649 0.92105263 0.97368421 0.93859649 0.97345133]|[0.93859649 0.96491228 0.97368421 0.92982456 0.96460177]|[0.9122807  0.92105263 0.97368421 0.92982456 0.96460177]|0.9490762303990063|0.9543238627542306|0.9402887750349324
2023-05-08 08:33:03|algorithm2_1|ori|wdbc|0.16|{24, 1, 27, 20}|30|4|0.9314586994727593|60.920114278793335|[0.94736842 0.92982456 0.97368421 0.93859649 0.98230088]|[0.94736842 0.96491228 0.96491228 0.94736842 0.98230088]|[0.93859649 0.95614035 0.94736842 0.94736842 0.95575221]|0.9543549138332559|0.9613724576929048|0.9490451793199813
2023-05-08 08:34:08|algorithm2_1|ori|wdbc|0.18|{24, 1, 27, 20}|30|4|0.9173989455184535|64.46849083900452|[0.94736842 0.92982456 0.97368421 0.93859649 0.98230088]|[0.94736842 0.96491228 0.96491228 0.94736842 0.98230088]|[0.93859649 0.95614035 0.94736842 0.92982456 0.96460177]|0.9543549138332559|0.9613724576929048|0.9473063188945815
2023-05-08 08:35:13|algorithm2_1|ori|wdbc|0.19999999999999998|{1, 20, 21, 22, 24, 27}|30|6|0.9209138840070299|65.26900839805603|[0.96491228 0.94736842 0.98245614 0.95614035 0.98230088]|[0.96491228 0.96491228 0.98245614 0.95614035 0.98230088]|[0.93859649 0.88596491 0.96491228 0.93859649 0.9380531 ]|0.9666356155876417|0.9701443875174662|0.9332246545567457
