结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-07 23:22:40|algorithm2_1|ori|wine|0.02|{0, 1}|13|2|0.449438202247191|2.1484715938568115|[0.77777778 0.83333333 0.72222222 0.82857143 0.8       ]|[0.77777778 0.69444444 0.72222222 0.82857143 0.77142857]|[0.75       0.77777778 0.77777778 0.82857143 0.77142857]|0.7923809523809524|0.758888888888889|0.7811111111111111
2023-05-07 23:22:43|algorithm2_1|ori|wine|0.04|{2, 6}|13|2|0.6910112359550562|2.130343437194824|[0.91666667 0.69444444 0.77777778 0.8        0.85714286]|[0.86111111 0.75       0.86111111 0.82857143 0.88571429]|[0.86111111 0.69444444 0.75       0.77142857 0.8       ]|0.8092063492063492|0.8373015873015873|0.7753968253968253
2023-05-07 23:22:45|algorithm2_1|ori|wine|0.06|{2, 11}|13|2|0.5730337078651685|2.1826953887939453|[0.83333333 0.55555556 0.83333333 0.68571429 0.77142857]|[0.77777778 0.58333333 0.80555556 0.57142857 0.82857143]|[0.80555556 0.55555556 0.80555556 0.62857143 0.77142857]|0.7358730158730159|0.7133333333333334|0.7133333333333334
2023-05-07 23:22:47|algorithm2_1|ori|wine|0.08|{2, 6}|13|2|0.5393258426966292|2.178997039794922|[0.91666667 0.69444444 0.77777778 0.8        0.85714286]|[0.86111111 0.75       0.86111111 0.82857143 0.88571429]|[0.86111111 0.69444444 0.75       0.8        0.8       ]|0.8092063492063492|0.8373015873015873|0.781111111111111
2023-05-07 23:22:50|algorithm2_1|ori|wine|0.1|{9, 2, 4, 6}|13|4|0.6292134831460674|2.7211029529571533|[0.97222222 0.88888889 0.91666667 0.88571429 0.94285714]|[0.86111111 0.88888889 0.86111111 0.94285714 0.91428571]|[1.         0.94444444 0.88888889 0.85714286 0.85714286]|0.9212698412698412|0.8936507936507937|0.9095238095238095
2023-05-07 23:22:52|algorithm2_1|ori|wine|0.12000000000000001|{9, 2, 4, 6}|13|4|0.7528089887640449|2.63459849357605|[0.97222222 0.88888889 0.91666667 0.88571429 0.94285714]|[0.86111111 0.88888889 0.86111111 0.94285714 0.91428571]|[1.         0.94444444 0.88888889 0.85714286 0.85714286]|0.9212698412698412|0.8936507936507937|0.9095238095238095
2023-05-07 23:22:55|algorithm2_1|ori|wine|0.14|{2, 10, 4, 6}|13|4|0.7921348314606742|2.7435998916625977|[0.88888889 0.80555556 0.86111111 0.82857143 0.94285714]|[0.83333333 0.77777778 0.83333333 0.85714286 0.94285714]|[0.94444444 0.91666667 0.83333333 0.85714286 0.91428571]|0.8653968253968254|0.8488888888888889|0.8931746031746032
2023-05-07 23:22:58|algorithm2_1|ori|wine|0.16|{1, 2, 12, 9}|13|4|0.8146067415730337|2.796903610229492|[0.97222222 0.86111111 0.86111111 0.85714286 0.85714286]|[0.97222222 0.80555556 0.88888889 0.85714286 0.85714286]|[0.97222222 0.91666667 0.88888889 0.8        0.74285714]|0.8817460317460318|0.8761904761904761|0.8641269841269841
2023-05-07 23:23:01|algorithm2_1|ori|wine|0.18|{1, 2, 12, 9}|13|4|0.8651685393258427|2.7757534980773926|[0.97222222 0.86111111 0.86111111 0.85714286 0.85714286]|[0.97222222 0.80555556 0.88888889 0.85714286 0.85714286]|[0.97222222 0.91666667 0.80555556 0.8        0.74285714]|0.8817460317460318|0.8761904761904761|0.8474603174603175
2023-05-07 23:23:04|algorithm2_1|ori|wine|0.19999999999999998|{0, 10, 11, 4}|13|4|0.8932584269662921|2.8328514099121094|[1.         1.         0.80555556 0.85714286 0.85714286]|[0.94444444 0.97222222 0.80555556 0.85714286 0.94285714]|[0.97222222 1.         0.94444444 0.82857143 0.97142857]|0.903968253968254|0.9044444444444444|0.9433333333333334
