结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-16 08:55:56|algorithm3|1fold|seeds|0.02|{1}|7|1|0.8690476190476191|1.020998477935791|[0.95238095 0.73809524 0.83333333 0.9047619  0.92857143]|[0.92857143 0.69047619 0.92857143 0.88095238 0.85714286]|[0.95238095 0.71428571 0.80952381 0.9047619  0.83333333]|0.8714285714285713|0.8571428571428571|0.8428571428571429
2023-05-16 08:55:58|algorithm3|1fold|seeds|0.04|{0, 4}|7|2|0.8392857142857143|1.4629979133605957|[0.97619048 0.61904762 0.80952381 0.9047619  0.80952381]|[1.         0.64285714 0.80952381 0.92857143 0.88095238]|[0.9047619  0.5952381  0.83333333 0.83333333 0.78571429]|0.8238095238095239|0.8523809523809526|0.7904761904761906
2023-05-16 08:55:59|algorithm3|1fold|seeds|0.06|{1, 6}|7|2|0.8928571428571429|1.4669973850250244|[0.95238095 0.88095238 0.92857143 0.97619048 0.92857143]|[0.95238095 0.9047619  0.92857143 0.95238095 0.95238095]|[0.92857143 0.9047619  0.88095238 0.9047619  0.92857143]|0.9333333333333333|0.9380952380952381|0.9095238095238095
2023-05-16 08:56:01|algorithm3|1fold|seeds|0.08|{0, 5}|7|2|0.9047619047619048|1.4081554412841797|[0.92857143 0.76190476 0.92857143 0.92857143 0.95238095]|[0.92857143 0.66666667 0.9047619  0.97619048 0.92857143]|[0.97619048 0.69047619 0.85714286 0.92857143 0.97619048]|0.9|0.880952380952381|0.8857142857142858
2023-05-16 08:56:02|algorithm3|1fold|seeds|0.1|{0, 1, 6}|7|3|0.9226190476190477|1.7609984874725342|[1.         0.83333333 0.88095238 0.95238095 0.9047619 ]|[1.         0.85714286 0.92857143 0.95238095 0.95238095]|[1.         0.85714286 0.88095238 0.9047619  0.92857143]|0.9142857142857144|0.9380952380952381|0.9142857142857143
2023-05-16 08:56:04|algorithm3|1fold|seeds|0.12000000000000001|{1, 6}|7|2|0.9642857142857143|1.4410011768341064|[0.95238095 0.88095238 0.92857143 0.97619048 0.92857143]|[0.95238095 0.9047619  0.92857143 0.95238095 0.95238095]|[0.92857143 0.9047619  0.88095238 0.9047619  0.9047619 ]|0.9333333333333333|0.9380952380952381|0.9047619047619048
2023-05-16 08:56:06|algorithm3|1fold|seeds|0.14|{0, 5, 6}|7|3|0.9345238095238095|1.6939961910247803|[0.95238095 0.83333333 0.95238095 0.95238095 0.95238095]|[0.95238095 0.88095238 0.95238095 0.95238095 0.95238095]|[0.9047619  0.78571429 0.9047619  0.95238095 0.95238095]|0.9285714285714286|0.9380952380952381|0.9
2023-05-16 08:56:07|algorithm3|1fold|seeds|0.16|{0, 1, 6}|7|3|0.9404761904761905|1.779996395111084|[1.         0.83333333 0.88095238 0.95238095 0.9047619 ]|[1.         0.85714286 0.92857143 0.95238095 0.95238095]|[1.         0.83333333 0.88095238 0.9047619  0.92857143]|0.9142857142857144|0.9380952380952381|0.9095238095238095
2023-05-16 08:56:10|algorithm3|1fold|seeds|0.18|{0, 2, 4, 5, 6}|7|5|0.9345238095238095|2.1345057487487793|[0.97619048 0.80952381 0.95238095 0.97619048 0.95238095]|[0.97619048 0.83333333 0.9047619  0.97619048 0.95238095]|[0.88095238 0.83333333 0.92857143 0.95238095 0.97619048]|0.9333333333333333|0.9285714285714286|0.9142857142857144
2023-05-16 08:56:12|algorithm3|1fold|seeds|0.19999999999999998|{0, 1, 5, 6}|7|4|0.9642857142857143|1.9505066871643066|[0.97619048 0.83333333 0.92857143 0.95238095 0.97619048]|[0.95238095 0.80952381 0.92857143 0.97619048 0.97619048]|[0.95238095 0.83333333 0.92857143 0.97619048 0.92857143]|0.9333333333333333|0.9285714285714286|0.9238095238095239
2023-05-16 08:56:14|algorithm3|1fold|seeds|0.21999999999999997|{0, 3, 5, 6}|7|4|0.9166666666666666|2.0459957122802734|[0.95238095 0.83333333 0.95238095 0.95238095 0.95238095]|[0.95238095 0.83333333 0.92857143 0.95238095 0.97619048]|[0.92857143 0.76190476 0.92857143 0.97619048 0.92857143]|0.9285714285714286|0.9285714285714286|0.9047619047619048
2023-05-16 08:56:16|algorithm3|1fold|seeds|0.23999999999999996|{0, 1, 2, 3, 5, 6}|7|6|0.9226190476190477|2.2249958515167236|[0.97619048 0.85714286 0.92857143 0.95238095 0.92857143]|[0.95238095 0.80952381 0.9047619  0.97619048 0.95238095]|[0.9047619  0.80952381 0.92857143 0.97619048 0.9047619 ]|0.9285714285714286|0.919047619047619|0.9047619047619049
2023-05-16 08:56:18|algorithm3|1fold|seeds|0.25999999999999995|{1, 2, 3, 4, 5, 6}|7|6|0.9107142857142857|2.2706475257873535|[0.97619048 0.80952381 0.95238095 0.97619048 0.92857143]|[0.97619048 0.80952381 0.92857143 0.97619048 0.95238095]|[0.88095238 0.71428571 0.88095238 0.85714286 0.88095238]|0.9285714285714286|0.9285714285714286|0.8428571428571429
2023-05-16 08:56:20|algorithm3|1fold|seeds|0.27999999999999997|{1, 2, 5, 6}|7|4|0.8869047619047619|2.0219943523406982|[0.95238095 0.83333333 0.95238095 0.97619048 0.95238095]|[0.95238095 0.88095238 0.92857143 0.97619048 0.95238095]|[0.88095238 0.80952381 0.92857143 0.85714286 0.88095238]|0.9333333333333333|0.9380952380952381|0.8714285714285716
2023-05-16 08:56:22|algorithm3|1fold|seeds|0.3|{1, 2, 5, 6}|7|4|0.8928571428571429|1.893996000289917|[0.95238095 0.83333333 0.95238095 0.97619048 0.95238095]|[0.95238095 0.88095238 0.92857143 0.97619048 0.95238095]|[0.88095238 0.80952381 0.92857143 0.85714286 0.9047619 ]|0.9333333333333333|0.9380952380952381|0.8761904761904763
2023-05-16 08:56:24|algorithm3|1fold|seeds|0.32|{0, 1, 2, 5, 6}|7|5|0.8869047619047619|2.1510021686553955|[0.97619048 0.83333333 0.95238095 0.97619048 0.95238095]|[1.         0.83333333 0.92857143 0.97619048 0.95238095]|[0.88095238 0.83333333 0.92857143 0.97619048 0.92857143]|0.9380952380952381|0.9380952380952381|0.9095238095238096
2023-05-16 08:56:26|algorithm3|1fold|seeds|0.34|{0, 2, 3, 5, 6}|7|5|0.7976190476190477|2.142345666885376|[0.95238095 0.80952381 0.95238095 0.95238095 0.95238095]|[0.95238095 0.80952381 0.9047619  0.97619048 0.95238095]|[0.9047619  0.80952381 0.92857143 0.97619048 0.92857143]|0.9238095238095239|0.919047619047619|0.9095238095238096
2023-05-16 08:56:29|algorithm3|1fold|seeds|0.36000000000000004|{0, 1, 2, 4, 5, 6}|7|6|0.7976190476190477|2.235917091369629|[0.97619048 0.80952381 0.92857143 0.97619048 0.92857143]|[1.         0.83333333 0.92857143 0.97619048 0.95238095]|[0.9047619  0.71428571 0.92857143 0.95238095 0.9047619 ]|0.9238095238095239|0.9380952380952381|0.880952380952381
2023-05-16 08:56:31|algorithm3|1fold|seeds|0.38000000000000006|{0, 1, 2, 5, 6}|7|5|0.75|2.1569089889526367|[0.97619048 0.83333333 0.95238095 0.97619048 0.95238095]|[1.         0.83333333 0.92857143 0.97619048 0.95238095]|[0.88095238 0.78571429 0.92857143 0.95238095 0.92857143]|0.9380952380952381|0.9380952380952381|0.8952380952380953
2023-05-16 08:56:33|algorithm3|1fold|seeds|0.4000000000000001|{0, 2, 5}|7|3|0.6904761904761905|1.7899959087371826|[0.92857143 0.71428571 0.92857143 0.97619048 0.92857143]|[0.92857143 0.71428571 0.9047619  1.         0.95238095]|[0.92857143 0.71428571 0.9047619  0.9047619  0.97619048]|0.8952380952380953|0.9|0.8857142857142856
