结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-16 08:40:43|algorithm3|1fold|wine|0.02|{6}|13|1|0.676056338028169|1.5179972648620605|[0.80555556 0.77777778 0.77777778 0.77142857 0.82857143]|[0.83333333 0.80555556 0.80555556 0.68571429 0.85714286]|[0.75       0.75       0.75       0.65714286 0.8       ]|0.7922222222222223|0.7974603174603175|0.7414285714285714
2023-05-16 08:40:45|algorithm3|1fold|wine|0.04|{0, 6}|13|2|0.7676056338028169|2.1540005207061768|[1.         0.97222222 0.80555556 0.88571429 0.97142857]|[0.97222222 0.97222222 0.86111111 0.88571429 0.94285714]|[0.97222222 0.88888889 0.86111111 0.91428571 0.82857143]|0.9269841269841269|0.9268253968253968|0.893015873015873
2023-05-16 08:40:47|algorithm3|1fold|wine|0.06|{0, 6}|13|2|0.7887323943661971|2.132983922958374|[1.         0.97222222 0.80555556 0.88571429 0.97142857]|[0.97222222 0.97222222 0.86111111 0.88571429 0.94285714]|[0.97222222 0.88888889 0.86111111 0.91428571 0.82857143]|0.9269841269841269|0.9268253968253968|0.893015873015873
2023-05-16 08:40:49|algorithm3|1fold|wine|0.08|{0, 6}|13|2|0.795774647887324|2.1090006828308105|[1.         0.97222222 0.80555556 0.88571429 0.97142857]|[0.97222222 0.97222222 0.86111111 0.88571429 0.94285714]|[0.97222222 0.88888889 0.86111111 0.91428571 0.82857143]|0.9269841269841269|0.9268253968253968|0.893015873015873
2023-05-16 08:40:52|algorithm3|1fold|wine|0.1|{9, 11, 5}|13|3|0.8661971830985915|2.9679946899414062|[0.91666667 0.91666667 1.         0.71428571 0.91428571]|[0.83333333 0.91666667 0.97222222 0.65714286 0.91428571]|[0.88888889 0.94444444 0.97222222 0.74285714 0.88571429]|0.8923809523809524|0.8587301587301587|0.8868253968253967
2023-05-16 08:40:55|algorithm3|1fold|wine|0.12000000000000001|{9, 2, 5}|13|3|0.8591549295774648|3.0442824363708496|[0.88888889 0.88888889 0.88888889 0.85714286 0.82857143]|[0.75       0.91666667 0.80555556 0.65714286 0.85714286]|[0.86111111 0.91666667 0.97222222 0.82857143 0.85714286]|0.8704761904761904|0.7973015873015873|0.8871428571428572
2023-05-16 08:40:58|algorithm3|1fold|wine|0.14|{9, 2, 6}|13|3|0.8098591549295775|2.7715110778808594|[0.91666667 0.86111111 0.91666667 0.91428571 0.91428571]|[0.86111111 0.83333333 0.86111111 0.88571429 0.91428571]|[1.         0.88888889 0.88888889 0.85714286 0.77142857]|0.9046031746031746|0.8711111111111112|0.8812698412698413
2023-05-16 08:41:02|algorithm3|1fold|wine|0.16|{0, 2, 6, 9, 11}|13|5|0.852112676056338|3.813993215560913|[0.97222222 0.97222222 0.88888889 0.91428571 0.91428571]|[0.94444444 0.97222222 0.94444444 0.88571429 0.94285714]|[0.94444444 1.         0.91666667 0.82857143 0.82857143]|0.9323809523809523|0.9379365079365078|0.9036507936507936
2023-05-16 08:41:05|algorithm3|1fold|wine|0.18|{9, 12, 6}|13|3|0.8661971830985915|2.7511327266693115|[0.94444444 1.         0.91666667 0.88571429 1.        ]|[0.97222222 0.94444444 0.86111111 0.91428571 0.91428571]|[1.         1.         0.80555556 0.91428571 0.85714286]|0.9493650793650794|0.9212698412698412|0.9153968253968253
2023-05-16 08:41:07|algorithm3|1fold|wine|0.19999999999999998|{9, 12, 6}|13|3|0.8661971830985915|2.6259655952453613|[0.94444444 1.         0.91666667 0.88571429 1.        ]|[0.97222222 0.94444444 0.86111111 0.91428571 0.91428571]|[1.         1.         0.83333333 0.91428571 0.85714286]|0.9493650793650794|0.9212698412698412|0.9209523809523809
