结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 19:14:08|algorithm3|30noise|Ionosphere|0.02|{8, 0, 5}|34|3|0.48717948717948717|138.87595057487488|[0.84507042 0.78571429 0.85714286 0.92857143 0.75714286]|[0.64788732 0.74285714 0.8        0.8        0.77142857]|[0.74647887 0.82857143 0.87142857 0.9        0.81428571]|0.8347283702213281|0.7524346076458752|0.8321529175050302
2023-05-08 19:16:37|algorithm3|30noise|Ionosphere|0.02|{8, 0, 5}|34|3|0.48717948717948717|139.40889430046082|[0.84507042 0.78571429 0.85714286 0.92857143 0.75714286]|[0.64788732 0.74285714 0.8        0.8        0.77142857]|[0.74647887 0.82857143 0.87142857 0.9        0.81428571]|0.8347283702213281|0.7524346076458752|0.8321529175050302
2023-05-08 19:16:58|algorithm3|30noise|Ionosphere|0.04|{32, 0, 13, 23}|34|4|0.4415954415954416|170.43649554252625|[0.76056338 0.85714286 0.84285714 0.81428571 0.82857143]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.76056338 0.9        0.84285714 0.75714286 0.9       ]|0.8206841046277665|0.7495774647887323|0.8321126760563381
2023-05-08 19:17:36|algorithm3|30noise|Ionosphere|0.02|{8, 0, 5}|34|3|0.48717948717948717|139.94252061843872|[0.84507042 0.78571429 0.85714286 0.92857143 0.75714286]|[0.64788732 0.74285714 0.8        0.8        0.77142857]|[0.74647887 0.82857143 0.87142857 0.9        0.81428571]|0.8347283702213281|0.7524346076458752|0.8321529175050302
2023-05-08 19:17:54|algorithm3|30noise|Ionosphere|0.02|{8, 0, 5}|34|3|0.48717948717948717|139.14927172660828|[0.84507042 0.78571429 0.85714286 0.92857143 0.75714286]|[0.64788732 0.74285714 0.8        0.8        0.77142857]|[0.74647887 0.82857143 0.87142857 0.9        0.81428571]|0.8347283702213281|0.7524346076458752|0.8321529175050302
2023-05-08 19:19:17|algorithm3|30noise|Ionosphere|0.06|{18, 22, 7}|34|3|0.4045584045584046|138.11877822875977|[0.83098592 0.85714286 0.91428571 0.84285714 0.81428571]|[0.67605634 0.8        0.71428571 0.72857143 0.8       ]|[0.78873239 0.91428571 0.91428571 0.88571429 0.74285714]|0.8519114688128772|0.7437826961770624|0.8491750503018108
2023-05-08 19:19:29|algorithm3|30noise|Ionosphere|0.04|{32, 0, 13, 23}|34|4|0.4415954415954416|172.3604862689972|[0.76056338 0.85714286 0.84285714 0.81428571 0.82857143]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.76056338 0.9        0.84285714 0.78571429 0.9       ]|0.8206841046277665|0.7495774647887323|0.8378269617706238
2023-05-08 19:20:29|algorithm3|30noise|Ionosphere|0.04|{32, 0, 13, 23}|34|4|0.4415954415954416|172.07002091407776|[0.76056338 0.85714286 0.84285714 0.81428571 0.82857143]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.76056338 0.9        0.84285714 0.78571429 0.9       ]|0.8206841046277665|0.7495774647887323|0.8378269617706238
2023-05-08 19:20:47|algorithm3|30noise|Ionosphere|0.04|{32, 0, 13, 23}|34|4|0.4415954415954416|172.76545000076294|[0.76056338 0.85714286 0.84285714 0.81428571 0.82857143]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.76056338 0.9        0.84285714 0.78571429 0.9       ]|0.8206841046277665|0.7495774647887323|0.8378269617706238
2023-05-08 19:21:50|algorithm3|30noise|Ionosphere|0.06|{18, 22, 7}|34|3|0.4045584045584046|140.47019290924072|[0.83098592 0.85714286 0.91428571 0.84285714 0.81428571]|[0.67605634 0.8        0.71428571 0.72857143 0.8       ]|[0.78873239 0.91428571 0.91428571 0.88571429 0.74285714]|0.8519114688128772|0.7437826961770624|0.8491750503018108
2023-05-08 19:22:37|algorithm3|30noise|Ionosphere|0.08|{0, 17, 19, 5, 26}|34|5|0.4757834757834758|200.75793313980103|[0.76056338 0.77142857 0.92857143 0.8        0.82857143]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.66197183 0.85714286 0.88571429 0.78571429 0.8       ]|0.8178269617706236|0.7495774647887323|0.7981086519114688
2023-05-08 19:22:49|algorithm3|30noise|Ionosphere|0.06|{18, 22, 7}|34|3|0.4045584045584046|140.49364304542542|[0.83098592 0.85714286 0.91428571 0.84285714 0.81428571]|[0.67605634 0.8        0.71428571 0.72857143 0.8       ]|[0.84507042 0.91428571 0.91428571 0.88571429 0.74285714]|0.8519114688128772|0.7437826961770624|0.8604426559356136
2023-05-08 19:23:06|algorithm3|30noise|Ionosphere|0.06|{18, 22, 7}|34|3|0.4045584045584046|138.65770411491394|[0.83098592 0.85714286 0.91428571 0.84285714 0.81428571]|[0.67605634 0.8        0.71428571 0.72857143 0.8       ]|[0.78873239 0.91428571 0.91428571 0.88571429 0.77142857]|0.8519114688128772|0.7437826961770624|0.8548893360160965
2023-05-08 19:25:15|algorithm3|30noise|Ionosphere|0.08|{0, 17, 19, 5, 26}|34|5|0.4757834757834758|204.64118599891663|[0.76056338 0.77142857 0.92857143 0.8        0.82857143]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.67605634 0.85714286 0.88571429 0.78571429 0.8       ]|0.8178269617706236|0.7495774647887323|0.8009255533199194
2023-05-08 19:25:59|algorithm3|30noise|Ionosphere|0.1|{16, 0, 5, 8, 26}|34|5|0.47293447293447294|201.50593161582947|[0.8028169  0.81428571 0.92857143 0.87142857 0.81428571]|[0.64788732 0.74285714 0.8        0.81428571 0.77142857]|[0.78873239 0.87142857 0.94285714 0.9        0.84285714]|0.846277665995976|0.755291750503018|0.8691750503018107
2023-05-08 19:26:13|algorithm3|30noise|Ionosphere|0.08|{0, 17, 19, 5, 26}|34|5|0.4757834757834758|204.08711647987366|[0.76056338 0.77142857 0.92857143 0.8        0.82857143]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.67605634 0.85714286 0.9        0.78571429 0.8       ]|0.8178269617706236|0.7495774647887323|0.8037826961770623
2023-05-08 19:26:29|algorithm3|30noise|Ionosphere|0.08|{0, 17, 19, 5, 26}|34|5|0.4757834757834758|202.7592635154724|[0.76056338 0.77142857 0.92857143 0.8        0.82857143]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.67605634 0.85714286 0.88571429 0.78571429 0.8       ]|0.8178269617706236|0.7495774647887323|0.8009255533199194
2023-05-08 19:28:17|algorithm3|30noise|Ionosphere|0.12000000000000001|{10, 4, 12}|34|3|0.32193732193732194|138.33959078788757|[0.84507042 0.92857143 0.78571429 0.81428571 0.8       ]|[0.77464789 0.87142857 0.85714286 0.85714286 0.72857143]|[0.81690141 0.94285714 0.84285714 0.8        0.78571429]|0.8347283702213278|0.8177867203219316|0.8376659959758552
2023-05-08 19:28:39|algorithm3|30noise|Ionosphere|0.1|{16, 0, 5, 8, 26}|34|5|0.47293447293447294|203.826238155365|[0.8028169  0.81428571 0.92857143 0.87142857 0.81428571]|[0.64788732 0.74285714 0.8        0.81428571 0.77142857]|[0.78873239 0.9        0.94285714 0.85714286 0.84285714]|0.846277665995976|0.755291750503018|0.866317907444668
2023-05-08 19:29:37|algorithm3|30noise|Ionosphere|0.1|{16, 0, 5, 8, 26}|34|5|0.47293447293447294|203.77734088897705|[0.8028169  0.81428571 0.92857143 0.87142857 0.81428571]|[0.64788732 0.74285714 0.8        0.81428571 0.77142857]|[0.78873239 0.88571429 0.94285714 0.9        0.84285714]|0.846277665995976|0.755291750503018|0.8720321931589536
2023-05-08 19:29:51|algorithm3|30noise|Ionosphere|0.1|{16, 0, 5, 8, 26}|34|5|0.47293447293447294|202.26708793640137|[0.8028169  0.81428571 0.92857143 0.87142857 0.81428571]|[0.64788732 0.74285714 0.8        0.81428571 0.77142857]|[0.78873239 0.9        0.94285714 0.88571429 0.84285714]|0.846277665995976|0.755291750503018|0.8720321931589536
2023-05-08 19:30:58|algorithm3|30noise|Ionosphere|0.12000000000000001|{10, 4, 12}|34|3|0.32193732193732194|139.73692846298218|[0.84507042 0.92857143 0.78571429 0.81428571 0.8       ]|[0.77464789 0.87142857 0.85714286 0.85714286 0.72857143]|[0.81690141 0.94285714 0.84285714 0.78571429 0.78571429]|0.8347283702213278|0.8177867203219316|0.8348088531187123
