结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-08 18:09:49|algorithm3|30noise|PimaIndiansDiabetes|0.02|{0, 25, 6, 23}|34|4|0.4045584045584046|169.76843094825745|[0.83098592 0.87142857 0.9        0.88571429 0.81428571]|[0.70422535 0.78571429 0.84285714 0.84285714 0.82857143]|[0.78873239 0.91428571 0.87142857 0.91428571 0.84285714]|0.860482897384306|0.8008450704225352|0.866317907444668
2023-05-08 18:11:26|algorithm3|30noise|PimaIndiansDiabetes|0.02|{0, 25, 6, 23}|34|4|0.4045584045584046|173.84728503227234|[0.83098592 0.87142857 0.9        0.88571429 0.81428571]|[0.70422535 0.78571429 0.84285714 0.84285714 0.82857143]|[0.78873239 0.91428571 0.87142857 0.91428571 0.84285714]|0.860482897384306|0.8008450704225352|0.866317907444668
2023-05-08 18:12:03|algorithm3|30noise|PimaIndiansDiabetes|0.02|{0, 25, 6, 23}|34|4|0.4045584045584046|175.31265354156494|[0.83098592 0.87142857 0.9        0.88571429 0.81428571]|[0.70422535 0.78571429 0.84285714 0.84285714 0.82857143]|[0.77464789 0.91428571 0.87142857 0.91428571 0.84285714]|0.860482897384306|0.8008450704225352|0.8635010060362174
2023-05-08 18:12:11|algorithm3|30noise|PimaIndiansDiabetes|0.04|{15, 13, 7}|34|3|0.41025641025641024|141.951411485672|[0.63380282 0.81428571 0.8        0.84285714 0.77142857]|[0.63380282 0.64285714 0.64285714 0.7        0.65714286]|[0.69014085 0.78571429 0.9        0.82857143 0.82857143]|0.7724748490945674|0.6553319919517102|0.8065995975855131
2023-05-08 18:12:22|algorithm3|30noise|PimaIndiansDiabetes|0.02|{0, 25, 6, 23}|34|4|0.4045584045584046|175.95253705978394|[0.83098592 0.87142857 0.9        0.88571429 0.81428571]|[0.70422535 0.78571429 0.84285714 0.84285714 0.82857143]|[0.78873239 0.91428571 0.87142857 0.91428571 0.84285714]|0.860482897384306|0.8008450704225352|0.866317907444668
2023-05-08 18:13:49|algorithm3|30noise|PimaIndiansDiabetes|0.04|{15, 13, 7}|34|3|0.41025641025641024|142.2895224094391|[0.63380282 0.81428571 0.8        0.84285714 0.77142857]|[0.63380282 0.64285714 0.64285714 0.7        0.65714286]|[0.69014085 0.77142857 0.9        0.82857143 0.82857143]|0.7724748490945674|0.6553319919517102|0.8037424547283702
2023-05-08 18:14:24|algorithm3|30noise|PimaIndiansDiabetes|0.04|{15, 13, 7}|34|3|0.41025641025641024|141.2933828830719|[0.63380282 0.81428571 0.8        0.84285714 0.77142857]|[0.63380282 0.64285714 0.64285714 0.7        0.65714286]|[0.70422535 0.77142857 0.9        0.82857143 0.82857143]|0.7724748490945674|0.6553319919517102|0.8065593561368208
2023-05-08 18:14:31|algorithm3|30noise|PimaIndiansDiabetes|0.06|{0, 25, 30}|34|3|0.4472934472934473|139.43757009506226|[0.73239437 0.82857143 0.87142857 0.77142857 0.78571429]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.73239437 0.81428571 0.77142857 0.75714286 0.78571429]|0.797907444668008|0.7495774647887323|0.7721931589537223
2023-05-08 18:14:42|algorithm3|30noise|PimaIndiansDiabetes|0.04|{15, 13, 7}|34|3|0.41025641025641024|139.96795964241028|[0.63380282 0.81428571 0.8        0.84285714 0.77142857]|[0.63380282 0.64285714 0.64285714 0.7        0.65714286]|[0.70422535 0.78571429 0.9        0.82857143 0.82857143]|0.7724748490945674|0.6553319919517102|0.8094164989939637
2023-05-08 18:16:10|algorithm3|30noise|PimaIndiansDiabetes|0.06|{0, 25, 30}|34|3|0.4472934472934473|141.38521695137024|[0.73239437 0.82857143 0.87142857 0.77142857 0.78571429]|[0.64788732 0.72857143 0.8        0.8        0.77142857]|[0.73239437 0.81428571 0.77142857 0.75714286 0.78571429]|0.797907444668008|0.7495774647887323|0.7721931589537223
