结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 21:17:42|algorithm3|30noise|australian|0.02|{1, 4, 7}|14|3|0.48840579710144927|216.62729144096375|[0.83333333 0.86956522 0.84057971 0.86231884 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84782609 0.84782609 0.80434783 0.82608696 0.86231884]|0.8492753623188406|0.8550724637681159|0.8376811594202899
2023-05-09 21:22:44|algorithm3|30noise|australian|0.04|{1, 2, 4, 6, 7}|14|5|0.36666666666666664|302.0241174697876|[0.83333333 0.84782609 0.84057971 0.85507246 0.85507246]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.83333333 0.84057971 0.81884058 0.85507246 0.86231884]|0.846376811594203|0.8550724637681159|0.8420289855072463
2023-05-09 21:27:48|algorithm3|30noise|australian|0.06|{1, 4, 7, 9, 12}|14|5|0.43768115942028984|303.1412389278412|[0.84782609 0.84057971 0.80434783 0.85507246 0.88405797]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.88405797 0.86231884 0.82608696 0.83333333]|0.846376811594203|0.8550724637681159|0.8434782608695652
2023-05-09 21:33:54|algorithm3|30noise|australian|0.08|{1, 2, 4, 6, 7, 9, 10}|14|7|0.4289855072463768|366.78069829940796|[0.83333333 0.84057971 0.81884058 0.84057971 0.86231884]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.86231884 0.84782609 0.86956522 0.84782609 0.84057971]|0.8391304347826086|0.8550724637681159|0.8536231884057971
2023-05-09 21:40:28|algorithm3|30noise|australian|0.1|{0, 1, 2, 4, 7, 11, 12, 13}|14|8|0.39710144927536234|392.8806080818176|[0.84057971 0.85507246 0.81884058 0.84782609 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.77536232 0.84782609 0.79710145 0.84057971 0.84057971]|0.8420289855072463|0.8550724637681159|0.8202898550724639
2023-05-09 21:42:59|algorithm3|30noise|australian|0.02|{1, 4, 7}|14|3|0.48840579710144927|219.34530377388|[0.83333333 0.86956522 0.84057971 0.86231884 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84057971 0.84782609 0.80434783 0.82608696 0.86231884]|0.8492753623188406|0.8550724637681159|0.8362318840579711
2023-05-09 21:46:33|algorithm3|30noise|australian|0.12000000000000001|{1, 3, 4, 5, 7, 10, 11}|14|7|0.391304347826087|365.52967405319214|[0.82608696 0.86956522 0.84782609 0.85507246 0.86956522]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.83333333 0.83333333 0.84057971 0.83333333 0.86956522]|0.8536231884057972|0.8550724637681159|0.8420289855072465
2023-05-09 21:48:00|algorithm3|30noise|australian|0.04|{1, 2, 4, 6, 7}|14|5|0.36666666666666664|300.7224614620209|[0.83333333 0.84782609 0.84057971 0.85507246 0.85507246]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.84057971 0.81884058 0.85507246 0.85507246]|0.846376811594203|0.8550724637681159|0.8362318840579711
2023-05-09 21:50:33|algorithm3|30noise|australian|0.02|{1, 4, 7}|14|3|0.48840579710144927|220.2867193222046|[0.83333333 0.86956522 0.84057971 0.86231884 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84057971 0.84782609 0.80434783 0.82608696 0.86231884]|0.8492753623188406|0.8550724637681159|0.8362318840579711
2023-05-09 21:52:37|algorithm3|30noise|australian|0.14|{1, 3, 4, 5, 7, 10, 11}|14|7|0.4115942028985507|364.04339504241943|[0.82608696 0.86956522 0.84782609 0.85507246 0.86956522]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.83333333 0.83333333 0.84057971 0.83333333 0.86231884]|0.8536231884057972|0.8550724637681159|0.8405797101449275
2023-05-09 21:53:02|algorithm3|30noise|australian|0.06|{1, 4, 7, 9, 12}|14|5|0.43768115942028984|302.2061128616333|[0.84782609 0.84057971 0.80434783 0.85507246 0.88405797]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.88405797 0.86231884 0.82608696 0.84057971]|0.846376811594203|0.8550724637681159|0.8449275362318842
2023-05-09 21:55:35|algorithm3|30noise|australian|0.04|{1, 2, 4, 6, 7}|14|5|0.36666666666666664|301.6404755115509|[0.83333333 0.84782609 0.84057971 0.85507246 0.85507246]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.84057971 0.81884058 0.85507246 0.85507246]|0.846376811594203|0.8550724637681159|0.8362318840579711
2023-05-09 21:56:27|algorithm3|30noise|australian|0.02|{1, 4, 7}|14|3|0.48840579710144927|219.11316180229187|[0.83333333 0.86956522 0.84057971 0.86231884 0.84057971]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84057971 0.84782609 0.80434783 0.82608696 0.86231884]|0.8492753623188406|0.8550724637681159|0.8362318840579711
2023-05-09 21:59:10|algorithm3|30noise|australian|0.16|{1, 3, 4, 5, 7, 10, 11, 12}|14|8|0.4217391304347826|392.39743161201477|[0.82608696 0.86956522 0.85507246 0.86231884 0.88405797]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.84782609 0.86231884 0.8115942  0.85507246]|0.8594202898550725|0.8550724637681159|0.8376811594202899
2023-05-09 21:59:12|algorithm3|30noise|australian|0.08|{1, 2, 4, 6, 7, 9, 10}|14|7|0.4289855072463768|370.1207790374756|[0.83333333 0.84057971 0.81884058 0.84057971 0.86231884]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.86231884 0.84782609 0.86956522 0.84782609 0.84782609]|0.8391304347826086|0.8550724637681159|0.8550724637681159
2023-05-09 22:00:42|algorithm3|30noise|australian|0.06|{1, 4, 7, 9, 12}|14|5|0.43768115942028984|306.8997778892517|[0.84782609 0.84057971 0.80434783 0.85507246 0.88405797]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.87681159 0.86231884 0.82608696 0.84057971]|0.846376811594203|0.8550724637681159|0.8434782608695652
2023-05-09 22:01:35|algorithm3|30noise|australian|0.04|{1, 2, 4, 6, 7}|14|5|0.36666666666666664|307.7794859409332|[0.83333333 0.84782609 0.84057971 0.85507246 0.85507246]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.84057971 0.81884058 0.85507246 0.86231884]|0.846376811594203|0.8550724637681159|0.8376811594202899
2023-05-09 22:05:52|algorithm3|30noise|australian|0.1|{0, 1, 2, 4, 7, 11, 12, 13}|14|8|0.39710144927536234|399.54391598701477|[0.84057971 0.85507246 0.81884058 0.84782609 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.77536232 0.85507246 0.79710145 0.84057971 0.84057971]|0.8420289855072463|0.8550724637681159|0.8217391304347826
2023-05-09 22:06:38|algorithm3|30noise|australian|0.18|{1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13}|14|11|0.4246376811594203|447.6033284664154|[0.83333333 0.86956522 0.85507246 0.86231884 0.85507246]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.83333333 0.81884058 0.83333333 0.81884058]|0.855072463768116|0.8550724637681159|0.8231884057971015
2023-05-09 22:06:42|algorithm3|30noise|australian|0.06|{1, 4, 7, 9, 12}|14|5|0.43768115942028984|306.56062626838684|[0.84782609 0.84057971 0.80434783 0.85507246 0.88405797]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.88405797 0.86231884 0.81884058 0.84057971]|0.846376811594203|0.8550724637681159|0.8434782608695652
2023-05-09 22:06:59|algorithm3|30noise|australian|0.08|{1, 2, 4, 6, 7, 9, 10}|14|7|0.4289855072463768|377.2942554950714|[0.83333333 0.84057971 0.81884058 0.84057971 0.86231884]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.86231884 0.84782609 0.86956522 0.84782609 0.84782609]|0.8391304347826086|0.8550724637681159|0.8550724637681159
2023-05-09 22:12:05|algorithm3|30noise|australian|0.12000000000000001|{1, 3, 4, 5, 7, 10, 11}|14|7|0.391304347826087|372.8670434951782|[0.82608696 0.86956522 0.84782609 0.85507246 0.86956522]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.83333333 0.83333333 0.81884058 0.83333333 0.86231884]|0.8536231884057972|0.8550724637681159|0.8362318840579711
2023-05-09 22:12:55|algorithm3|30noise|australian|0.08|{1, 2, 4, 6, 7, 9, 10}|14|7|0.4289855072463768|373.463760137558|[0.83333333 0.84057971 0.81884058 0.84057971 0.86231884]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.86231884 0.84782609 0.86956522 0.84782609 0.85507246]|0.8391304347826086|0.8550724637681159|0.8565217391304347
2023-05-09 22:13:44|algorithm3|30noise|australian|0.1|{0, 1, 2, 4, 7, 11, 12, 13}|14|8|0.39710144927536234|404.9059727191925|[0.84057971 0.85507246 0.81884058 0.84782609 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.7826087  0.84782609 0.8115942  0.84057971 0.84057971]|0.8420289855072463|0.8550724637681159|0.8246376811594203
2023-05-09 22:13:54|algorithm3|30noise|australian|0.19999999999999998|{0, 1, 3, 4, 5, 6, 7, 10, 11, 12}|14|10|0.38405797101449274|435.8776295185089|[0.81884058 0.84057971 0.83333333 0.86231884 0.85507246]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.81884058 0.83333333 0.86956522 0.86231884 0.85507246]|0.8420289855072465|0.8550724637681159|0.8478260869565218
2023-05-09 22:18:20|algorithm3|30noise|australian|0.14|{1, 3, 4, 5, 7, 10, 11}|14|7|0.4115942028985507|374.5350921154022|[0.82608696 0.86956522 0.84782609 0.85507246 0.86956522]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.83333333 0.83333333 0.81884058 0.83333333 0.86956522]|0.8536231884057972|0.8550724637681159|0.8376811594202899
2023-05-09 22:19:37|algorithm3|30noise|australian|0.1|{0, 1, 2, 4, 7, 11, 12, 13}|14|8|0.39710144927536234|401.84918308258057|[0.84057971 0.85507246 0.81884058 0.84782609 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.7826087  0.85507246 0.8115942  0.84057971 0.84057971]|0.8420289855072463|0.8550724637681159|0.8260869565217392
2023-05-09 22:19:54|algorithm3|30noise|australian|0.12000000000000001|{1, 3, 4, 5, 7, 10, 11}|14|7|0.391304347826087|369.5796899795532|[0.82608696 0.86956522 0.84782609 0.85507246 0.86956522]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84782609 0.83333333 0.84057971 0.83333333 0.86231884]|0.8536231884057972|0.8550724637681159|0.8434782608695652
2023-05-09 22:21:21|algorithm3|30noise|australian|0.21999999999999997|{0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12}|14|11|0.3681159420289855|447.7128255367279|[0.84057971 0.86231884 0.82608696 0.86231884 0.84782609]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.80434783 0.89130435 0.84057971 0.8115942  0.83333333]|0.8478260869565217|0.8550724637681159|0.8362318840579709
2023-05-09 22:25:02|algorithm3|30noise|australian|0.16|{1, 3, 4, 5, 7, 10, 11, 12}|14|8|0.4217391304347826|401.9349112510681|[0.82608696 0.86956522 0.85507246 0.86231884 0.88405797]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.8115942  0.84782609 0.86231884 0.8115942  0.85507246]|0.8594202898550725|0.8550724637681159|0.8376811594202899
2023-05-09 22:25:48|algorithm3|30noise|australian|0.12000000000000001|{1, 3, 4, 5, 7, 10, 11}|14|7|0.391304347826087|370.2551939487457|[0.82608696 0.86956522 0.84782609 0.85507246 0.86956522]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84057971 0.83333333 0.84782609 0.83333333 0.86956522]|0.8536231884057972|0.8550724637681159|0.844927536231884
2023-05-09 22:26:09|algorithm3|30noise|australian|0.14|{1, 3, 4, 5, 7, 10, 11}|14|7|0.4115942028985507|375.17326831817627|[0.82608696 0.86956522 0.84782609 0.85507246 0.86956522]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84782609 0.83333333 0.84782609 0.83333333 0.86231884]|0.8536231884057972|0.8550724637681159|0.8449275362318842
2023-05-09 22:28:39|algorithm3|30noise|australian|0.23999999999999996|{0, 1, 3, 4, 5, 7, 10, 11, 12, 13}|14|10|0.34782608695652173|436.945387840271|[0.82608696 0.84057971 0.83333333 0.86956522 0.86956522]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.81884058 0.83333333 0.86231884 0.83333333 0.84057971]|0.8478260869565217|0.8550724637681159|0.8376811594202899
2023-05-09 22:32:00|algorithm3|30noise|australian|0.14|{1, 3, 4, 5, 7, 10, 11}|14|7|0.4115942028985507|371.6971263885498|[0.82608696 0.86956522 0.84782609 0.85507246 0.86956522]|[0.83333333 0.86231884 0.84057971 0.88405797 0.85507246]|[0.84057971 0.83333333 0.84057971 0.83333333 0.86231884]|0.8536231884057972|0.8550724637681159|0.8420289855072465
