结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-11 09:04:38|algorithm3|ori|PimaIndiansDiabetes|0.02|{0, 4, 31}|34|3|0.6809116809116809|32.77174782752991|[0.81690141 0.92857143 0.87142857 0.87142857 0.84285714]|[0.78873239 0.78571429 0.95714286 0.9        0.82857143]|[0.81690141 0.94285714 0.9        0.85714286 0.82857143]|0.8662374245472837|0.8520321931589537|0.8690945674044265
2023-05-11 09:05:11|algorithm3|ori|PimaIndiansDiabetes|0.04|{4, 5, 15}|34|3|0.7492877492877493|32.554763078689575|[0.83098592 0.94285714 0.9        0.92857143 0.87142857]|[0.78873239 0.84285714 0.85714286 0.87142857 0.72857143]|[0.8028169  0.94285714 0.92857143 0.92857143 0.9       ]|0.8947686116700201|0.8177464788732394|0.9005633802816903
2023-05-11 09:05:43|algorithm3|ori|PimaIndiansDiabetes|0.06|{4, 5, 15}|34|3|0.8034188034188035|32.1257119178772|[0.83098592 0.94285714 0.9        0.92857143 0.87142857]|[0.78873239 0.84285714 0.85714286 0.87142857 0.72857143]|[0.8028169  0.94285714 0.92857143 0.92857143 0.9       ]|0.8947686116700201|0.8177464788732394|0.9005633802816903
2023-05-11 09:06:15|algorithm3|ori|PimaIndiansDiabetes|0.08|{0, 4, 30}|34|3|0.7749287749287749|31.90561842918396|[0.78873239 0.91428571 0.85714286 0.9        0.77142857]|[0.78873239 0.78571429 0.95714286 0.9        0.82857143]|[0.74647887 0.95714286 0.92857143 0.87142857 0.84285714]|0.8463179074446681|0.8520321931589537|0.8692957746478873
2023-05-11 09:06:47|algorithm3|ori|PimaIndiansDiabetes|0.1|{4, 5, 30}|34|3|0.8062678062678063|31.875774383544922|[0.85915493 0.94285714 0.85714286 0.94285714 0.82857143]|[0.81690141 0.85714286 0.87142857 0.87142857 0.72857143]|[0.81690141 0.94285714 0.94285714 0.91428571 0.9       ]|0.8861167002012073|0.8290945674044264|0.9033802816901408
2023-05-11 09:07:19|algorithm3|ori|PimaIndiansDiabetes|0.12000000000000001|{28, 4, 21}|34|3|0.792022792022792|31.928427934646606|[0.90140845 0.82857143 0.88571429 0.81428571 0.84285714]|[0.81690141 0.87142857 0.87142857 0.84285714 0.71428571]|[0.8028169  0.94285714 0.81428571 0.74285714 0.91428571]|0.8545674044265592|0.8233802816901408|0.8434205231388331
2023-05-11 09:07:51|algorithm3|ori|PimaIndiansDiabetes|0.14|{32, 4, 21}|34|3|0.811965811965812|32.063366651535034|[0.78873239 0.85714286 0.92857143 0.84285714 0.81428571]|[0.81690141 0.82857143 0.85714286 0.84285714 0.72857143]|[0.8028169  0.94285714 0.92857143 0.75714286 0.91428571]|0.8463179074446681|0.8148088531187122|0.8691348088531188
2023-05-11 09:08:24|algorithm3|ori|PimaIndiansDiabetes|0.16|{2, 3, 30}|34|3|0.8290598290598291|33.713149070739746|[0.84507042 0.88571429 0.9        0.88571429 0.82857143]|[0.78873239 0.81428571 0.87142857 0.82857143 0.7       ]|[0.88732394 0.82857143 0.94285714 0.92857143 0.82857143]|0.8690140845070422|0.8006036217303822|0.8831790744466801
2023-05-11 09:09:13|algorithm3|ori|PimaIndiansDiabetes|0.18|{2, 3, 4, 20, 26}|34|5|0.7521367521367521|48.78408145904541|[0.8028169  0.91428571 0.92857143 0.87142857 0.81428571]|[0.81690141 0.82857143 0.91428571 0.87142857 0.74285714]|[0.81690141 0.94285714 0.94285714 0.91428571 0.82857143]|0.8662776659959759|0.8348088531187123|0.8890945674044266
2023-05-11 09:09:53|algorithm3|ori|PimaIndiansDiabetes|0.19999999999999998|{0, 2, 26, 4}|34|4|0.7606837606837606|39.93218660354614|[0.88732394 0.91428571 0.91428571 0.9        0.82857143]|[0.78873239 0.9        0.92857143 0.91428571 0.81428571]|[0.77464789 0.95714286 0.9        0.91428571 0.81428571]|0.8888933601609658|0.8691750503018107|0.8720724346076458
