结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 08:11:33|algorithm4|10noise|plrx|0.02|{0, 3, 4}|12|3|1.0|0.055999040603637695|[0.7027027  0.72972973 0.72222222 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.51351351 0.7027027  0.55555556 0.66666667 0.69444444]|0.7198198198198199|0.7144144144144144|0.6265765765765765
2023-05-09 08:11:33|algorithm4|10noise|plrx|0.04|{0, 2, 7}|12|3|1.0|0.07300066947937012|[0.62162162 0.67567568 0.66666667 0.72222222 0.66666667]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.62162162 0.64864865 0.69444444 0.66666667 0.63888889]|0.6705705705705706|0.7144144144144144|0.654054054054054
2023-05-09 08:11:33|algorithm4|10noise|plrx|0.06|{1, 2, 6, 7}|12|4|1.0|0.0820000171661377|[0.64864865 0.64864865 0.69444444 0.72222222 0.75      ]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.64864865 0.45945946 0.47222222 0.66666667 0.63888889]|0.6927927927927928|0.7144144144144144|0.5771771771771771
2023-05-09 08:11:33|algorithm4|10noise|plrx|0.08|{0, 1, 3, 4, 9}|12|5|1.0|0.10500025749206543|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.59459459 0.62162162 0.36111111 0.61111111 0.63888889]|0.7144144144144144|0.7144144144144144|0.5654654654654655
2023-05-09 08:11:33|algorithm4|10noise|plrx|0.1|{0, 3, 4, 7, 9}|12|5|1.0|0.11400103569030762|[0.64864865 0.72972973 0.66666667 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.56756757 0.59459459 0.5        0.72222222 0.61111111]|0.6978978978978979|0.7144144144144144|0.5990990990990992
2023-05-09 08:11:33|algorithm4|10noise|plrx|0.12000000000000001|{0, 3, 4, 6, 9, 11}|12|6|1.0|0.23600006103515625|[0.7027027  0.7027027  0.69444444 0.72222222 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.56756757 0.62162162 0.52777778 0.72222222 0.69444444]|0.7088588588588589|0.7144144144144144|0.6267267267267267
2023-05-09 08:11:34|algorithm4|10noise|plrx|0.14|{3, 4, 6, 7, 9, 11}|12|6|1.0|0.13299942016601562|[0.67567568 0.7027027  0.66666667 0.63888889 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.64864865 0.67567568 0.5        0.72222222 0.66666667]|0.6812312312312312|0.7144144144144144|0.6426426426426426
2023-05-09 08:11:34|algorithm4|10noise|plrx|0.16|{0, 3, 4, 5, 7, 9, 11}|12|7|1.0|0.14899945259094238|[0.64864865 0.7027027  0.66666667 0.69444444 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.59459459 0.67567568 0.58333333 0.72222222 0.69444444]|0.6869369369369369|0.7144144144144144|0.654054054054054
2023-05-09 08:11:34|algorithm4|10noise|plrx|0.18|{0, 2, 5, 6, 7, 10, 11}|12|7|0.9945054945054945|0.15599894523620605|[0.67567568 0.7027027  0.72222222 0.66666667 0.69444444]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.59459459 0.54054054 0.52777778 0.66666667 0.61111111]|0.6923423423423424|0.7144144144144144|0.5881381381381381
2023-05-09 08:11:34|algorithm4|10noise|plrx|0.19999999999999998|{0, 1, 2, 3, 4, 6, 7, 8, 9, 10}|12|10|1.0|0.18799877166748047|[0.67567568 0.7027027  0.69444444 0.69444444 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.59459459 0.62162162 0.58333333 0.66666667 0.61111111]|0.6978978978978979|0.7144144144144144|0.6154654654654654
2023-05-09 08:11:34|algorithm4|10noise|plrx|0.21999999999999997|{0, 1, 2, 3, 4, 6, 7, 8, 9, 11}|12|10|1.0|0.2090005874633789|[0.67567568 0.7027027  0.72222222 0.61111111 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.64864865 0.62162162 0.5        0.66666667 0.69444444]|0.6867867867867868|0.7144144144144144|0.6262762762762761
2023-05-09 08:11:35|algorithm4|10noise|plrx|0.23999999999999996|{0, 1, 2, 3, 4, 6, 7, 8, 10, 11}|12|10|0.989010989010989|0.20499968528747559|[0.67567568 0.7027027  0.72222222 0.61111111 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.64864865 0.62162162 0.47222222 0.66666667 0.69444444]|0.6867867867867868|0.7144144144144144|0.6207207207207206
2023-05-09 08:11:35|algorithm4|10noise|plrx|0.25999999999999995|{0, 1, 2, 3, 4, 5, 7, 8, 9, 11}|12|10|0.9560439560439561|0.2129993438720703|[0.64864865 0.7027027  0.69444444 0.63888889 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.62162162 0.67567568 0.52777778 0.66666667 0.69444444]|0.6813813813813814|0.7144144144144144|0.6372372372372371
2023-05-09 08:11:35|algorithm4|10noise|plrx|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.9725274725274725|0.23299932479858398|[0.67567568 0.7027027  0.69444444 0.61111111 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.54054054 0.62162162 0.5        0.66666667 0.69444444]|0.6812312312312312|0.7144144144144144|0.6046546546546546
2023-05-09 08:11:35|algorithm4|10noise|plrx|0.3|{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}|12|12|0.9120879120879121|0.24699926376342773|[0.67567568 0.7027027  0.69444444 0.61111111 0.72222222]|[0.7027027  0.7027027  0.72222222 0.72222222 0.72222222]|[0.59459459 0.62162162 0.5        0.66666667 0.69444444]|0.6812312312312312|0.7144144144144144|0.6154654654654654
