结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 08:48:55|algorithm4|10noise|waveform|0.02|{0, 9, 4, 14}|21|4|1.0|48.66697025299072|[0.693 0.704 0.714 0.707 0.684]|[0.732 0.726 0.753 0.726 0.722]|[0.704 0.703 0.72  0.704 0.693]|0.7003999999999999|0.7318|0.7047999999999999
2023-05-09 08:50:11|algorithm4|10noise|waveform|0.04|{0, 4, 9, 11, 14}|21|5|1.0|75.02895474433899|[0.734 0.74  0.744 0.735 0.732]|[0.756 0.767 0.777 0.768 0.746]|[0.734 0.748 0.748 0.724 0.715]|0.7369999999999999|0.7628000000000001|0.7337999999999999
2023-05-09 08:52:12|algorithm4|10noise|waveform|0.06|{0, 1, 4, 9, 10, 14}|21|6|1.0|120.443932056427|[0.727 0.737 0.751 0.731 0.73 ]|[0.788 0.766 0.786 0.767 0.76 ]|[0.75  0.718 0.743 0.724 0.718]|0.7352|0.7734|0.7305999999999999
2023-05-09 08:54:40|algorithm4|10noise|waveform|0.08|{0, 1, 3, 4, 9, 11, 14}|21|7|1.0|146.3929088115692|[0.733 0.736 0.756 0.735 0.736]|[0.769 0.786 0.788 0.767 0.772]|[0.729 0.753 0.74  0.724 0.731]|0.7392|0.7764|0.7353999999999999
2023-05-09 08:57:35|algorithm4|10noise|waveform|0.1|{0, 1, 19, 4, 5, 8, 9, 10}|21|8|1.0|173.71540665626526|[0.756 0.767 0.778 0.767 0.764]|[0.79  0.795 0.809 0.788 0.777]|[0.736 0.73  0.751 0.753 0.723]|0.7664|0.7918000000000001|0.7386
2023-05-09 09:01:08|algorithm4|10noise|waveform|0.12000000000000001|{0, 1, 2, 19, 4, 9, 14, 15}|21|8|1.0|211.65138173103333|[0.714 0.713 0.715 0.722 0.71 ]|[0.758 0.743 0.751 0.769 0.741]|[0.712 0.694 0.726 0.728 0.722]|0.7148|0.7524|0.7163999999999999
2023-05-09 09:05:38|algorithm4|10noise|waveform|0.14|{0, 1, 2, 3, 4, 5, 10, 11, 14, 15}|21|10|1.0|268.36183619499207|[0.772 0.793 0.778 0.761 0.765]|[0.81  0.804 0.819 0.782 0.811]|[0.761 0.765 0.747 0.756 0.745]|0.7738|0.8051999999999999|0.7548
2023-05-09 09:10:52|algorithm4|10noise|waveform|0.16|{0, 1, 2, 3, 5, 6, 9, 11, 15, 17, 18}|21|11|1.0|313.3727476596832|[0.743 0.775 0.773 0.765 0.761]|[0.781 0.804 0.804 0.803 0.801]|[0.715 0.735 0.722 0.747 0.741]|0.7634000000000001|0.7986000000000001|0.732
2023-05-09 09:16:48|algorithm4|10noise|waveform|0.18|{0, 1, 4, 9, 11, 15, 16, 17, 18, 19, 20}|21|11|1.0|354.0188789367676|[0.727 0.761 0.763 0.75  0.763]|[0.778 0.791 0.783 0.795 0.778]|[0.697 0.729 0.729 0.757 0.717]|0.7527999999999999|0.7849999999999999|0.7258
2023-05-09 09:23:23|algorithm4|10noise|waveform|0.19999999999999998|{0, 1, 3, 4, 9, 10, 11, 14, 16, 17, 18, 20}|21|12|1.0|394.67240381240845|[0.77  0.779 0.803 0.787 0.783]|[0.82  0.804 0.83  0.807 0.819]|[0.753 0.73  0.768 0.729 0.741]|0.7844|0.8160000000000001|0.7442000000000001
