结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-14 15:06:49|algorithm4|1fold|BreastCancer|0.02|{0, 1, 2, 5}|9|4|1.0|0.6377124786376953|[0.95       0.98571429 0.92857143 0.93571429 0.98561151]|[0.95714286 0.97857143 0.93571429 0.95       0.97841727]|[0.94285714 0.95       0.92857143 0.94285714 0.97122302]|0.9571223021582733|0.9599691675231243|0.9471017471736897
2023-05-14 15:06:50|algorithm4|1fold|BreastCancer|0.04|{0, 1, 2, 5}|9|4|1.0|0.692934513092041|[0.95       0.98571429 0.92857143 0.93571429 0.98561151]|[0.95714286 0.97857143 0.93571429 0.95       0.97841727]|[0.95       0.96428571 0.92857143 0.96428571 0.97122302]|0.9571223021582733|0.9599691675231243|0.9556731757451182
2023-05-14 15:06:50|algorithm4|1fold|BreastCancer|0.06|{0, 1, 2, 5}|9|4|1.0|0.7409064769744873|[0.95       0.98571429 0.92857143 0.93571429 0.98561151]|[0.95714286 0.97857143 0.93571429 0.95       0.97841727]|[0.95       0.95       0.92857143 0.96428571 0.97122302]|0.9571223021582733|0.9599691675231243|0.9528160328879753
2023-05-14 15:06:51|algorithm4|1fold|BreastCancer|0.08|{0, 1, 2, 5}|9|4|1.0|0.7211551666259766|[0.95       0.98571429 0.92857143 0.93571429 0.98561151]|[0.95714286 0.97857143 0.93571429 0.95       0.97841727]|[0.94285714 0.95714286 0.92857143 0.94285714 0.97122302]|0.9571223021582733|0.9599691675231243|0.9485303186022611
2023-05-14 15:06:52|algorithm4|1fold|BreastCancer|0.1|{0, 1, 2, 5}|9|4|1.0|0.7141313552856445|[0.95       0.98571429 0.92857143 0.93571429 0.98561151]|[0.95714286 0.97857143 0.93571429 0.95       0.97841727]|[0.94285714 0.95714286 0.90714286 0.94285714 0.97122302]|0.9571223021582733|0.9599691675231243|0.9442446043165468
2023-05-14 15:06:53|algorithm4|1fold|BreastCancer|0.12000000000000001|{0, 1, 5, 7}|9|4|1.0|0.8479626178741455|[0.95714286 0.97142857 0.93571429 0.93571429 0.98561151]|[0.97142857 0.97857143 0.94285714 0.95       0.98561151]|[0.93571429 0.95       0.93571429 0.95       0.95683453]|0.9571223021582733|0.9656937307297019|0.9456526207605345
2023-05-14 15:06:54|algorithm4|1fold|BreastCancer|0.14|{0, 1, 2, 3, 5}|9|5|1.0|0.9287164211273193|[0.96428571 0.97142857 0.91428571 0.95       0.97841727]|[0.96428571 0.97142857 0.94285714 0.95714286 0.97122302]|[0.95       0.95714286 0.91428571 0.97142857 0.97841727]|0.9556834532374101|0.9613874614594039|0.9542548818088387
2023-05-14 15:06:55|algorithm4|1fold|BreastCancer|0.16|{0, 1, 4, 5, 6}|9|5|1.0|0.9476876258850098|[0.96428571 0.98571429 0.94285714 0.95       0.97841727]|[0.96428571 0.97857143 0.94285714 0.95714286 0.97122302]|[0.94285714 0.93571429 0.9        0.95       0.97122302]|0.9642548818088388|0.9628160328879753|0.9399588900308326
2023-05-14 15:06:56|algorithm4|1fold|BreastCancer|0.18|{0, 1, 3, 5, 7}|9|5|1.0|0.8998119831085205|[0.97142857 0.96428571 0.93571429 0.94285714 0.98561151]|[0.97142857 0.97857143 0.94285714 0.95714286 0.98561151]|[0.93571429 0.94285714 0.92142857 0.95714286 0.97122302]|0.9599794450154162|0.9671223021582733|0.9456731757451182
2023-05-14 15:06:57|algorithm4|1fold|BreastCancer|0.19999999999999998|{0, 1, 3, 5, 7}|9|5|1.0|0.8992829322814941|[0.97142857 0.96428571 0.93571429 0.94285714 0.98561151]|[0.97142857 0.97857143 0.94285714 0.95714286 0.98561151]|[0.93571429 0.94285714 0.92142857 0.95714286 0.97122302]|0.9599794450154162|0.9671223021582733|0.9456731757451182
