结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 08:36:34|algorithm4|20noise|diamonds_filter|0.02|{0, 1, 2, 3}|4|4|1.0|0.17200136184692383|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-09 08:36:34|algorithm4|20noise|diamonds_filter|0.04|{0, 1, 2, 3}|4|4|0.988313856427379|0.18400001525878906|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-09 08:36:34|algorithm4|20noise|diamonds_filter|0.06|{0, 1, 2, 3}|4|4|0.9632721202003339|0.19597220420837402|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-09 08:36:34|algorithm4|20noise|diamonds_filter|0.08|{0, 1, 2, 3}|4|4|0.9215358931552587|0.2240006923675537|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-09 08:36:35|algorithm4|20noise|diamonds_filter|0.1|{0, 1, 2, 3}|4|4|0.8363939899833055|0.2599983215332031|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-09 08:36:35|algorithm4|20noise|diamonds_filter|0.12000000000000001|{0, 1, 2, 3}|4|4|0.7161936560934892|0.28799891471862793|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-09 08:36:35|algorithm4|20noise|diamonds_filter|0.14|{0, 1, 2, 3}|4|4|0.5993322203672788|0.32793116569519043|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-09 08:36:36|algorithm4|20noise|diamonds_filter|0.16|{0, 1, 2, 3}|4|4|0.48580968280467446|0.37000012397766113|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-09 08:36:36|algorithm4|20noise|diamonds_filter|0.18|{0, 1, 2, 3}|4|4|0.3555926544240401|0.39799952507019043|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-09 08:36:37|algorithm4|20noise|diamonds_filter|0.19999999999999998|{0, 1, 2, 3}|4|4|0.2904841402337229|0.44299983978271484|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-09 08:36:37|algorithm4|20noise|diamonds_filter|0.21999999999999997|{0, 1, 2, 3}|4|4|0.2287145242070117|0.4679994583129883|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-09 08:36:38|algorithm4|20noise|diamonds_filter|0.23999999999999996|{0, 1, 2, 3}|4|4|0.18030050083472454|0.4979979991912842|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-09 08:36:38|algorithm4|20noise|diamonds_filter|0.25999999999999995|{0, 1, 2, 3}|4|4|0.1335559265442404|0.5169992446899414|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-09 08:36:39|algorithm4|20noise|diamonds_filter|0.27999999999999997|{0, 1, 2, 3}|4|4|0.09682804674457429|0.5579996109008789|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-09 08:36:40|algorithm4|20noise|diamonds_filter|0.3|{0, 1, 2, 3}|4|4|0.0667779632721202|0.6249978542327881|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-09 08:36:40|algorithm4|20noise|diamonds_filter|0.32|{0, 1, 2, 3}|4|4|0.05509181969949917|0.6290013790130615|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-09 08:36:41|algorithm4|20noise|diamonds_filter|0.34|{0, 1, 2, 3}|4|4|0.038397328881469114|0.671999454498291|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-09 08:36:42|algorithm4|20noise|diamonds_filter|0.36000000000000004|{0, 1, 2, 3}|4|4|0.035058430717863104|0.6869995594024658|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-09 08:36:42|algorithm4|20noise|diamonds_filter|0.38000000000000006|{0, 1, 2, 3}|4|4|0.02337228714524207|0.6849994659423828|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-09 08:36:43|algorithm4|20noise|diamonds_filter|0.4000000000000001|{0, 1, 2, 3}|4|4|0.018363939899833055|0.6800010204315186|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
