结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 08:15:44|algorithm4|20noise|movement|0.02|{1, 58}|90|2|1.0|4.514995574951172|[0.26388889 0.29166667 0.26388889 0.29166667 0.23611111]|[0.22222222 0.22222222 0.20833333 0.23611111 0.16666667]|[0.19444444 0.18055556 0.27777778 0.19444444 0.20833333]|0.2694444444444445|0.2111111111111111|0.2111111111111111
2023-05-09 08:15:51|algorithm4|20noise|movement|0.04|{56, 0, 53}|90|3|1.0|6.079926252365112|[0.40277778 0.48611111 0.48611111 0.34722222 0.20833333]|[0.375      0.27777778 0.40277778 0.34722222 0.30555556]|[0.40277778 0.33333333 0.34722222 0.29166667 0.27777778]|0.3861111111111111|0.3416666666666667|0.3305555555555556
2023-05-09 08:15:57|algorithm4|20noise|movement|0.06|{16, 19, 53}|90|3|1.0|6.471996784210205|[0.40277778 0.36111111 0.34722222 0.30555556 0.26388889]|[0.30555556 0.25       0.29166667 0.43055556 0.34722222]|[0.38888889 0.30555556 0.40277778 0.20833333 0.375     ]|0.33611111111111114|0.325|0.33611111111111114
2023-05-09 08:16:05|algorithm4|20noise|movement|0.08|{0, 57, 22, 15}|90|4|1.0|8.043918132781982|[0.52777778 0.43055556 0.55555556 0.36111111 0.41666667]|[0.44444444 0.25       0.43055556 0.47222222 0.375     ]|[0.33333333 0.31944444 0.41666667 0.30555556 0.22222222]|0.4583333333333333|0.3944444444444445|0.3194444444444445
2023-05-09 08:16:14|algorithm4|20noise|movement|0.1|{0, 57, 44, 23}|90|4|1.0|8.312121868133545|[0.45833333 0.38888889 0.56944444 0.43055556 0.38888889]|[0.45833333 0.27777778 0.40277778 0.44444444 0.34722222]|[0.375      0.22222222 0.43055556 0.34722222 0.13888889]|0.44722222222222224|0.38611111111111107|0.30277777777777776
2023-05-09 08:16:24|algorithm4|20noise|movement|0.12000000000000001|{0, 1, 66, 23, 59}|90|5|1.0|10.170011758804321|[0.48611111 0.43055556 0.54166667 0.40277778 0.44444444]|[0.5        0.41666667 0.5        0.41666667 0.5       ]|[0.41666667 0.38888889 0.45833333 0.375      0.26388889]|0.4611111111111111|0.4666666666666667|0.38055555555555554
2023-05-09 08:16:35|algorithm4|20noise|movement|0.14|{0, 81, 28, 13, 46}|90|5|1.0|10.855995893478394|[0.52777778 0.43055556 0.51388889 0.44444444 0.45833333]|[0.45833333 0.31944444 0.41666667 0.48611111 0.41666667]|[0.29166667 0.36111111 0.40277778 0.33333333 0.30555556]|0.475|0.41944444444444445|0.3388888888888889
2023-05-09 08:16:47|algorithm4|20noise|movement|0.16|{0, 68, 77, 54, 73, 13}|90|6|1.0|12.411989450454712|[0.375      0.47222222 0.55555556 0.43055556 0.48611111]|[0.375      0.33333333 0.40277778 0.48611111 0.43055556]|[0.375      0.43055556 0.375      0.31944444 0.29166667]|0.46388888888888885|0.40555555555555556|0.35833333333333334
2023-05-09 08:17:03|algorithm4|20noise|movement|0.18|{1, 10, 36, 9, 88, 73, 58, 25}|90|8|1.0|15.774953603744507|[0.45833333 0.43055556 0.54166667 0.45833333 0.52777778]|[0.47222222 0.51388889 0.52777778 0.56944444 0.47222222]|[0.375      0.31944444 0.41666667 0.34722222 0.33333333]|0.4833333333333333|0.5111111111111111|0.35833333333333334
2023-05-09 08:17:19|algorithm4|20noise|movement|0.19999999999999998|{83, 23, 40, 25, 26, 88, 13, 59}|90|8|1.0|15.94108510017395|[0.52777778 0.51388889 0.59722222 0.5        0.55555556]|[0.51388889 0.5        0.59722222 0.55555556 0.51388889]|[0.48611111 0.27777778 0.38888889 0.48611111 0.375     ]|0.538888888888889|0.5361111111111112|0.4027777777777778
