结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 08:21:07|algorithm4|20noise|vote|0.02|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.1989991664886475|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.91954023 0.90804598 0.96551724 0.97701149 0.91954023]|0.9057471264367816|0.9563218390804596|0.9379310344827585
2023-05-09 08:21:09|algorithm4|20noise|vote|0.04|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.2489960193634033|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.91954023 0.90804598 0.96551724 0.96551724 0.91954023]|0.9057471264367816|0.9563218390804596|0.9356321839080459
2023-05-09 08:21:11|algorithm4|20noise|vote|0.06|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.2429749965667725|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.90804598 0.98850575 0.96551724 0.91954023]|0.9057471264367816|0.9563218390804596|0.9517241379310345
2023-05-09 08:21:13|algorithm4|20noise|vote|0.08|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.1580052375793457|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.95402299 0.90804598 0.96551724 0.96551724 0.91954023]|0.9057471264367816|0.9563218390804596|0.9425287356321839
2023-05-09 08:21:16|algorithm4|20noise|vote|0.1|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.2150003910064697|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.95402299 0.90804598 0.96551724 0.96551724 0.91954023]|0.9057471264367816|0.9563218390804596|0.9425287356321839
2023-05-09 08:21:18|algorithm4|20noise|vote|0.12000000000000001|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.2229325771331787|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.90804598 0.97701149 0.96551724 0.91954023]|0.9057471264367816|0.9563218390804596|0.9494252873563218
2023-05-09 08:21:20|algorithm4|20noise|vote|0.14|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.194922924041748|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.93103448 0.90804598 0.98850575 0.97701149 0.91954023]|0.9057471264367816|0.9563218390804596|0.9448275862068964
2023-05-09 08:21:22|algorithm4|20noise|vote|0.16|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.2190165519714355|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.95402299 0.90804598 0.97701149 0.95402299 0.91954023]|0.9057471264367816|0.9563218390804596|0.9425287356321839
2023-05-09 08:21:25|algorithm4|20noise|vote|0.18|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.187002658843994|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.90804598 0.96551724 0.96551724 0.91954023]|0.9057471264367816|0.9563218390804596|0.9471264367816092
2023-05-09 08:21:27|algorithm4|20noise|vote|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.209002733230591|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.93103448 0.90804598 0.96551724 0.96551724 0.91954023]|0.9057471264367816|0.9563218390804596|0.9379310344827587
2023-05-09 08:21:29|algorithm4|20noise|vote|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.1589629650115967|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.91954023 0.90804598 0.97701149 0.96551724 0.91954023]|0.9057471264367816|0.9563218390804596|0.9379310344827585
2023-05-09 08:21:31|algorithm4|20noise|vote|0.23999999999999996|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.1869921684265137|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.90804598 0.98850575 0.95402299 0.91954023]|0.9057471264367816|0.9563218390804596|0.9494252873563218
2023-05-09 08:21:33|algorithm4|20noise|vote|0.25999999999999995|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.1799933910369873|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.93103448 0.90804598 0.96551724 0.96551724 0.91954023]|0.9057471264367816|0.9563218390804596|0.9379310344827587
2023-05-09 08:21:36|algorithm4|20noise|vote|0.27999999999999997|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.235996961593628|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.95402299 0.90804598 0.97701149 0.96551724 0.91954023]|0.9057471264367816|0.9563218390804596|0.9448275862068967
2023-05-09 08:21:38|algorithm4|20noise|vote|0.3|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.2029831409454346|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.93103448 0.90804598 0.96551724 0.96551724 0.91954023]|0.9057471264367816|0.9563218390804596|0.9379310344827587
2023-05-09 08:21:40|algorithm4|20noise|vote|0.32|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.1710777282714844|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.95402299 0.90804598 0.97701149 0.96551724 0.91954023]|0.9057471264367816|0.9563218390804596|0.9448275862068967
2023-05-09 08:21:42|algorithm4|20noise|vote|0.34|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.187086582183838|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.91954023 0.90804598 0.97701149 0.97701149 0.91954023]|0.9057471264367816|0.9563218390804596|0.9402298850574711
2023-05-09 08:21:45|algorithm4|20noise|vote|0.36000000000000004|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.085991144180298|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.90804598 0.96551724 0.96551724 0.91954023]|0.9057471264367816|0.9563218390804596|0.9448275862068967
2023-05-09 08:21:47|algorithm4|20noise|vote|0.38000000000000006|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.1469976902008057|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.94252874 0.90804598 0.97701149 0.95402299 0.91954023]|0.9057471264367816|0.9563218390804596|0.9402298850574713
2023-05-09 08:21:49|algorithm4|20noise|vote|0.4000000000000001|{0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15}|16|15|0.8597701149425288|2.1108977794647217|[0.90804598 0.86206897 0.91954023 0.90804598 0.93103448]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.91954023 0.90804598 0.96551724 0.97701149 0.91954023]|0.9057471264367816|0.9563218390804596|0.9379310344827585
