结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-14 14:53:44|algorithm4|2fold|GlaucomaM|0.02|{0, 42, 59}|62|3|1.0|0.3028547763824463|[0.75       0.82051282 0.82051282 0.87179487 0.84615385]|[0.8        0.71794872 0.74358974 0.84615385 0.8974359 ]|[0.8        0.58974359 0.74358974 0.79487179 0.71794872]|0.8217948717948718|0.801025641025641|0.7292307692307692
2023-05-14 14:53:44|algorithm4|2fold|GlaucomaM|0.04|{2, 52, 21}|62|3|1.0|0.33092761039733887|[0.8        0.71794872 0.76923077 0.76923077 0.79487179]|[0.875      0.71794872 0.76923077 0.82051282 0.84615385]|[0.8        0.66666667 0.74358974 0.69230769 0.69230769]|0.7702564102564102|0.8057692307692307|0.7189743589743591
2023-05-14 14:53:45|algorithm4|2fold|GlaucomaM|0.06|{0, 52, 31, 23}|62|4|1.0|0.45125675201416016|[0.875      0.69230769 0.79487179 0.82051282 0.74358974]|[0.825      0.69230769 0.71794872 0.74358974 0.82051282]|[0.8        0.58974359 0.74358974 0.66666667 0.66666667]|0.7852564102564102|0.7598717948717949|0.6933333333333332
2023-05-14 14:53:45|algorithm4|2fold|GlaucomaM|0.08|{16, 49, 52, 28}|62|4|1.0|0.46082258224487305|[0.85       0.61538462 0.79487179 0.76923077 0.79487179]|[0.8        0.64102564 0.84615385 0.79487179 0.84615385]|[0.7        0.61538462 0.76923077 0.74358974 0.79487179]|0.7648717948717948|0.7856410256410257|0.7246153846153847
2023-05-14 14:53:46|algorithm4|2fold|GlaucomaM|0.1|{0, 52, 23, 8, 46}|62|5|1.0|0.5704975128173828|[0.825      0.76923077 0.82051282 0.82051282 0.87179487]|[0.825      0.76923077 0.82051282 0.82051282 0.87179487]|[0.7        0.74358974 0.79487179 0.79487179 0.76923077]|0.8214102564102564|0.8214102564102564|0.7605128205128204
2023-05-14 14:53:47|algorithm4|2fold|GlaucomaM|0.12000000000000001|{17, 52, 23, 57, 46}|62|5|1.0|0.6912031173706055|[0.85       0.79487179 0.84615385 0.74358974 0.87179487]|[0.825      0.74358974 0.84615385 0.79487179 0.87179487]|[0.75       0.82051282 0.76923077 0.82051282 0.82051282]|0.8212820512820513|0.8162820512820513|0.7961538461538462
2023-05-14 14:53:47|algorithm4|2fold|GlaucomaM|0.14|{16, 18, 52, 8, 46, 31}|62|6|1.0|0.7289001941680908|[0.85       0.71794872 0.84615385 0.84615385 0.87179487]|[0.875      0.74358974 0.87179487 0.84615385 0.87179487]|[0.775      0.71794872 0.87179487 0.79487179 0.82051282]|0.8264102564102564|0.8416666666666668|0.796025641025641
2023-05-14 14:53:48|algorithm4|2fold|GlaucomaM|0.16|{52, 21, 9, 30, 57, 26, 28, 46}|62|8|1.0|0.8820919990539551|[0.85       0.71794872 0.84615385 0.84615385 0.87179487]|[0.825      0.69230769 0.84615385 0.76923077 0.8974359 ]|[0.775      0.64102564 0.79487179 0.76923077 0.79487179]|0.8264102564102564|0.8060256410256411|0.755
2023-05-14 14:53:49|algorithm4|2fold|GlaucomaM|0.18|{17, 50, 18, 52, 21, 55, 57}|62|7|1.0|0.8885772228240967|[0.825      0.66666667 0.79487179 0.74358974 0.71794872]|[0.875      0.69230769 0.84615385 0.79487179 0.84615385]|[0.75       0.56410256 0.69230769 0.74358974 0.74358974]|0.7496153846153846|0.8108974358974358|0.6987179487179487
2023-05-14 14:53:50|algorithm4|2fold|GlaucomaM|0.19999999999999998|{0, 49, 17, 52, 21, 23, 55, 9}|62|8|1.0|1.045797348022461|[0.825      0.71794872 0.79487179 0.74358974 0.76923077]|[0.825      0.74358974 0.79487179 0.82051282 0.82051282]|[0.75       0.69230769 0.76923077 0.74358974 0.74358974]|0.770128205128205|0.8008974358974358|0.7397435897435898
