结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 08:21:45|algorithm4|30noise|musk|0.02|{32, 10, 5, 73, 74, 57}|166|6|1.0|13.45306134223938|[0.53125    0.63157895 0.64210526 0.77894737 0.69473684]|[0.51041667 0.51578947 0.56842105 0.56842105 0.55789474]|[0.61458333 0.52631579 0.57894737 0.58947368 0.65263158]|0.6557236842105263|0.5441885964912281|0.592390350877193
2023-05-09 08:22:02|algorithm4|30noise|musk|0.04|{32, 83, 21, 87, 154, 11, 44}|166|7|1.0|17.776013374328613|[0.59375    0.57894737 0.68421053 0.76842105 0.67368421]|[0.625      0.57894737 0.57894737 0.63157895 0.6       ]|[0.47916667 0.45263158 0.53684211 0.66315789 0.58947368]|0.6598026315789473|0.6028947368421054|0.5442543859649123
2023-05-09 08:22:22|algorithm4|30noise|musk|0.06|{33, 34, 83, 5, 27, 31, 46, 47}|166|8|1.0|19.5120050907135|[0.5        0.58947368 0.66315789 0.65263158 0.62105263]|[0.4375     0.67368421 0.6        0.64210526 0.66315789]|[0.59375    0.63157895 0.54736842 0.48421053 0.61052632]|0.605263157894737|0.6032894736842105|0.5734868421052632
2023-05-09 08:22:45|algorithm4|30noise|musk|0.08|{32, 1, 3, 5, 91, 44, 47, 87, 27}|166|9|1.0|22.99299192428589|[0.55208333 0.64210526 0.70526316 0.69473684 0.67368421]|[0.5        0.54736842 0.63157895 0.65263158 0.57894737]|[0.59375    0.66315789 0.72631579 0.6        0.68421053]|0.6535745614035087|0.5821052631578947|0.6534868421052631
2023-05-09 08:23:11|algorithm4|30noise|musk|0.1|{96, 3, 137, 12, 17, 50, 154, 27, 157}|166|9|1.0|25.74198627471924|[0.59375    0.66315789 0.73684211 0.70526316 0.64210526]|[0.57291667 0.56842105 0.66315789 0.71578947 0.65263158]|[0.59375    0.50526316 0.61052632 0.61052632 0.69473684]|0.6682236842105264|0.6345833333333333|0.6029605263157894
2023-05-09 08:23:38|algorithm4|30noise|musk|0.12000000000000001|{131, 3, 74, 11, 139, 46, 146, 88, 27, 157, 31}|166|11|1.0|26.733907461166382|[0.61458333 0.55789474 0.75789474 0.72631579 0.64210526]|[0.53125    0.50526316 0.71578947 0.72631579 0.55789474]|[0.58333333 0.62105263 0.69473684 0.67368421 0.54736842]|0.6597587719298247|0.6073026315789474|0.6240350877192983
2023-05-09 08:24:03|algorithm4|30noise|musk|0.14|{163, 67, 5, 3, 7, 137, 74, 11, 138, 87, 23, 31}|166|12|1.0|25.317708253860474|[0.60416667 0.67368421 0.69473684 0.73684211 0.72631579]|[0.47916667 0.6        0.54736842 0.58947368 0.66315789]|[0.57291667 0.47368421 0.52631579 0.64210526 0.66315789]|0.6871491228070176|0.5758333333333333|0.5756359649122806
2023-05-09 08:24:31|algorithm4|30noise|musk|0.16|{96, 1, 130, 163, 3, 133, 7, 105, 47, 87, 23, 157}|166|12|1.0|27.469982147216797|[0.60416667 0.68421053 0.83157895 0.8        0.62105263]|[0.58333333 0.70526316 0.49473684 0.61052632 0.62105263]|[0.61458333 0.57894737 0.58947368 0.62105263 0.57894737]|0.708201754385965|0.602982456140351|0.5966008771929825
2023-05-09 08:25:00|algorithm4|30noise|musk|0.18|{0, 66, 154, 137, 74, 11, 138, 110, 83, 57, 58, 27, 157}|166|13|1.0|29.82598304748535|[0.54166667 0.53684211 0.69473684 0.68421053 0.68421053]|[0.4375     0.45263158 0.63157895 0.62105263 0.74736842]|[0.54166667 0.47368421 0.67368421 0.71578947 0.71578947]|0.6283333333333333|0.5780263157894737|0.6241228070175439
2023-05-09 08:25:35|algorithm4|30noise|musk|0.19999999999999998|{96, 1, 32, 163, 7, 71, 73, 106, 108, 47, 80, 116, 87, 23, 157, 31}|166|16|1.0|34.08890628814697|[0.59375    0.64210526 0.74736842 0.74736842 0.54736842]|[0.55208333 0.62105263 0.58947368 0.62105263 0.55789474]|[0.60416667 0.47368421 0.69473684 0.61052632 0.58947368]|0.6555921052631579|0.588311403508772|0.5945175438596492
2023-05-09 08:26:12|algorithm4|30noise|musk|0.21999999999999997|{96, 163, 3, 5, 7, 71, 73, 137, 14, 116, 119, 87, 23, 22, 91, 31}|166|16|1.0|37.532978773117065|[0.69791667 0.69473684 0.70526316 0.74736842 0.64210526]|[0.57291667 0.67368421 0.75789474 0.68421053 0.69473684]|[0.625      0.64210526 0.68421053 0.71578947 0.68421053]|0.6974780701754385|0.676688596491228|0.6702631578947369
2023-05-09 08:26:45|algorithm4|30noise|musk|0.23999999999999996|{160, 96, 162, 0, 68, 7, 73, 107, 12, 49, 83, 86, 87, 22, 157}|166|15|1.0|32.33597159385681|[0.66666667 0.73684211 0.67368421 0.81052632 0.65263158]|[0.60416667 0.62105263 0.69473684 0.71578947 0.70526316]|[0.51041667 0.61052632 0.71578947 0.75789474 0.65263158]|0.7080701754385965|0.6682017543859649|0.6494517543859649
2023-05-09 08:27:24|algorithm4|30noise|musk|0.25999999999999995|{65, 162, 1, 7, 9, 106, 44, 80, 83, 23, 22, 87, 58, 123, 157, 31}|166|16|1.0|38.52797794342041|[0.65625    0.6        0.75789474 0.81052632 0.62105263]|[0.61458333 0.6        0.68421053 0.66315789 0.57894737]|[0.625      0.58947368 0.70526316 0.68421053 0.68421053]|0.6891447368421053|0.6281798245614035|0.6576315789473683
2023-05-09 08:28:05|algorithm4|30noise|musk|0.27999999999999997|{65, 1, 68, 7, 73, 147, 22, 87, 23, 90, 157, 96, 162, 102, 106, 48, 60}|166|17|1.0|41.536969900131226|[0.625      0.69473684 0.68421053 0.8        0.67368421]|[0.58333333 0.62105263 0.69473684 0.70526316 0.55789474]|[0.61458333 0.75789474 0.69473684 0.62105263 0.68421053]|0.6955263157894737|0.6324561403508773|0.6744956140350877
2023-05-09 08:28:55|algorithm4|30noise|musk|0.3|{65, 1, 3, 137, 11, 13, 20, 22, 87, 88, 31, 96, 162, 34, 39, 106, 45, 110, 49, 126}|166|20|1.0|49.91097116470337|[0.69791667 0.66315789 0.70526316 0.8        0.74736842]|[0.52083333 0.64210526 0.70526316 0.71578947 0.58947368]|[0.53125    0.63157895 0.63157895 0.67368421 0.67368421]|0.7227412280701755|0.6346929824561404|0.6283552631578947
2023-05-09 08:29:51|algorithm4|30noise|musk|0.32|{65, 2, 3, 1, 73, 9, 16, 87, 157, 31, 162, 36, 102, 105, 106, 109, 113, 53, 54, 55, 123, 62}|166|22|1.0|55.11996579170227|[0.75       0.70526316 0.76842105 0.81052632 0.66315789]|[0.57291667 0.61052632 0.66315789 0.76842105 0.68421053]|[0.59375    0.61052632 0.70526316 0.73684211 0.74736842]|0.7394736842105263|0.65984649122807|0.6787500000000001
2023-05-09 08:30:49|algorithm4|30noise|musk|0.34|{0, 65, 1, 3, 7, 137, 74, 138, 17, 20, 87, 23, 90, 28, 157, 94, 31, 96, 162, 105, 106, 109}|166|22|1.0|58.619964838027954|[0.70833333 0.65263158 0.74736842 0.8        0.66315789]|[0.52083333 0.63157895 0.68421053 0.68421053 0.64210526]|[0.64583333 0.70526316 0.69473684 0.73684211 0.53684211]|0.714298245614035|0.6325877192982455|0.6639035087719298
2023-05-09 08:31:42|algorithm4|30noise|musk|0.36000000000000004|{0, 65, 67, 10, 140, 78, 80, 148, 22, 87, 27, 157, 29, 31, 96, 162, 98, 44, 108, 46, 114, 123, 60}|166|23|0.9978991596638656|52.30607509613037|[0.64583333 0.68421053 0.73684211 0.8        0.64210526]|[0.57291667 0.67368421 0.67368421 0.74736842 0.63157895]|[0.51041667 0.68421053 0.69473684 0.66315789 0.70526316]|0.701798245614035|0.6598464912280703|0.6515570175438596
2023-05-09 08:33:08|algorithm4|30noise|musk|0.38000000000000006|{0, 65, 66, 67, 4, 3, 1, 132, 9, 74, 139, 12, 10, 87, 23, 90, 154, 27, 157, 95, 96, 32, 162, 106, 107, 109, 55}|166|27|0.9978991596638656|85.81263089179993|[0.6875     0.75789474 0.8        0.84210526 0.67368421]|[0.61458333 0.70526316 0.64210526 0.81052632 0.70526316]|[0.54166667 0.66315789 0.75789474 0.74736842 0.78947368]|0.7522368421052632|0.6955482456140352|0.6999122807017544
2023-05-09 08:34:18|algorithm4|30noise|musk|0.4000000000000001|{65, 66, 130, 4, 1, 3, 8, 137, 11, 22, 87, 86, 27, 91, 157, 31, 96, 162, 99, 40, 106, 107, 44, 45, 55, 58, 60}|166|27|0.9957983193277311|69.96395564079285|[0.625      0.57894737 0.71578947 0.77894737 0.69473684]|[0.5625     0.63157895 0.72631579 0.73684211 0.67368421]|[0.57291667 0.61052632 0.66315789 0.65263158 0.62105263]|0.6786842105263158|0.6661842105263157|0.6240570175438596
