结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-14 15:08:22|algorithm4|3fold|BreastCancer|0.02|{0, 1, 2, 5}|9|4|1.0|0.6758031845092773|[0.95       0.98571429 0.92857143 0.93571429 0.98561151]|[0.95714286 0.97857143 0.93571429 0.95       0.97841727]|[0.94285714 0.95       0.90714286 0.96428571 0.97122302]|0.9571223021582733|0.9599691675231243|0.9471017471736897
2023-05-14 15:08:23|algorithm4|3fold|BreastCancer|0.04|{0, 1, 2, 5}|9|4|1.0|0.6459815502166748|[0.95       0.98571429 0.92857143 0.93571429 0.98561151]|[0.95714286 0.97857143 0.93571429 0.95       0.97841727]|[0.95       0.95714286 0.92857143 0.94285714 0.97122302]|0.9571223021582733|0.9599691675231243|0.9499588900308324
2023-05-14 15:08:24|algorithm4|3fold|BreastCancer|0.06|{0, 1, 2, 5}|9|4|1.0|0.6662013530731201|[0.95       0.98571429 0.92857143 0.93571429 0.98561151]|[0.95714286 0.97857143 0.93571429 0.95       0.97841727]|[0.95       0.95       0.92142857 0.94285714 0.97122302]|0.9571223021582733|0.9599691675231243|0.9471017471736897
2023-05-14 15:08:24|algorithm4|3fold|BreastCancer|0.08|{0, 1, 2, 5}|9|4|1.0|0.6650090217590332|[0.95       0.98571429 0.92857143 0.93571429 0.98561151]|[0.95714286 0.97857143 0.93571429 0.95       0.97841727]|[0.95       0.95       0.92857143 0.94285714 0.97122302]|0.9571223021582733|0.9599691675231243|0.9485303186022611
2023-05-14 15:08:25|algorithm4|3fold|BreastCancer|0.1|{0, 1, 2, 5}|9|4|1.0|0.6971516609191895|[0.95       0.98571429 0.92857143 0.93571429 0.98561151]|[0.95714286 0.97857143 0.93571429 0.95       0.97841727]|[0.95       0.95714286 0.90714286 0.94285714 0.97122302]|0.9571223021582733|0.9599691675231243|0.9456731757451182
2023-05-14 15:08:26|algorithm4|3fold|BreastCancer|0.12000000000000001|{0, 1, 2, 5}|9|4|1.0|0.8794412612915039|[0.95       0.98571429 0.92857143 0.93571429 0.98561151]|[0.95714286 0.97857143 0.93571429 0.95       0.97841727]|[0.95       0.95714286 0.92857143 0.96428571 0.97122302]|0.9571223021582733|0.9599691675231243|0.9542446043165468
2023-05-14 15:08:27|algorithm4|3fold|BreastCancer|0.14|{0, 1, 3, 5}|9|4|1.0|0.8129076957702637|[0.96428571 0.96428571 0.94285714 0.94285714 0.97122302]|[0.95       0.97857143 0.94285714 0.95714286 0.97122302]|[0.95       0.95       0.92142857 0.95714286 0.97122302]|0.9571017471736896|0.9599588900308325|0.9499588900308324
2023-05-14 15:08:28|algorithm4|3fold|BreastCancer|0.16|{0, 1, 3, 5, 7}|9|5|1.0|0.9500918388366699|[0.97142857 0.96428571 0.93571429 0.94285714 0.98561151]|[0.97142857 0.97857143 0.94285714 0.95714286 0.98561151]|[0.93571429 0.94285714 0.91428571 0.95714286 0.97122302]|0.9599794450154162|0.9671223021582733|0.9442446043165468
2023-05-14 15:08:29|algorithm4|3fold|BreastCancer|0.18|{0, 1, 3, 5, 7}|9|5|1.0|0.9001719951629639|[0.97142857 0.96428571 0.93571429 0.94285714 0.98561151]|[0.97142857 0.97857143 0.94285714 0.95714286 0.98561151]|[0.93571429 0.94285714 0.92857143 0.95714286 0.97122302]|0.9599794450154162|0.9671223021582733|0.9471017471736897
2023-05-14 15:08:30|algorithm4|3fold|BreastCancer|0.19999999999999998|{0, 1, 3, 5, 7}|9|5|1.0|0.9139273166656494|[0.97142857 0.96428571 0.93571429 0.94285714 0.98561151]|[0.97142857 0.97857143 0.94285714 0.95714286 0.98561151]|[0.93571429 0.94285714 0.91428571 0.95714286 0.97122302]|0.9599794450154162|0.9671223021582733|0.9442446043165468
