结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-14 15:09:16|algorithm4|3fold|pima|0.02|{1, 3, 7}|8|3|1.0|0.3762032985687256|[0.72077922 0.75324675 0.71428571 0.67973856 0.75816993]|[0.75974026 0.75324675 0.71428571 0.74509804 0.77124183]|[0.70779221 0.77922078 0.67532468 0.69281046 0.75163399]|0.725244037008743|0.7487225193107546|0.7213564213564213
2023-05-14 15:09:17|algorithm4|3fold|pima|0.04|{1, 2, 5, 6, 7}|8|5|1.0|0.5743253231048584|[0.75324675 0.77272727 0.73376623 0.7254902  0.76470588]|[0.78571429 0.7987013  0.75324675 0.73856209 0.76470588]|[0.72077922 0.76623377 0.7012987  0.69281046 0.77777778]|0.7499872676343264|0.7681860623037093|0.7317799847211612
2023-05-14 15:09:17|algorithm4|3fold|pima|0.06|{0, 1, 3, 5, 6, 7}|8|6|1.0|0.6629531383514404|[0.72077922 0.75974026 0.75974026 0.68627451 0.79084967]|[0.77922078 0.78571429 0.75324675 0.70588235 0.80392157]|[0.70779221 0.75324675 0.7012987  0.69281046 0.78431373]|0.7434767846532552|0.7655971479500892|0.7278923690688396
2023-05-14 15:09:18|algorithm4|3fold|pima|0.08|{0, 1, 2, 3, 5, 7}|8|6|0.998371335504886|0.8010256290435791|[0.72077922 0.75324675 0.72727273 0.75163399 0.79084967]|[0.78571429 0.77922078 0.75324675 0.73202614 0.77777778]|[0.74675325 0.74025974 0.72727273 0.69934641 0.76470588]|0.748756472285884|0.7655971479500892|0.7356676003734828
2023-05-14 15:09:19|algorithm4|3fold|pima|0.1|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.996742671009772|0.8893027305603027|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.73376623 0.74675325 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.721347933112639
2023-05-14 15:09:20|algorithm4|3fold|pima|0.12000000000000001|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.9869706840390879|1.0610442161560059|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.73376623 0.75324675 0.68831169 0.69934641 0.74509804]|0.7226466344113402|0.7695017400899754|0.7239538239538239
2023-05-14 15:09:21|algorithm4|3fold|pima|0.14|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.9706840390879479|1.115194320678711|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.72727273 0.74675325 0.68831169 0.69934641 0.74509804]|0.7226466344113402|0.7695017400899754|0.7213564213564213
2023-05-14 15:09:23|algorithm4|3fold|pima|0.16|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.9495114006514658|1.1805651187896729|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.73376623 0.74675325 0.68831169 0.69934641 0.74509804]|0.7226466344113402|0.7695017400899754|0.7226551226551227
2023-05-14 15:09:24|algorithm4|3fold|pima|0.18|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.9104234527687296|1.3237154483795166|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.75324675 0.75324675 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.7265427383074442
2023-05-14 15:09:26|algorithm4|3fold|pima|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.8599348534201955|1.4053528308868408|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.75324675 0.74675325 0.68831169 0.69934641 0.74509804]|0.7226466344113402|0.7695017400899754|0.7265512265512266
2023-05-14 15:09:27|algorithm4|3fold|pima|0.21999999999999997|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.7882736156351792|1.538299798965454|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.75324675 0.75324675 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.7265427383074442
2023-05-14 15:09:29|algorithm4|3fold|pima|0.23999999999999996|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.6986970684039088|1.6752490997314453|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.75324675 0.74675325 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.725244037008743
2023-05-14 15:09:31|algorithm4|3fold|pima|0.25999999999999995|{0, 1, 2, 3, 4, 5, 6, 7}|8|8|0.5912052117263844|1.7489454746246338|[0.74025974 0.70779221 0.72727273 0.70588235 0.73202614]|[0.78571429 0.78571429 0.75974026 0.7124183  0.80392157]|[0.74675325 0.74675325 0.68831169 0.69281046 0.74509804]|0.7226466344113402|0.7695017400899754|0.7239453357100416
