结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 08:11:09|algorithm4|ori|BreastTissue|0.02|{0, 2}|9|2|1.0|0.02799248695373535|[0.68181818 0.57142857 0.52380952 0.61904762 0.52380952]|[0.59090909 0.61904762 0.52380952 0.52380952 0.47619048]|[0.5        0.61904762 0.66666667 0.66666667 0.33333333]|0.5839826839826839|0.5467532467532468|0.5571428571428572
2023-05-09 08:11:09|algorithm4|ori|BreastTissue|0.04|{1, 2, 3}|9|3|1.0|0.04100513458251953|[0.68181818 0.57142857 0.61904762 0.57142857 0.47619048]|[0.59090909 0.52380952 0.47619048 0.52380952 0.52380952]|[0.45454545 0.66666667 0.57142857 0.61904762 0.38095238]|0.5839826839826839|0.5277056277056277|0.5385281385281385
2023-05-09 08:11:09|algorithm4|ori|BreastTissue|0.06|{0, 2, 3}|9|3|1.0|0.0409998893737793|[0.68181818 0.57142857 0.61904762 0.71428571 0.52380952]|[0.54545455 0.57142857 0.52380952 0.52380952 0.52380952]|[0.5        0.61904762 0.76190476 0.66666667 0.57142857]|0.6220779220779221|0.5376623376623376|0.6238095238095237
2023-05-09 08:11:09|algorithm4|ori|BreastTissue|0.08|{0, 2, 3}|9|3|1.0|0.04300212860107422|[0.68181818 0.57142857 0.61904762 0.71428571 0.52380952]|[0.54545455 0.57142857 0.52380952 0.52380952 0.52380952]|[0.5        0.61904762 0.76190476 0.71428571 0.57142857]|0.6220779220779221|0.5376623376623376|0.6333333333333334
2023-05-09 08:11:09|algorithm4|ori|BreastTissue|0.1|{0, 1, 2, 3, 6, 8}|9|6|1.0|0.0540013313293457|[0.68181818 0.57142857 0.61904762 0.61904762 0.57142857]|[0.63636364 0.61904762 0.57142857 0.57142857 0.47619048]|[0.72727273 0.57142857 0.61904762 0.71428571 0.33333333]|0.6125541125541126|0.5748917748917749|0.5930735930735931
2023-05-09 08:11:10|algorithm4|ori|BreastTissue|0.12000000000000001|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.9528301886792453|0.05999469757080078|[0.68181818 0.61904762 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.61904762 0.47619048]|[0.72727273 0.57142857 0.71428571 0.80952381 0.57142857]|0.6220779220779221|0.603030303030303|0.6787878787878787
2023-05-09 08:11:10|algorithm4|ori|BreastTissue|0.14|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.8113207547169812|0.05999445915222168|[0.68181818 0.61904762 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.61904762 0.47619048]|[0.72727273 0.57142857 0.71428571 0.80952381 0.61904762]|0.6220779220779221|0.603030303030303|0.6883116883116883
2023-05-09 08:11:10|algorithm4|ori|BreastTissue|0.16|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.7264150943396226|0.06693148612976074|[0.68181818 0.61904762 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.61904762 0.47619048]|[0.72727273 0.57142857 0.71428571 0.76190476 0.61904762]|0.6220779220779221|0.603030303030303|0.6787878787878788
2023-05-09 08:11:10|algorithm4|ori|BreastTissue|0.18|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.6415094339622641|0.0670018196105957|[0.68181818 0.61904762 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.61904762 0.47619048]|[0.72727273 0.57142857 0.71428571 0.80952381 0.61904762]|0.6220779220779221|0.603030303030303|0.6883116883116883
2023-05-09 08:11:10|algorithm4|ori|BreastTissue|0.19999999999999998|{0, 1, 2, 3, 6, 8}|9|6|0.5754716981132075|0.06099700927734375|[0.68181818 0.57142857 0.61904762 0.61904762 0.57142857]|[0.63636364 0.61904762 0.57142857 0.57142857 0.47619048]|[0.63636364 0.57142857 0.57142857 0.66666667 0.33333333]|0.6125541125541126|0.5748917748917749|0.5558441558441559
2023-05-09 08:11:10|algorithm4|ori|BreastTissue|0.21999999999999997|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.5660377358490566|0.07300019264221191|[0.68181818 0.61904762 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.61904762 0.47619048]|[0.72727273 0.57142857 0.71428571 0.80952381 0.61904762]|0.6220779220779221|0.603030303030303|0.6883116883116883
2023-05-09 08:11:10|algorithm4|ori|BreastTissue|0.23999999999999996|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.5471698113207547|0.06500720977783203|[0.68181818 0.61904762 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.61904762 0.47619048]|[0.72727273 0.57142857 0.71428571 0.80952381 0.61904762]|0.6220779220779221|0.603030303030303|0.6883116883116883
2023-05-09 08:11:10|algorithm4|ori|BreastTissue|0.25999999999999995|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.5188679245283019|0.06799721717834473|[0.68181818 0.61904762 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.61904762 0.47619048]|[0.72727273 0.57142857 0.71428571 0.76190476 0.61904762]|0.6220779220779221|0.603030303030303|0.6787878787878788
2023-05-09 08:11:10|algorithm4|ori|BreastTissue|0.27999999999999997|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.5|0.07301640510559082|[0.68181818 0.61904762 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.61904762 0.47619048]|[0.72727273 0.57142857 0.71428571 0.80952381 0.61904762]|0.6220779220779221|0.603030303030303|0.6883116883116883
2023-05-09 08:11:10|algorithm4|ori|BreastTissue|0.3|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.4716981132075472|0.07399702072143555|[0.68181818 0.61904762 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.61904762 0.47619048]|[0.72727273 0.57142857 0.71428571 0.80952381 0.61904762]|0.6220779220779221|0.603030303030303|0.6883116883116883
2023-05-09 08:11:10|algorithm4|ori|BreastTissue|0.32|{0, 1, 2, 3, 4, 6, 8}|9|7|0.4339622641509434|0.06899523735046387|[0.68181818 0.57142857 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.57142857 0.47619048]|[0.77272727 0.57142857 0.61904762 0.71428571 0.42857143]|0.6125541125541126|0.5935064935064934|0.6212121212121212
2023-05-09 08:11:10|algorithm4|ori|BreastTissue|0.34|{0, 1, 2, 3, 6, 8}|9|6|0.41509433962264153|0.06907320022583008|[0.68181818 0.57142857 0.61904762 0.61904762 0.57142857]|[0.63636364 0.61904762 0.57142857 0.57142857 0.47619048]|[0.72727273 0.57142857 0.66666667 0.66666667 0.38095238]|0.6125541125541126|0.5748917748917749|0.6025974025974026
2023-05-09 08:11:10|algorithm4|ori|BreastTissue|0.36000000000000004|{0, 1, 2, 3, 4, 6, 8}|9|7|0.41509433962264153|0.0710761547088623|[0.68181818 0.57142857 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.57142857 0.47619048]|[0.68181818 0.57142857 0.61904762 0.71428571 0.47619048]|0.6125541125541126|0.5935064935064934|0.6125541125541126
2023-05-09 08:11:11|algorithm4|ori|BreastTissue|0.38000000000000006|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.41509433962264153|0.07307672500610352|[0.68181818 0.61904762 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.61904762 0.47619048]|[0.72727273 0.57142857 0.71428571 0.76190476 0.61904762]|0.6220779220779221|0.603030303030303|0.6787878787878788
2023-05-09 08:11:11|algorithm4|ori|BreastTissue|0.4000000000000001|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.4056603773584906|0.07800674438476562|[0.68181818 0.61904762 0.61904762 0.61904762 0.57142857]|[0.68181818 0.66666667 0.57142857 0.61904762 0.47619048]|[0.72727273 0.57142857 0.71428571 0.80952381 0.61904762]|0.6220779220779221|0.603030303030303|0.6883116883116883
