结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 08:12:22|algorithm4|ori|Glass|0.02|{0, 1, 6}|9|3|1.0|0.11000442504882812|[0.72093023 0.58139535 0.6744186  0.6744186  0.47619048]|[0.37209302 0.34883721 0.34883721 0.34883721 0.35714286]|[0.69767442 0.60465116 0.62790698 0.65116279 0.45238095]|0.6254706533776301|0.3551495016611296|0.6067552602436324
2023-05-09 08:12:22|algorithm4|ori|Glass|0.04|{0, 1, 2, 3, 7}|9|5|1.0|0.14100074768066406|[0.65116279 0.62790698 0.6744186  0.6744186  0.52380952]|[0.62790698 0.65116279 0.46511628 0.39534884 0.5       ]|[0.65116279 0.58139535 0.60465116 0.69767442 0.47619048]|0.6303433001107419|0.527906976744186|0.6022148394241418
2023-05-09 08:12:22|algorithm4|ori|Glass|0.06|{0, 2, 3, 4, 6, 7}|9|6|1.0|0.15799736976623535|[0.74418605 0.62790698 0.69767442 0.60465116 0.52380952]|[0.62790698 0.65116279 0.46511628 0.39534884 0.5       ]|[0.6744186  0.62790698 0.65116279 0.6744186  0.5       ]|0.6396456256921373|0.527906976744186|0.6255813953488373
2023-05-09 08:12:22|algorithm4|ori|Glass|0.08|{0, 1, 2, 3, 4, 7, 8}|9|7|0.9953271028037384|0.18699908256530762|[0.55813953 0.58139535 0.60465116 0.65116279 0.47619048]|[0.55813953 0.58139535 0.51162791 0.46511628 0.47619048]|[0.65116279 0.60465116 0.60465116 0.6744186  0.5       ]|0.5743078626799557|0.5184939091915837|0.6069767441860465
2023-05-09 08:12:22|algorithm4|ori|Glass|0.1|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|0.9672897196261683|0.1940007209777832|[0.55813953 0.51162791 0.62790698 0.65116279 0.47619048]|[0.53488372 0.58139535 0.48837209 0.44186047 0.47619048]|[0.6744186  0.58139535 0.60465116 0.69767442 0.5       ]|0.5650055370985604|0.5045404208194906|0.6116279069767442
2023-05-09 08:12:23|algorithm4|ori|Glass|0.12000000000000001|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.9299065420560748|0.2090013027191162|[0.55813953 0.53488372 0.62790698 0.62790698 0.47619048]|[0.55813953 0.60465116 0.48837209 0.44186047 0.47619048]|[0.72093023 0.60465116 0.65116279 0.69767442 0.66666667]|0.5650055370985603|0.5138427464008859|0.6682170542635658
2023-05-09 08:12:23|algorithm4|ori|Glass|0.14|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.8551401869158879|0.23799848556518555|[0.55813953 0.53488372 0.62790698 0.62790698 0.47619048]|[0.55813953 0.60465116 0.48837209 0.44186047 0.47619048]|[0.72093023 0.58139535 0.60465116 0.69767442 0.66666667]|0.5650055370985603|0.5138427464008859|0.6542635658914728
2023-05-09 08:12:23|algorithm4|ori|Glass|0.16|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.780373831775701|0.22499847412109375|[0.55813953 0.53488372 0.62790698 0.62790698 0.47619048]|[0.55813953 0.60465116 0.48837209 0.44186047 0.47619048]|[0.72093023 0.55813953 0.62790698 0.69767442 0.66666667]|0.5650055370985603|0.5138427464008859|0.6542635658914728
2023-05-09 08:12:23|algorithm4|ori|Glass|0.18|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.7149532710280374|0.23800063133239746|[0.55813953 0.53488372 0.62790698 0.62790698 0.47619048]|[0.55813953 0.60465116 0.48837209 0.44186047 0.47619048]|[0.72093023 0.58139535 0.62790698 0.69767442 0.66666667]|0.5650055370985603|0.5138427464008859|0.6589147286821706
2023-05-09 08:12:24|algorithm4|ori|Glass|0.19999999999999998|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.677570093457944|0.2869994640350342|[0.55813953 0.53488372 0.62790698 0.62790698 0.47619048]|[0.55813953 0.60465116 0.48837209 0.44186047 0.47619048]|[0.72093023 0.55813953 0.62790698 0.69767442 0.66666667]|0.5650055370985603|0.5138427464008859|0.6542635658914728
