结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 08:11:18|algorithm4|ori|GlaucomaM|0.02|{0, 17, 46}|62|3|1.0|0.3749997615814209|[0.8        0.84615385 0.84615385 0.74358974 0.84615385]|[0.75       0.82051282 0.84615385 0.76923077 0.87179487]|[0.725      0.84615385 0.76923077 0.79487179 0.76923077]|0.8164102564102563|0.8115384615384615|0.7808974358974359
2023-05-09 08:11:19|algorithm4|ori|GlaucomaM|0.04|{1, 52, 46}|62|3|1.0|0.4070005416870117|[0.75       0.79487179 0.84615385 0.76923077 0.8974359 ]|[0.8        0.74358974 0.82051282 0.82051282 0.87179487]|[0.75       0.84615385 0.82051282 0.82051282 0.84615385]|0.8115384615384615|0.8112820512820512|0.8166666666666667
2023-05-09 08:11:19|algorithm4|ori|GlaucomaM|0.06|{17, 52, 46}|62|3|1.0|0.45496034622192383|[0.85       0.76923077 0.84615385 0.76923077 0.92307692]|[0.8        0.79487179 0.82051282 0.82051282 0.8974359 ]|[0.75       0.79487179 0.76923077 0.79487179 0.79487179]|0.8315384615384616|0.8266666666666668|0.7807692307692307
2023-05-09 08:11:20|algorithm4|ori|GlaucomaM|0.08|{17, 52, 45, 46}|62|4|1.0|0.577998161315918|[0.85       0.84615385 0.84615385 0.79487179 0.8974359 ]|[0.825      0.76923077 0.82051282 0.82051282 0.92307692]|[0.8        0.74358974 0.87179487 0.82051282 0.79487179]|0.8469230769230769|0.8316666666666667|0.8061538461538461
2023-05-09 08:11:20|algorithm4|ori|GlaucomaM|0.1|{0, 17, 52, 55, 46}|62|5|1.0|0.7009994983673096|[0.8        0.74358974 0.87179487 0.76923077 0.87179487]|[0.8        0.79487179 0.82051282 0.82051282 0.8974359 ]|[0.75       0.8974359  0.76923077 0.82051282 0.82051282]|0.8112820512820512|0.8266666666666668|0.8115384615384615
2023-05-09 08:11:21|algorithm4|ori|GlaucomaM|0.12000000000000001|{17, 49, 52, 12, 46}|62|5|1.0|0.7619991302490234|[0.85       0.76923077 0.84615385 0.84615385 0.8974359 ]|[0.85       0.76923077 0.82051282 0.82051282 0.8974359 ]|[0.825      0.79487179 0.84615385 0.87179487 0.82051282]|0.8417948717948718|0.8315384615384616|0.8316666666666667
2023-05-09 08:11:22|algorithm4|ori|GlaucomaM|0.14|{17, 49, 52, 23, 46, 31}|62|6|1.0|0.8320815563201904|[0.875      0.74358974 0.84615385 0.79487179 0.84615385]|[0.875      0.76923077 0.84615385 0.82051282 0.8974359 ]|[0.75       0.76923077 0.82051282 0.79487179 0.82051282]|0.8211538461538461|0.8416666666666668|0.7910256410256409
2023-05-09 08:11:23|algorithm4|ori|GlaucomaM|0.16|{50, 52, 21, 6, 23, 24, 46}|62|7|1.0|1.0059239864349365|[0.875      0.74358974 0.87179487 0.79487179 0.79487179]|[0.85       0.66666667 0.87179487 0.82051282 0.8974359 ]|[0.8        0.74358974 0.79487179 0.79487179 0.82051282]|0.816025641025641|0.8212820512820513|0.7907692307692308
2023-05-09 08:11:24|algorithm4|ori|GlaucomaM|0.18|{18, 52, 22, 9, 24, 8, 46}|62|7|1.0|1.1879997253417969|[0.825      0.66666667 0.87179487 0.76923077 0.84615385]|[0.875      0.71794872 0.87179487 0.76923077 0.8974359 ]|[0.8        0.76923077 0.76923077 0.79487179 0.79487179]|0.7957692307692308|0.8262820512820512|0.7856410256410256
2023-05-09 08:11:26|algorithm4|ori|GlaucomaM|0.19999999999999998|{48, 52, 21, 22, 55, 9, 46, 47}|62|8|1.0|1.2489991188049316|[0.85       0.66666667 0.84615385 0.79487179 0.79487179]|[0.85       0.76923077 0.84615385 0.79487179 0.8974359 ]|[0.75       0.71794872 0.76923077 0.76923077 0.82051282]|0.7905128205128205|0.8315384615384616|0.7653846153846153
