结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 08:12:27|algorithm4|ori|accent|0.02|{0, 1, 7}|12|3|1.0|0.23100543022155762|[0.43939394 0.53030303 0.54545455 0.45454545 0.63076923]|[0.5        0.5        0.5        0.5        0.50769231]|[0.5        0.56060606 0.40909091 0.36363636 0.58461538]|0.5200932400932401|0.5015384615384615|0.48358974358974366
2023-05-09 08:12:27|algorithm4|ori|accent|0.04|{1, 2, 5}|12|3|1.0|0.22699856758117676|[0.45454545 0.59090909 0.39393939 0.5        0.6       ]|[0.5        0.5        0.5        0.5        0.50769231]|[0.43939394 0.56060606 0.53030303 0.45454545 0.52307692]|0.5078787878787879|0.5015384615384615|0.5015850815850815
2023-05-09 08:12:28|algorithm4|ori|accent|0.06|{0, 1, 2, 5}|12|4|1.0|0.28999972343444824|[0.57575758 0.57575758 0.51515152 0.43939394 0.53846154]|[0.5        0.5        0.5        0.5        0.50769231]|[0.43939394 0.51515152 0.43939394 0.53030303 0.58461538]|0.5289044289044289|0.5015384615384615|0.5017715617715618
2023-05-09 08:12:28|algorithm4|ori|accent|0.08|{1, 2, 4, 5}|12|4|1.0|0.3319990634918213|[0.51515152 0.66666667 0.59090909 0.56060606 0.61538462]|[0.5        0.5        0.5        0.5        0.50769231]|[0.39393939 0.5        0.42424242 0.46969697 0.52307692]|0.5897435897435896|0.5015384615384615|0.4621911421911422
2023-05-09 08:12:28|algorithm4|ori|accent|0.1|{0, 1, 2, 3, 5}|12|5|1.0|0.3769998550415039|[0.59090909 0.56060606 0.57575758 0.51515152 0.56923077]|[0.5        0.5        0.5        0.5        0.50769231]|[0.5        0.5        0.45454545 0.57575758 0.58461538]|0.5623310023310022|0.5015384615384615|0.522983682983683
2023-05-09 08:12:29|algorithm4|ori|accent|0.12000000000000001|{0, 1, 2, 4, 5, 7}|12|6|1.0|0.4369997978210449|[0.59090909 0.59090909 0.62121212 0.59090909 0.70769231]|[0.5        0.5        0.5        0.5        0.50769231]|[0.51515152 0.5        0.48484848 0.59090909 0.50769231]|0.6203263403263404|0.5015384615384615|0.5197202797202797
2023-05-09 08:12:29|algorithm4|ori|accent|0.14|{0, 1, 2, 3, 4, 5, 10}|12|7|1.0|0.5209999084472656|[0.65151515 0.66666667 0.6969697  0.59090909 0.67692308]|[0.54545455 0.51515152 0.51515152 0.5        0.50769231]|[0.42424242 0.53030303 0.48484848 0.42424242 0.64615385]|0.6565967365967366|0.5166899766899766|0.501958041958042
2023-05-09 08:12:30|algorithm4|ori|accent|0.16|{0, 1, 2, 4, 5, 6, 7, 10}|12|8|1.0|0.5669991970062256|[0.6969697  0.6969697  0.66666667 0.68181818 0.69230769]|[0.54545455 0.5        0.51515152 0.53030303 0.50769231]|[0.46969697 0.56060606 0.57575758 0.46969697 0.61538462]|0.686946386946387|0.5197202797202797|0.5382284382284382
2023-05-09 08:12:31|algorithm4|ori|accent|0.18|{0, 1, 2, 3, 4, 6, 7, 10, 11}|12|9|1.0|0.6459987163543701|[0.6969697  0.72727273 0.65151515 0.62121212 0.69230769]|[0.54545455 0.51515152 0.51515152 0.53030303 0.50769231]|[0.46969697 0.57575758 0.54545455 0.45454545 0.58461538]|0.6778554778554777|0.5227505827505827|0.5260139860139861
2023-05-09 08:12:31|algorithm4|ori|accent|0.19999999999999998|{0, 1, 2, 4, 6, 7, 8, 9, 10, 11}|12|10|1.0|0.6880002021789551|[0.66666667 0.6969697  0.71212121 0.65151515 0.72307692]|[0.53030303 0.5        0.51515152 0.53030303 0.50769231]|[0.53030303 0.57575758 0.59090909 0.48484848 0.63076923]|0.6900699300699301|0.5166899766899766|0.5625174825174825
