结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 08:34:17|algorithm4|ori|diamonds_filter|0.02|{1, 2}|4|2|1.0|0.141998291015625|[0.975      0.96666667 0.975      0.99166667 0.98319328]|[0.89166667 0.9        0.89166667 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9783053221288516|0.8948039215686275|0.9966666666666667
2023-05-09 08:34:17|algorithm4|ori|diamonds_filter|0.04|{0, 1, 2}|4|3|1.0|0.19000029563903809|[0.95833333 0.98333333 0.98333333 0.94166667 0.95798319]|[0.88333333 0.9        0.89166667 0.90833333 0.89915966]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9649299719887955|0.896498599439776|0.9966666666666667
2023-05-09 08:34:18|algorithm4|ori|diamonds_filter|0.06|{0, 1, 2, 3}|4|4|1.0|0.19299983978271484|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-09 08:34:18|algorithm4|ori|diamonds_filter|0.08|{0, 1, 2, 3}|4|4|0.994991652754591|0.22807884216308594|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1. 1. 1. 1. 1.]|0.9298879551820729|0.891470588235294|1.0
2023-05-09 08:34:18|algorithm4|ori|diamonds_filter|0.1|{0, 1, 2, 3}|4|4|0.9732888146911519|0.2789955139160156|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[1.         1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-09 08:34:18|algorithm4|ori|diamonds_filter|0.12000000000000001|{0, 1, 2, 3}|4|4|0.9098497495826378|0.28299880027770996|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         0.99166667 1.        ]|0.9298879551820729|0.891470588235294|0.9966666666666667
2023-05-09 08:34:19|algorithm4|ori|diamonds_filter|0.14|{0, 1, 2, 3}|4|4|0.8580968280467446|0.2989199161529541|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-09 08:34:19|algorithm4|ori|diamonds_filter|0.16|{0, 1, 2, 3}|4|4|0.7963272120200334|0.36304306983947754|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-09 08:34:20|algorithm4|ori|diamonds_filter|0.18|{0, 1, 2, 3}|4|4|0.7228714524207012|0.3709995746612549|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
2023-05-09 08:34:20|algorithm4|ori|diamonds_filter|0.19999999999999998|{0, 1, 2, 3}|4|4|0.656093489148581|0.4100017547607422|[0.91666667 0.94166667 0.90833333 0.95       0.93277311]|[0.88333333 0.9        0.88333333 0.90833333 0.88235294]|[0.99166667 1.         1.         1.         1.        ]|0.9298879551820729|0.891470588235294|0.9983333333333334
