结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 08:11:08|algorithm4|ori|fertility_Diagnosis|0.02|{8, 1, 0}|9|3|1.0|0.0250091552734375|[0.9  0.9  0.9  0.75 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.8  0.75 0.85]|0.86|0.8800000000000001|0.8
2023-05-09 08:11:08|algorithm4|ori|fertility_Diagnosis|0.04|{8, 1, 0}|9|3|1.0|0.025074005126953125|[0.9  0.9  0.9  0.75 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.8  0.75 0.85]|0.86|0.8800000000000001|0.8
2023-05-09 08:11:08|algorithm4|ori|fertility_Diagnosis|0.06|{8, 1, 4, 0}|9|4|1.0|0.02796030044555664|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.75 0.7  0.85]|0.8800000000000001|0.8800000000000001|0.78
2023-05-09 08:11:08|algorithm4|ori|fertility_Diagnosis|0.08|{8, 1, 5, 6}|9|4|0.98|0.02898573875427246|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.95 0.75 0.85]|0.8800000000000001|0.8800000000000001|0.82
2023-05-09 08:11:08|algorithm4|ori|fertility_Diagnosis|0.1|{1, 2, 3, 6, 8}|9|5|1.0|0.032010793685913086|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.75 0.8  0.95]|0.8800000000000001|0.8800000000000001|0.8200000000000001
2023-05-09 08:11:08|algorithm4|ori|fertility_Diagnosis|0.12000000000000001|{1, 2, 3, 6, 8}|9|5|1.0|0.031000375747680664|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.75 0.8  0.95]|0.8800000000000001|0.8800000000000001|0.8200000000000001
2023-05-09 08:11:08|algorithm4|ori|fertility_Diagnosis|0.14|{0, 1, 2, 3, 6, 8}|9|6|1.0|0.03592252731323242|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.7  0.7  0.95]|0.8800000000000001|0.8800000000000001|0.78
2023-05-09 08:11:09|algorithm4|ori|fertility_Diagnosis|0.16|{0, 1, 2, 3, 5, 6, 8}|9|7|1.0|0.037006378173828125|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.7  0.7  0.95]|0.8800000000000001|0.8800000000000001|0.78
2023-05-09 08:11:09|algorithm4|ori|fertility_Diagnosis|0.18|{0, 1, 5, 6, 8}|9|5|0.97|0.037065982818603516|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.75 0.75 0.85]|0.8800000000000001|0.8800000000000001|0.78
2023-05-09 08:11:09|algorithm4|ori|fertility_Diagnosis|0.19999999999999998|{0, 1, 2, 4, 5, 6, 8}|9|7|1.0|0.03800177574157715|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.85 0.75 0.85]|0.8800000000000001|0.8800000000000001|0.8
2023-05-09 08:11:09|algorithm4|ori|fertility_Diagnosis|0.21999999999999997|{0, 1, 2, 4, 5, 6, 8}|9|7|1.0|0.03908348083496094|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.85 0.7  0.85]|0.8800000000000001|0.8800000000000001|0.7899999999999999
2023-05-09 08:11:09|algorithm4|ori|fertility_Diagnosis|0.23999999999999996|{0, 2, 4, 5, 6, 7}|9|6|1.0|0.036037445068359375|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.8  0.85 0.9  0.75 0.8 ]|0.8800000000000001|0.8800000000000001|0.82
2023-05-09 08:11:09|algorithm4|ori|fertility_Diagnosis|0.25999999999999995|{0, 2, 3, 4, 5, 6, 7}|9|7|1.0|0.03807425498962402|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.65 0.9  0.85 0.75 0.9 ]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-09 08:11:09|algorithm4|ori|fertility_Diagnosis|0.27999999999999997|{0, 2, 3, 5, 6, 7, 8}|9|7|1.0|0.03999662399291992|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.65 0.9  0.75 0.9 ]|0.8800000000000001|0.8800000000000001|0.7899999999999999
2023-05-09 08:11:09|algorithm4|ori|fertility_Diagnosis|0.3|{0, 2, 3, 5, 6, 7, 8}|9|7|1.0|0.03699517250061035|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.65 0.9  0.75 0.9 ]|0.8800000000000001|0.8800000000000001|0.7899999999999999
2023-05-09 08:11:09|algorithm4|ori|fertility_Diagnosis|0.32|{0, 2, 3, 5, 6, 7, 8}|9|7|1.0|0.03800082206726074|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.65 0.9  0.75 0.9 ]|0.8800000000000001|0.8800000000000001|0.7899999999999999
2023-05-09 08:11:09|algorithm4|ori|fertility_Diagnosis|0.34|{0, 1, 2, 3, 5, 6, 7, 8}|9|8|1.0|0.04591846466064453|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.7  0.75 0.95]|0.8800000000000001|0.8800000000000001|0.79
2023-05-09 08:11:09|algorithm4|ori|fertility_Diagnosis|0.36000000000000004|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.98|0.040001630783081055|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.65 0.75 0.95]|0.8800000000000001|0.8800000000000001|0.78
2023-05-09 08:11:09|algorithm4|ori|fertility_Diagnosis|0.38000000000000006|{0, 1, 2, 3, 4, 5, 6, 7, 8}|9|9|0.98|0.04000091552734375|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.65 0.75 0.95]|0.8800000000000001|0.8800000000000001|0.78
2023-05-09 08:11:09|algorithm4|ori|fertility_Diagnosis|0.4000000000000001|{0, 2, 3, 4, 5, 6, 7, 8}|9|8|0.97|0.04192638397216797|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.65 0.65 0.9  0.7  0.75]|0.8800000000000001|0.8800000000000001|0.7300000000000001
