结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 08:14:20|algorithm4|ori|movement|0.02|{0, 21}|90|2|1.0|2.982996702194214|[0.19444444 0.20833333 0.34722222 0.20833333 0.125     ]|[0.30555556 0.15277778 0.26388889 0.33333333 0.23611111]|[0.23611111 0.20833333 0.30555556 0.27777778 0.11111111]|0.2166666666666667|0.25833333333333336|0.22777777777777777
2023-05-09 08:14:24|algorithm4|ori|movement|0.04|{56, 0, 53}|90|3|1.0|3.9309988021850586|[0.40277778 0.48611111 0.48611111 0.34722222 0.20833333]|[0.375      0.27777778 0.40277778 0.34722222 0.30555556]|[0.40277778 0.34722222 0.34722222 0.29166667 0.27777778]|0.3861111111111111|0.3416666666666667|0.33333333333333337
2023-05-09 08:14:28|algorithm4|ori|movement|0.06|{0, 19, 53}|90|3|1.0|4.094996452331543|[0.44444444 0.38888889 0.47222222 0.29166667 0.27777778]|[0.38888889 0.30555556 0.40277778 0.41666667 0.31944444]|[0.45833333 0.30555556 0.43055556 0.36111111 0.31944444]|0.375|0.3666666666666667|0.375
2023-05-09 08:14:33|algorithm4|ori|movement|0.08|{0, 66, 19, 53}|90|4|1.0|5.442997455596924|[0.51388889 0.34722222 0.40277778 0.375      0.41666667]|[0.51388889 0.34722222 0.45833333 0.38888889 0.41666667]|[0.45833333 0.25       0.45833333 0.36111111 0.33333333]|0.4111111111111111|0.425|0.3722222222222222
2023-05-09 08:14:39|algorithm4|ori|movement|0.1|{1, 15, 20, 55}|90|4|1.0|5.667996644973755|[0.36111111 0.375      0.5        0.23611111 0.25      ]|[0.375      0.27777778 0.36111111 0.31944444 0.26388889]|[0.33333333 0.30555556 0.45833333 0.23611111 0.29166667]|0.34444444444444444|0.3194444444444444|0.325
2023-05-09 08:14:45|algorithm4|ori|movement|0.12000000000000001|{16, 89, 17, 38}|90|4|1.0|6.328995704650879|[0.40277778 0.40277778 0.52777778 0.41666667 0.375     ]|[0.375      0.27777778 0.375      0.47222222 0.31944444]|[0.36111111 0.30555556 0.38888889 0.29166667 0.33333333]|0.425|0.3638888888888889|0.33611111111111114
2023-05-09 08:14:53|algorithm4|ori|movement|0.14|{1, 2, 19, 86, 89}|90|5|1.0|7.693995237350464|[0.45833333 0.48611111 0.56944444 0.38888889 0.44444444]|[0.375      0.45833333 0.48611111 0.40277778 0.45833333]|[0.33333333 0.31944444 0.40277778 0.29166667 0.33333333]|0.46944444444444444|0.43611111111111117|0.3361111111111111
2023-05-09 08:15:01|algorithm4|ori|movement|0.16|{0, 1, 19, 88, 57}|90|5|1.0|7.6259942054748535|[0.51388889 0.47222222 0.59722222 0.5        0.44444444]|[0.41666667 0.51388889 0.51388889 0.5        0.43055556]|[0.43055556 0.27777778 0.48611111 0.31944444 0.27777778]|0.5055555555555555|0.475|0.3583333333333333
2023-05-09 08:15:09|algorithm4|ori|movement|0.18|{49, 82, 3, 12, 79}|90|5|1.0|8.044995546340942|[0.43055556 0.36111111 0.56944444 0.375      0.47222222]|[0.41666667 0.34722222 0.40277778 0.375      0.40277778]|[0.40277778 0.375      0.38888889 0.33333333 0.375     ]|0.4416666666666667|0.38888888888888884|0.375
2023-05-09 08:15:19|algorithm4|ori|movement|0.19999999999999998|{52, 27, 15, 14, 79}|90|5|1.0|10.077993631362915|[0.52777778 0.44444444 0.51388889 0.45833333 0.43055556]|[0.41666667 0.33333333 0.41666667 0.54166667 0.43055556]|[0.45833333 0.29166667 0.45833333 0.41666667 0.27777778]|0.475|0.42777777777777787|0.38055555555555554
