结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 08:18:22|algorithm4|ori|vote|0.02|{0, 1, 2, 3, 6, 8, 9, 10, 13, 14, 15}|16|11|1.0|2.158038854598999|[0.93103448 0.88505747 0.91954023 0.93103448 0.91954023]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.90804598 0.95402299 0.94252874 0.94252874]|0.9172413793103449|0.9563218390804596|0.9448275862068964
2023-05-09 08:18:24|algorithm4|ori|vote|0.04|{0, 1, 2, 3, 6, 8, 9, 10, 13, 14, 15}|16|11|1.0|2.117990016937256|[0.93103448 0.88505747 0.91954023 0.93103448 0.91954023]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.90804598 0.94252874 0.94252874 0.93103448]|0.9172413793103449|0.9563218390804596|0.9402298850574713
2023-05-09 08:18:27|algorithm4|ori|vote|0.06|{0, 1, 2, 3, 6, 8, 9, 10, 13, 14, 15}|16|11|1.0|2.487963914871216|[0.93103448 0.88505747 0.91954023 0.93103448 0.91954023]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.93103448 0.94252874 0.96551724]|0.9172413793103449|0.9563218390804596|0.9494252873563218
2023-05-09 08:18:29|algorithm4|ori|vote|0.08|{0, 1, 2, 3, 6, 8, 9, 10, 13, 14, 15}|16|11|1.0|2.163957118988037|[0.93103448 0.88505747 0.91954023 0.93103448 0.91954023]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.95402299 0.93103448 0.93103448]|0.9172413793103449|0.9563218390804596|0.9448275862068967
2023-05-09 08:18:32|algorithm4|ori|vote|0.1|{0, 1, 2, 3, 6, 8, 9, 10, 13, 14, 15}|16|11|1.0|2.396000385284424|[0.93103448 0.88505747 0.91954023 0.93103448 0.91954023]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.90804598 0.94252874 0.94252874 0.95402299]|0.9172413793103449|0.9563218390804596|0.9425287356321839
2023-05-09 08:18:35|algorithm4|ori|vote|0.12000000000000001|{0, 1, 2, 3, 6, 8, 9, 10, 13, 14, 15}|16|11|1.0|3.1730504035949707|[0.93103448 0.88505747 0.91954023 0.93103448 0.91954023]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.90804598 0.95402299 0.94252874 0.95402299]|0.9172413793103449|0.9563218390804596|0.9448275862068964
2023-05-09 08:18:38|algorithm4|ori|vote|0.14|{0, 1, 2, 3, 6, 8, 9, 10, 13, 14, 15}|16|11|1.0|3.3140289783477783|[0.93103448 0.88505747 0.91954023 0.93103448 0.91954023]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.90804598 0.91954023 0.94252874 0.95402299]|0.9172413793103449|0.9563218390804596|0.9379310344827585
2023-05-09 08:18:41|algorithm4|ori|vote|0.16|{0, 1, 2, 3, 6, 8, 9, 10, 13, 14, 15}|16|11|1.0|3.16395902633667|[0.93103448 0.88505747 0.91954023 0.93103448 0.91954023]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.96551724 0.94252874 0.93103448 0.94252874 0.95402299]|0.9172413793103449|0.9563218390804596|0.9471264367816092
2023-05-09 08:18:44|algorithm4|ori|vote|0.18|{0, 1, 2, 3, 6, 8, 9, 10, 13, 14, 15}|16|11|1.0|2.9179985523223877|[0.93103448 0.88505747 0.91954023 0.93103448 0.91954023]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.90804598 0.93103448 0.94252874 0.93103448]|0.9172413793103449|0.9563218390804596|0.9379310344827585
2023-05-09 08:18:47|algorithm4|ori|vote|0.19999999999999998|{0, 1, 2, 3, 6, 8, 9, 10, 13, 14, 15}|16|11|1.0|2.6650285720825195|[0.93103448 0.88505747 0.91954023 0.93103448 0.91954023]|[0.97701149 0.94252874 0.96551724 0.95402299 0.94252874]|[0.97701149 0.94252874 0.93103448 0.94252874 0.94252874]|0.9172413793103449|0.9563218390804596|0.9471264367816092
