结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 13:03:27|algorithm5|10noise|Glass|0.02|{1, 2, 3, 4}|9|4|1.0|0.03300142288208008|[0.69767442 0.60465116 0.69767442 0.53488372 0.5       ]|[0.58139535 0.58139535 0.41860465 0.41860465 0.52380952]|[0.65116279 0.53488372 0.65116279 0.62790698 0.4047619 ]|0.6069767441860465|0.5047619047619047|0.5739756367663345
2023-05-09 13:03:27|algorithm5|10noise|Glass|0.04|{0, 1, 2, 3, 4, 6, 8}|9|7|1.0|0.061000823974609375|[0.58139535 0.51162791 0.62790698 0.62790698 0.47619048]|[0.55813953 0.55813953 0.48837209 0.44186047 0.47619048]|[0.53488372 0.58139535 0.6744186  0.69767442 0.57142857]|0.5650055370985604|0.5045404208194906|0.6119601328903654
2023-05-09 13:03:27|algorithm5|10noise|Glass|0.06|{0}|9|1|0.20093457943925233|0.04300069808959961|[0.62790698 0.55813953 0.46511628 0.46511628 0.66666667]|[0.37209302 0.34883721 0.34883721 0.34883721 0.35714286]|[0.55813953 0.48837209 0.46511628 0.37209302 0.54761905]|0.5565891472868216|0.3551495016611296|0.4862679955703212
2023-05-09 13:03:27|algorithm5|10noise|Glass|0.08|{0}|9|1|0.20093457943925233|0.03599977493286133|[0.62790698 0.55813953 0.46511628 0.46511628 0.66666667]|[0.37209302 0.34883721 0.34883721 0.34883721 0.35714286]|[0.55813953 0.48837209 0.46511628 0.37209302 0.54761905]|0.5565891472868216|0.3551495016611296|0.4862679955703212
2023-05-09 13:03:27|algorithm5|10noise|Glass|0.1|{0}|9|1|0.20093457943925233|0.03999972343444824|[0.62790698 0.55813953 0.46511628 0.46511628 0.66666667]|[0.37209302 0.34883721 0.34883721 0.34883721 0.35714286]|[0.55813953 0.48837209 0.46511628 0.37209302 0.54761905]|0.5565891472868216|0.3551495016611296|0.4862679955703212
2023-05-09 13:03:27|algorithm5|10noise|Glass|0.12000000000000001|{0}|9|1|0.20093457943925233|0.0409998893737793|[0.62790698 0.55813953 0.46511628 0.46511628 0.66666667]|[0.37209302 0.34883721 0.34883721 0.34883721 0.35714286]|[0.55813953 0.48837209 0.46511628 0.37209302 0.54761905]|0.5565891472868216|0.3551495016611296|0.4862679955703212
2023-05-09 13:03:27|algorithm5|10noise|Glass|0.14|{0}|9|1|0.20093457943925233|0.04499983787536621|[0.62790698 0.55813953 0.46511628 0.46511628 0.66666667]|[0.37209302 0.34883721 0.34883721 0.34883721 0.35714286]|[0.55813953 0.48837209 0.46511628 0.37209302 0.54761905]|0.5565891472868216|0.3551495016611296|0.4862679955703212
2023-05-09 13:03:27|algorithm5|10noise|Glass|0.16|{0}|9|1|0.20093457943925233|0.04800105094909668|[0.62790698 0.55813953 0.46511628 0.46511628 0.66666667]|[0.37209302 0.34883721 0.34883721 0.34883721 0.35714286]|[0.55813953 0.48837209 0.46511628 0.37209302 0.54761905]|0.5565891472868216|0.3551495016611296|0.4862679955703212
2023-05-09 13:03:27|algorithm5|10noise|Glass|0.18|{0}|9|1|0.20093457943925233|0.04700112342834473|[0.62790698 0.55813953 0.46511628 0.46511628 0.66666667]|[0.37209302 0.34883721 0.34883721 0.34883721 0.35714286]|[0.55813953 0.48837209 0.46511628 0.37209302 0.54761905]|0.5565891472868216|0.3551495016611296|0.4862679955703212
2023-05-09 13:03:27|algorithm5|10noise|Glass|0.19999999999999998|{0}|9|1|0.20093457943925233|0.050998687744140625|[0.62790698 0.55813953 0.46511628 0.46511628 0.66666667]|[0.37209302 0.34883721 0.34883721 0.34883721 0.35714286]|[0.55813953 0.48837209 0.46511628 0.37209302 0.54761905]|0.5565891472868216|0.3551495016611296|0.4862679955703212
2023-05-09 13:03:27|algorithm5|10noise|Glass|0.21999999999999997|{0}|9|1|0.20093457943925233|0.05500006675720215|[0.62790698 0.55813953 0.46511628 0.46511628 0.66666667]|[0.37209302 0.34883721 0.34883721 0.34883721 0.35714286]|[0.55813953 0.48837209 0.46511628 0.37209302 0.54761905]|0.5565891472868216|0.3551495016611296|0.4862679955703212
2023-05-09 13:03:28|algorithm5|10noise|Glass|0.23999999999999996|{0}|9|1|0.20093457943925233|0.06399965286254883|[0.62790698 0.55813953 0.46511628 0.46511628 0.66666667]|[0.37209302 0.34883721 0.34883721 0.34883721 0.35714286]|[0.55813953 0.48837209 0.46511628 0.37209302 0.54761905]|0.5565891472868216|0.3551495016611296|0.4862679955703212
2023-05-09 13:03:28|algorithm5|10noise|Glass|0.25999999999999995|{0}|9|1|0.20093457943925233|0.0559995174407959|[0.62790698 0.55813953 0.46511628 0.46511628 0.66666667]|[0.37209302 0.34883721 0.34883721 0.34883721 0.35714286]|[0.55813953 0.48837209 0.46511628 0.37209302 0.54761905]|0.5565891472868216|0.3551495016611296|0.4862679955703212
2023-05-09 13:03:28|algorithm5|10noise|Glass|0.27999999999999997|{0}|9|1|0.20093457943925233|0.05699920654296875|[0.62790698 0.55813953 0.46511628 0.46511628 0.66666667]|[0.37209302 0.34883721 0.34883721 0.34883721 0.35714286]|[0.55813953 0.48837209 0.46511628 0.37209302 0.54761905]|0.5565891472868216|0.3551495016611296|0.4862679955703212
2023-05-09 13:03:28|algorithm5|10noise|Glass|0.3|{0}|9|1|0.20093457943925233|0.05399942398071289|[0.62790698 0.55813953 0.46511628 0.46511628 0.66666667]|[0.37209302 0.34883721 0.34883721 0.34883721 0.35714286]|[0.55813953 0.48837209 0.46511628 0.37209302 0.54761905]|0.5565891472868216|0.3551495016611296|0.4862679955703212
