结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.02|{0, 1, 3, 8}|9|4|1.0|0.011999845504760742|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.9  0.85 0.7  0.85]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.04|{0, 1, 2, 3, 8}|9|5|1.0|0.011999845504760742|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.9  0.85 0.75 0.85]|0.8800000000000001|0.8800000000000001|0.82
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.06|{0, 1, 2, 3, 8}|9|5|1.0|0.013998985290527344|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.9  0.85 0.7  0.85]|0.8800000000000001|0.8800000000000001|0.8099999999999999
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.08|{0, 1, 2, 3, 4, 6, 8}|9|7|1.0|0.01999974250793457|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.7  0.75 0.95]|0.8800000000000001|0.8800000000000001|0.79
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.1|{0, 1, 2, 3, 5, 7, 8}|9|7|1.0|0.014008045196533203|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.7  0.7  0.85]|0.8800000000000001|0.8800000000000001|0.77
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.12000000000000001|{0, 1, 2, 3, 4, 5, 8}|9|7|1.0|0.019996166229248047|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.85 0.85 0.7  0.85]|0.8800000000000001|0.8800000000000001|0.8
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.14|{0, 1, 2, 3, 4, 6, 7}|9|7|1.0|0.016999006271362305|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.8  0.9  0.7  0.65 0.85]|0.8800000000000001|0.8800000000000001|0.78
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.16|{0, 1, 2, 3, 4, 5, 6, 8}|9|8|1.0|0.014999866485595703|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.7  0.7  0.95]|0.8800000000000001|0.8800000000000001|0.78
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.18|{0, 1, 2, 3, 4, 5, 6, 8}|9|8|1.0|0.014999866485595703|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.7  0.75 0.95]|0.8800000000000001|0.8800000000000001|0.79
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.19999999999999998|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|1.0|0.015999555587768555|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.7  0.75 0.95]|0.8800000000000001|0.8800000000000001|0.79
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.21999999999999997|{0, 1, 2, 3, 4, 6, 7, 8}|9|8|1.0|0.016000032424926758|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.75 0.8  0.7  0.7  0.95]|0.8800000000000001|0.8800000000000001|0.78
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.23999999999999996|{0, 1, 2, 3}|9|4|0.8|0.012000799179077148|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.9  0.75 0.5  0.85]|0.8800000000000001|0.8800000000000001|0.77
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.25999999999999995|{0, 1, 2, 3}|9|4|0.8|0.012000560760498047|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.85 0.75 0.55 0.85]|0.8800000000000001|0.8800000000000001|0.77
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.27999999999999997|{0, 1, 2, 3}|9|4|0.8|0.012000083923339844|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.85 0.75 0.55 0.85]|0.8800000000000001|0.8800000000000001|0.77
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.3|{0, 1, 2, 3}|9|4|0.8|0.013000249862670898|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.9  0.75 0.55 0.85]|0.8800000000000001|0.8800000000000001|0.78
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.32|{0, 1, 2, 3}|9|4|0.8|0.011998891830444336|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.85 0.75 0.5  0.85]|0.8800000000000001|0.8800000000000001|0.76
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.34|{0, 1, 2, 3}|9|4|0.8|0.014000892639160156|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.9  0.75 0.55 0.85]|0.8800000000000001|0.8800000000000001|0.78
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.36000000000000004|{0, 1, 2, 3}|9|4|0.8|0.015004158020019531|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.9  0.75 0.5  0.85]|0.8800000000000001|0.8800000000000001|0.77
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.38000000000000006|{0, 1, 2, 3}|9|4|0.8|0.01399993896484375|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.85 0.75 0.55 0.85]|0.8800000000000001|0.8800000000000001|0.77
2023-05-09 13:03:09|algorithm5|10noise|fertility_Diagnosis|0.4000000000000001|{0, 1, 2, 3}|9|4|0.8|0.013000011444091797|[0.9  0.9  0.9  0.85 0.85]|[0.9  0.9  0.9  0.85 0.85]|[0.85 0.85 0.75 0.5  0.85]|0.8800000000000001|0.8800000000000001|0.76
