结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-10 19:27:05|algorithm5|20noise|BreastCancer|0.02|{0, 1, 4}|9|3|0.6008583690987125|0.209000825881958|[0.95714286 0.97142857 0.92857143 0.95714286 0.92086331]|[0.95       0.97857143 0.93571429 0.95714286 0.94244604]|[0.93571429 0.96428571 0.91428571 0.94285714 0.9352518 ]|0.9470298047276465|0.9527749229188078|0.9384789311408017
2023-05-10 19:27:05|algorithm5|20noise|BreastCancer|0.04|{0, 1, 4}|9|3|0.6008583690987125|0.20799946784973145|[0.95714286 0.97142857 0.92857143 0.95714286 0.92086331]|[0.95       0.97857143 0.93571429 0.95714286 0.94244604]|[0.93571429 0.96428571 0.91428571 0.94285714 0.92805755]|0.9470298047276465|0.9527749229188078|0.9370400822199383
2023-05-10 19:27:05|algorithm5|20noise|BreastCancer|0.06|{0, 1, 4}|9|3|0.6008583690987125|0.18899750709533691|[0.95714286 0.97142857 0.92857143 0.95714286 0.92086331]|[0.95       0.97857143 0.93571429 0.95714286 0.94244604]|[0.93571429 0.96428571 0.91428571 0.94285714 0.9352518 ]|0.9470298047276465|0.9527749229188078|0.9384789311408017
2023-05-10 19:27:05|algorithm5|20noise|BreastCancer|0.08|{0, 1, 4}|9|3|0.6008583690987125|0.18000006675720215|[0.95714286 0.97142857 0.92857143 0.95714286 0.92086331]|[0.95       0.97857143 0.93571429 0.95714286 0.94244604]|[0.93571429 0.96428571 0.91428571 0.94285714 0.9352518 ]|0.9470298047276465|0.9527749229188078|0.9384789311408017
2023-05-10 19:27:06|algorithm5|20noise|BreastCancer|0.1|{0, 1, 4}|9|3|0.6008583690987125|0.21000170707702637|[0.95714286 0.97142857 0.92857143 0.95714286 0.92086331]|[0.95       0.97857143 0.93571429 0.95714286 0.94244604]|[0.93571429 0.96428571 0.91428571 0.94285714 0.9352518 ]|0.9470298047276465|0.9527749229188078|0.9384789311408017
2023-05-10 19:27:06|algorithm5|20noise|BreastCancer|0.12000000000000001|{0, 1, 2, 4}|9|4|0.6008583690987125|0.28699278831481934|[0.96428571 0.97142857 0.94285714 0.95714286 0.94964029]|[0.95       0.97857143 0.92857143 0.95       0.95683453]|[0.95       0.95714286 0.92142857 0.95       0.94244604]|0.9570709146968139|0.9527954779033916|0.9442034943473793
2023-05-10 19:27:06|algorithm5|20noise|BreastCancer|0.14|{0, 1, 2, 4}|9|4|0.6008583690987125|0.3379981517791748|[0.96428571 0.97142857 0.94285714 0.95714286 0.94964029]|[0.95       0.97857143 0.92857143 0.95       0.95683453]|[0.95       0.95714286 0.92142857 0.95       0.94964029]|0.9570709146968139|0.9527954779033916|0.9456423432682426
2023-05-10 19:27:07|algorithm5|20noise|BreastCancer|0.16|{0, 1, 2, 3, 4}|9|5|0.6008583690987125|0.3190009593963623|[0.95714286 0.96428571 0.95       0.95       0.94964029]|[0.95714286 0.97857143 0.94285714 0.95       0.94964029]|[0.95       0.95       0.90714286 0.94285714 0.94964029]|0.9542137718396712|0.9556423432682426|0.9399280575539569
2023-05-10 19:27:07|algorithm5|20noise|BreastCancer|0.18|{0, 1, 2, 3, 4}|9|5|0.6008583690987125|0.30299925804138184|[0.95714286 0.96428571 0.95       0.95       0.94964029]|[0.95714286 0.97857143 0.94285714 0.95       0.94964029]|[0.95       0.94285714 0.90714286 0.94285714 0.95683453]|0.9542137718396712|0.9556423432682426|0.9399383350462488
2023-05-10 19:27:07|algorithm5|20noise|BreastCancer|0.19999999999999998|{0, 1, 2, 3, 4, 7}|9|6|0.6008583690987125|0.3119995594024658|[0.95       0.94285714 0.95       0.95714286 0.96402878]|[0.96428571 0.96428571 0.95       0.95       0.97122302]|[0.95       0.95       0.91428571 0.94285714 0.95683453]|0.9528057553956835|0.9599588900308325|0.9427954779033916
