结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-10 19:28:17|algorithm5|20noise|Vehicle|0.02|{2, 3, 4, 15}|18|4|1.0|1.1380066871643066|[0.51176471 0.53254438 0.46153846 0.50295858 0.5739645 ]|[0.41176471 0.47337278 0.42011834 0.47928994 0.40828402]|[0.46470588 0.50887574 0.43195266 0.52662722 0.50295858]|0.5165541246084233|0.43856595892794986|0.4870240167072747
2023-05-10 19:28:18|algorithm5|20noise|Vehicle|0.04|{2, 3, 4, 14, 15}|18|5|1.0|1.1980011463165283|[0.55294118 0.55621302 0.5147929  0.53254438 0.52071006]|[0.49411765 0.4260355  0.36094675 0.49112426 0.4260355 ]|[0.45882353 0.52071006 0.47337278 0.53846154 0.53254438]|0.5354403063000348|0.43965193177862866|0.5047824573616428
2023-05-10 19:28:20|algorithm5|20noise|Vehicle|0.06|{0}|18|1|0.20094562647754138|1.162999153137207|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:21|algorithm5|20noise|Vehicle|0.08|{0}|18|1|0.20094562647754138|1.2759933471679688|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:23|algorithm5|20noise|Vehicle|0.1|{0}|18|1|0.20094562647754138|1.4429957866668701|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:25|algorithm5|20noise|Vehicle|0.12000000000000001|{0}|18|1|0.20094562647754138|1.509007453918457|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:26|algorithm5|20noise|Vehicle|0.14|{0}|18|1|0.20094562647754138|1.5489990711212158|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:28|algorithm5|20noise|Vehicle|0.16|{0}|18|1|0.20094562647754138|1.6289947032928467|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:31|algorithm5|20noise|Vehicle|0.18|{0}|18|1|0.20094562647754138|2.0859994888305664|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:33|algorithm5|20noise|Vehicle|0.19999999999999998|{0}|18|1|0.20094562647754138|2.273998260498047|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:35|algorithm5|20noise|Vehicle|0.21999999999999997|{0}|18|1|0.20094562647754138|2.218003749847412|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:38|algorithm5|20noise|Vehicle|0.23999999999999996|{0}|18|1|0.20094562647754138|2.087998628616333|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:40|algorithm5|20noise|Vehicle|0.25999999999999995|{0}|18|1|0.20094562647754138|2.3560757637023926|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:43|algorithm5|20noise|Vehicle|0.27999999999999997|{0}|18|1|0.20094562647754138|2.5139987468719482|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:46|algorithm5|20noise|Vehicle|0.3|{0}|18|1|0.20094562647754138|2.676997423171997|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:49|algorithm5|20noise|Vehicle|0.32|{0}|18|1|0.20094562647754138|2.7919981479644775|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:52|algorithm5|20noise|Vehicle|0.34|{0}|18|1|0.20094562647754138|2.8539977073669434|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:55|algorithm5|20noise|Vehicle|0.36000000000000004|{0}|18|1|0.20094562647754138|2.7370710372924805|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:28:57|algorithm5|20noise|Vehicle|0.38000000000000006|{0}|18|1|0.20094562647754138|2.719998598098755|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
2023-05-10 19:29:00|algorithm5|20noise|Vehicle|0.4000000000000001|{0}|18|1|0.20094562647754138|2.7560675144195557|[0.41764706 0.39053254 0.38461538 0.33727811 0.3964497 ]|[0.34117647 0.34319527 0.26627219 0.31952663 0.28994083]|[0.43529412 0.40828402 0.40236686 0.43195266 0.4260355 ]|0.3853045596937|0.31202227636616775|0.4207866341802993
